"bureau","Valeur.fonciere","Surface.reelle.bati","Nombre.pieces.principales","Surface.terrain"
"06088_202",253045.282442748,24.1984732824427,0.900763358778626,480
"06088_203",251468.346938776,22.0918367346939,0.918367346938776,438.428571428571
"06088_204",165788.56097561,74.6926829268293,0.795121951219512,682
"06088_205",249203.370786517,23.2808988764045,0.910112359550562,687
"06088_206",212827.095338983,19.2136752136752,0.897435897435897,1098.66666666667
"06088_207",384778.294520548,25.1164383561644,0.958904109589041,628
"06088_208",222992.985611511,14.2877697841727,0.568345323741007,NA
"06088_209",316977.722222222,27.2222222222222,1.12345679012346,960
"06088_210",308890.994478528,21.8343558282209,0.932515337423313,NA
"06088_211",290058.664444444,24.6,1,NA
"06088_212",433301.968,22.16,0.832,NA
"06088_213",357728.379130435,20.5507246376812,0.817391304347826,NA
"06088_214",491351.696969697,28.4040404040404,0.878787878787879,2011.4
"06088_215",387209.021705426,23.5384615384615,0.935897435897436,3255
"06088_216",550625.063333333,47.3823529411765,1.14705882352941,2609.41176470588
"06088_217",477347.904761905,36,1.375,379.090909090909
"06088_218",387601.609333333,39.030303030303,1.66666666666667,1786.1875
"06088_219",268408.736842105,21.1157894736842,0.926315789473684,NA
"06088_220",303104.388888889,15.9583333333333,0.680555555555556,NA
"06088_221",221527.778173913,19.2869565217391,0.791304347826087,NA
"06088_222",191917.2140625,24.375,1.1015625,NA
"06088_223",133486.646616541,21.3834586466165,1.05263157894737,NA
"06088_224",160256.305405405,25.3423423423423,1.15315315315315,NA
"06088_225",921403.350675676,44.6506849315069,0.773972602739726,627.4
"06088_226",216190.606060606,36.45,1.43333333333333,316.3
"06088_227",386528.61971831,22.112676056338,0.830985915492958,NA
"06088_228",321103.675213675,28.7130434782609,1.24347826086957,840.266666666667
"06088_229",438622.864197531,35.45,1.075,724
"06088_230",528145.990430622,23.8534031413613,0.947643979057592,1049.73076923077
"06088_231",382797.018181818,30.3469387755102,1.30612244897959,629.571428571429
"06088_232",176002.337662338,26.5194805194805,1,56
"06088_233",623063.423913043,63.972972972973,2.05405405405405,1012.13043478261
"06088_234",459582.745058824,65.0833333333333,2.13888888888889,1006.39473684211
"06088_235",557525,94.7333333333333,2.1,1374
"06088_236",538432.394366197,21.6470588235294,0.941176470588235,685.6
"06088_301",381308.422110553,38.1022727272727,0.460227272727273,NA
"06088_302",263882.279220779,22.8405797101449,1.00724637681159,1142
"06088_303",4398313.24914676,39.703071672355,0.235494880546075,743.333333333333
"06088_307",241948.5,30.75,1.5,NA
"06088_309",2001339.06769596,46.8684210526316,1.05263157894737,484.666666666667
"06088_310",2609465.81944444,26.0873786407767,1.21359223300971,455.875
"06088_311",242887.983870968,21.85,0.966666666666667,111
"06088_312",412807.112862191,23.7290322580645,1.09677419354839,1033.64
"06088_313",322041.734939759,24.9277108433735,1.01204819277108,992
"06088_314",422203.462903226,37.7169811320755,1.77358490566038,1739.1
"06088_315",154144.680851064,25.0212765957447,1.06382978723404,NA
"06088_316",597156.356806723,110.47619047619,1.46031746031746,1358.57575757576
"06088_401",471798.546153846,31.6821705426357,1.1937984496124,679.5
"06088_402",181591.861643836,27.8356164383562,1.15068493150685,NA
"06088_403",307945.373333333,27.8133333333333,1.16,460
"06088_404",382405.95049505,60.5792079207921,0.876237623762376,1240.5
"06088_405",342954.842105263,23.9255319148936,0.957446808510638,723.333333333333
"06088_406",245849.75,19.75,0.779411764705882,474
"06088_407",354324.78125,28.21875,1.15625,481.225806451613
"06088_408",429576.07885906,28.0805369127517,1.14093959731544,532.346153846154
"06088_409",380906.818181818,27.3289473684211,1.11842105263158,411.6
"06088_410",1496684.07304965,31.4255319148936,1.26595744680851,295.545454545455
