"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"17673","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","71","","RUE","DE VERSAILLES","7112",NA,"",NA,1,"","","A","0017-01-05","RUE DE VERSAILLES","",2,"C",66,1994,1994,1994,1,12,1,"931992851231008","09/07/1992",NA,NA,"","","","2025","","SEGBDY","Segment Bondy",1,93010,"RUE DE VERSAILLES",2154,661868.79,6868482.07,"HZ","0104","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17677","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","71","","RUE","DE VERSAILLES","7122",NA,"",NA,2,"","","A","0017-01-05","RUE DE VERSAILLES","",2,"C",66,1994,1994,1994,1,12,1,"931992851231008","09/07/1992",NA,NA,"01/1900","","","2025","","SEGBDY","Segment Bondy",1,93010,"RUE DE VERSAILLES",2154,661868.79,6868482.07,"HZ","0104","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17679","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","71","","RUE","DE VERSAILLES","7131",NA,"",NA,3,"","","A","0017-01-05","RUE DE VERSAILLES","",2,"C",71,1994,1994,1994,1,12,1,"931992851231008","09/07/1992",NA,NA,"01/1900","","","2025","","SEGBDY","Segment Bondy",1,93010,"RUE DE VERSAILLES",2154,661868.79,6868482.07,"HZ","0104","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17703","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","164","","RUE","R. SALENGRO","33",NA,"",NA,3,"","","A","0016-01-02","RUE ROGER SALENGRO","",2,"C",68,1992,1992,1992,1,12,1,"931989851231","23/04/1990",NA,NA,"","","","2024","","SEGBDY","Segment Bondy",1,93010,"RUE ROGER SALENGRO",2154,661621,6866245.48,"HZ","0204","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17759","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","5","","AV","JEAN LEBAS","485",NA,"",NA,12,"","","F","0007-07-02","QUARTIER NOUE CAILLET","",1,"C",57,1961,1961,1961,1,52,1,"931991851231189","11/08/1992",NA,NA,"01/1900","","","2025","","SEGBDY","Segment Bondy",1,93010,"AV JEAN LEBAS",2154,661969.74,6868249.67,"QP093014","0104","1127020","11270ZF","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"17769","3",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","5","","ALL","DES ORCHIDEES","6219",NA,"",NA,0,"","","","0028-06-03","CITE DU STADE","",1,"C",56,1955,1955,2010,2,14,1,"9320102002844161","03/08/2011",NA,NA,"","","","2060","","SEGBDY","Segment Bondy",1,93010,"ALL DES ORCHIDEES",2154,662204.12,6867313.66,"QP093014","0403","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"moins pauvres","moyen"
"17780","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","27","","RUE","A. POLISSARD","2723",NA,"",NA,2,"","","B","0014-02-02","RESIDENCE POLLISSARD","",1,"C",65,1989,1989,1989,1,12,1,"931987851231038","29/06/1987",NA,NA,"","","","2021","","SEGBDY","Segment Bondy",1,93010,"RUE AUGUSTE POLISSARD",2154,661917.2,6867255.64,"QP093014","0403","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17784","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","107","","RUE","ROGER SALENGRO - L'EUROPE BATIMENT N01","",NA,"",NA,0,"107 RUE ROGER SALENGRO","01","BATIMENT 1","L'EUROPE","NUMERO 103","",2,"C",70,1991,1991,1991,1,12,1,"93--1989/851231/071","30/11/1989",NA,NA,"","","","2021","2","5105","L'EUROPE",1,93010,"RUE ROGER SALENGRO",2154,661674.1,6866238.46,"HZ","0204","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17814","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","21","","RUE","A. POLISSARD","2103",NA,"",NA,0,"","","C","0014-03-01","RESIDENCE POLLISSARD","",1,"C",63,1989,1989,1989,1,12,1,"931987851231038","29/06/1987",NA,NA,"","","","2021","","SEGBDY","Segment Bondy",1,93010,"RUE AUGUSTE POLISSARD",2154,661922.32,6867303.76,"QP093014","0403","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"17847","3",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93010,93140,"Bondy","6","","ALL","DES LILAS","6245",NA,"",NA,3,"","","","0028-07-04","CITE DU STADE","",2,"C",56,1955,1955,2010,2,14,1,"9320102002844161","03/08/2011",NA,NA,"","","","2060","","SEGBDY","Segment Bondy",1,93010,"ALL DES LILAS",2154,662319.5,6867260,"HZ","0404","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"moins pauvres","moyen"
