"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"43004","3",13,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","4","","RUE","INGRES","5439",NA,"4",NA,4,"","","","","","",1,"C",58,1965,1999,1965,1,13,1,"93/2013/2011-1191/041","09/09/2013",NA,NA,"","","","","","","",2,93007,"RUE INGRES",2154,660249.54,6872249.67,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43014","3",13,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","2","","RUE","DELACROIX","5511",NA,"3",NA,0,"","","","","","",1,"C",58,1965,1987,1965,1,13,1,"93/2013/2011-1191/041","09/09/2013",NA,NA,"01/1900","","","","","","",2,93007,"RUE DELACROIX",2154,660355.05,6872185.56,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43015","3",13,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","2","","RUE","DELACROIX","5512",NA,"3",NA,0,"","","","","","",1,"C",58,1965,2012,1965,1,13,1,"93/2013/2011-1191/041","09/09/2013",NA,NA,"","","","","","","",2,93007,"RUE DELACROIX",2154,660355.05,6872185.56,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43054","3",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","2","","RUE","POUSSIN","5011",NA,"2",NA,0,"","","","","","",1,"C",58,1965,1998,1965,1,14,1,"93/2013/2011-1191/040","09/09/2013",NA,NA,"","","","","","","",2,93007,"RUE POUSSIN",2154,660119.1,6872350.7,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"moins pauvres","moyen"
"43059","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","6","","MAIL","DE LA FRATERNITE","0211",NA,"",NA,1,"","","","","","",2,"C",69,1995,1998,1995,1,12,1,"93/1993/80-415/047","29/04/1994",NA,NA,"01/1900","","","","","","",2,93007,"MAIL DE LA FRATERNITE",2154,660952.8,6871689.6,"HZ","0114","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43109","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","9","","ALL","DE LA NATION","0603",NA,"",NA,0,"","","","","","",2,"C",68,1995,1998,1995,1,12,1,"93/1993/80-415/047","29/04/1994",NA,NA,"","","","","","","",2,93007,"ALL DE LA NATION",2154,661003.6,6871636.5,"HZ","0114","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43128","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","2","","RUE","CEZANNE","0444",NA,"",NA,8,"","","","V90-3497-K-0001","LE BLANC MESNIL 04","",1,"C",58,1966,1966,1987,1,52,1,"931988AC127","14/08/1992",NA,13,"07/2017","D","E","","1","","",1,93007,"RUE PAUL CEZANNE",2154,660154.9,6872192.2,"QP093055","0109","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43136","3",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","1","","ALL","VAN GOGH","5233",NA,"1",NA,1,"","","","","","",1,"C",58,1965,2008,1965,1,14,1,"93/2013/2011-1191/040","09/09/2013",NA,NA,"","","","","","","",2,93007,"RUE VAN GOGH",2154,660241.74,6872283.25,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"moins pauvres","moyen"
"43425","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","101","` 117","AVENUE","Paul Vaillant Couturier","",NA,"",NA,1,"","","011-A","011","011","",1,"C",62,2001,2001,2001,1,12,1,"93/1998/851231/066","27/11/1998",NA,13,"09/2009","B","C","2033","2","S2","Le Blanc Mesnil",1,93007,"AV PAUL VAILLANT COUTURIER",2154,661255.92,6869664.96,"QP093014","0119","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43475","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","101","` 117","AVENUE","Paul Vaillant Couturier","",NA,"",NA,2,"","","011-B","011","011","",1,"C",64,2001,2001,2001,1,12,1,"93/1998/851231/066","27/11/1998",NA,13,"09/2009","B","C","2033","2","S2","Le Blanc Mesnil",1,93007,"AV PAUL VAILLANT COUTURIER",2154,661255.92,6869664.96,"QP093014","0119","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
