"","IdINSPIRE","Id_carr1km","I_est_cr","Id_carr_n","Groupe","Depcom","I_pauv","Id_car2010","Ind","Men","Men_pauv","Men_1ind","Men_5ind","Men_prop","Men_fmp","Ind_snv","Men_surf","Men_coll","Men_mais","Log_av45","Log_45_70","Log_70_90","Log_ap90","Log_inc","Log_soc","Ind_0_3","Ind_4_5","Ind_6_10","Ind_11_17","Ind_18_24","Ind_25_39","Ind_40_54","Ind_55_64","Ind_65_79","Ind_80p","Ind_inc","I_est_1km","code_insee","nom","nuts2","wikipedia","surf_km2"
"55837","CRS3035RES200mN2895200E3771400","CRS3035RES1000mN2895000E3771000",0,"CRS3035RES1000mN2895000E3771000",870075,"93005",0,"CRS3035RES200mN2895200E3771400",167.5,64,5,16,9,61,2,4090933.9,5540,0,64,9,43,7,5,0,0,7,3,14.5,13,5,30,25,24,29,15,2,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55848","CRS3035RES200mN2892400E3770400","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866395,"93010",0,"CRS3035RES200mN2892400E3770400",464.5,166,22,36,23,140,20,10305916.9,11712,89,77,61,96,5,4,0,0,37.5,18,36.5,34.5,16,97,85,52,51,27,10,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55851","CRS3035RES200mN2892800E3771000","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892800E3771000",866452,"93010",0,"CRS3035RES200mN2892800E3771000",1011.5,383,159,132,60,8,71,14174930.1,20535,374,9,5,356,1,21,0,374,52.5,37,88.5,123.5,62,182,224,104,98,19,21,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55886","CRS3035RES200mN2892000E3770200","CRS3035RES1000mN2892000E3770000",1,"CRS3035RES1000mN2892000E3770000",866380,"93010",0,"CRS3035RES200mN2892000E3770200",58,17.2,1.8,5.4,6.3,16.3,0,1206819.4,1421.9,1.8,15.4,5.4,9.1,0,2.7,0,0,2.7,6.4,4.5,10,3.6,10.9,10.9,1.8,5.4,1.8,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55924","CRS3035RES200mN2892000E3770400","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866382,"93010",0,"CRS3035RES200mN2892000E3770400",80,28,3,4,4,24,6,2059254,2433,0,28,12,5,9,2,0,0,5,2,5,10,3,14,19,9,9,3,1,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55926","CRS3035RES200mN2892400E3771400","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892400E3771400",866449,"93010",0,"CRS3035RES200mN2892400E3771400",631.5,222,38,57,27,142,24,12886312.2,15028,125,97,80,8,11,123,0,48,65.5,25,45.5,61,25.5,163,126,54,48,11,7,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55936","CRS3035RES200mN2892800E3771600","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892800E3771600",866436,"93057",0,"CRS3035RES200mN2892800E3771600",284.5,101,12,24,14,81,7,6588503.8,7864,15,86,74,18,6,3,0,0,17,8,18.5,29,17,35,68,45,25,12,10,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55950","CRS3035RES200mN2895400E3771000","CRS3035RES1000mN2895000E3771000",0,"CRS3035RES1000mN2895000E3771000",870085,"93005",0,"CRS3035RES200mN2895400E3771000",244,81,14,14,14,67,9,5611808.7,7263,6,75,26,24,16,14,1,0,11.5,7,24.5,16,13,46,49,29,28,15,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55953","CRS3035RES200mN2892000E3771600","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892000E3771600",866442,"93010",0,"CRS3035RES200mN2892000E3771600",361,139,21,46,14,92,15,7712408.8,9710,69,70,73,49,9,8,0,0,31,10,26.5,25.5,23,90,69,33,32,18,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55966","CRS3035RES200mN2892400E3770000","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866384,"93010",0,"CRS3035RES200mN2892400E3770000",106,38,1,11,7,26,3,2524335.1,2948,8,30,15,7,7,9,0,0,6,2,8,9,3,22,19,15,9,8,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55984","CRS3035RES200mN2892800E3772000","CRS3035RES1000mN2892000E3772000",0,"CRS3035RES200mN2892800E3772000",866530,"93077",0,"CRS3035RES200mN2892800E3772000",108,43,4,11,4,36,7,2776358,3563,7,36,29,13,0,1,0,0,6,4,5,4,5,28,15,19,12,6,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55998","CRS3035RES200mN2892000E3771400","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892000E3771400",866434,"93010",0,"CRS3035RES200mN2892000E3771400",197,68,14,18,17,53,2,4174312.1,5134,9,59,46,11,5,6,0,0,5,4,24,23,9,32,41,27,11,18,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56008","CRS3035RES200mN2892400E3770600","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866388,"93010",0,"CRS3035RES200mN2892400E3770600",216,69,11,15,14,62,2,4749579.3,5684,6,63,49,9,4,7,0,0,16,4,15,22,7,36,47,26,18,22,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56009","CRS3035RES200mN2892400E3769800","CRS3035RES1000mN2892000E3769000",0,"CRS3035RES1000mN2892000E3769000",866337,"93053",0,"CRS3035RES200mN2892400E3769800",124,48,9,16,4,26,3,2523499,2723,26,22,31,14,1,2,0,0,6,3,9,9,5,34,22,21,11,3,1,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56040","CRS3035RES200mN2893600E3771000","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866421,"93010",0,"CRS3035RES200mN2893600E3771000",394.5,150,40,56,23,4,27,6221134.4,7741,148,2,1,140,1,8,0,146,35,15,35.5,42,18,85,81,24,32,13,14,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56047","CRS3035RES200mN2892400E3771200","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892400E3771200",866441,"93010",0,"CRS3035RES200mN2892400E3771200",532,139,31,13,46,124,9,10211018.8,11133,16,123,2,0,1,136,0,0,41,19,44,76,36,106,134,44,16,3,13,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56071","CRS3035RES200mN2895400E3770800","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895400E3770800",870106,"93005",0,"CRS3035RES200mN2895400E3770800",232.5,80,9,14,12,67,9,5161573.7,6967,8,72,23,18,29,10,0,0,12,4,16,19.5,9,45,42,46,22,9,8,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56089","CRS3035RES200mN2892400E3771000","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892400E3771000",866433,"93010",0,"CRS3035RES200mN2892400E3771000",262,67,6,7,23,64,6,5465312,5115,27,40,0,0,0,67,0,0,16,4,23,42,15,53,64,24,15,0,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56093","CRS3035RES200mN2892800E3770000","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866401,"93010",0,"CRS3035RES200mN2892800E3770000",657,255,103,100,44,22,41,9415860.1,13337,232,23,15,234,2,4,0,227,55,27,60,61,39,159,119,67,50,17,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56095","CRS3035RES200mN2892800E3770800","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866393,"93010",0,"CRS3035RES200mN2892800E3770800",361.5,116,25,18,23,85,10,7109111.7,8368,26,90,82,11,19,4,0,0,17.5,11,32,42,32,70,84,35,20,14,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56098","CRS3035RES200mN2892800E3769800","CRS3035RES1000mN2892000E3769000",1,"CRS3035RES1000mN2892000E3769000",866333,"93053",0,"CRS3035RES200mN2892800E3769800",52.5,16.1,4.5,1.9,2.6,12.9,0.6,1056154.9,1326.3,2.6,13.5,12.9,0,2.6,0.6,0,0,4.2,1.3,3.5,3.9,2.9,13.5,11,7.1,4.5,0.6,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56107","CRS3035RES200mN2895400E3770200","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895400E3770200",870114,"93029",0,"CRS3035RES200mN2895400E3770200",346,126,24,32,17,95,12,7177994.8,9907,42,84,39,18,29,40,0,9,13,10,18,39,17,81,63,41,42,11,11,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56110","CRS3035RES200mN2893800E3771600","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866419,"93057",0,"CRS3035RES200mN2893800E3771600",362.5,126,20,37,23,90,5,7891897.6,9543,28,98,85,23,9,9,0,0,19.5,14,24,29,22,82,74,30,46,16,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56120","CRS3035RES200mN2895200E3771200","CRS3035RES1000mN2895000E3771000",0,"CRS3035RES1000mN2895000E3771000",870072,"93005",0,"CRS3035RES200mN2895200E3771200",75,27,4,8,4,20,0,1819765.4,2173,8,19,8,4,5,10,0,0,3,0,7,4,6,9,19,7,12,7,1,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56128","CRS3035RES200mN2892000E3769800","CRS3035RES1000mN2892000E3769000",0,"CRS3035RES1000mN2892000E3769000",866335,"93053",0,"CRS3035RES200mN2892000E3769800",74,24,7,5,5,18,1,1188102.5,1687,10,14,14,1,7,2,0,0,8,2,3,5,6,20,9,7,13,1,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56140","CRS3035RES200mN2895400E3770600","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895400E3770600",870096,"93005",0,"CRS3035RES200mN2895400E3770600",57,16,6,3,3,12,0,820551.4,1310,3,13,0,3,8,5,0,0,3,2,5,8,3,18,6,4,8,0,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56147","CRS3035RES200mN2893800E3771800","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866420,"93057",0,"CRS3035RES200mN2893800E3771800",374,130,17,34,19,111,9,7859895.8,10304,32,98,67,48,5,10,0,1,11,14,29,34,24,74,76,50,38,20,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56150","CRS3035RES200mN2894800E3770200","CRS3035RES1000mN2894000E3770000",0,"CRS3035RES1000mN2894000E3770000",870130,"93008",0,"CRS3035RES200mN2894800E3770200",321,111,22,26,21,81,11,6008268.6,8866,19,92,50,31,19,11,0,0,20,6,19,27,20,67,61,40,36,23,2,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56171","CRS3035RES200mN2892400E3770800","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866381,"93010",0,"CRS3035RES200mN2892400E3770800",67,21,3,3,5,19,3,1481887.8,1720,0,21,13,6,1,1,0,0,2,2,6,9,6,9,16,8,5,3,1,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56195","CRS3035RES200mN2894600E3771400","CRS3035RES1000mN2894000E3771000",0,"CRS3035RES1000mN2894000E3771000",870059,"93010",0,"CRS3035RES200mN2894600E3771400",209,54,10,5,21,47,5,3738453.2,4502,22,32,8,8,28,10,0,0,16,11,22,37,13,31,45,11,17,6,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56199","CRS3035RES200mN2893000E3771400","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866411,"93010",0,"CRS3035RES200mN2893000E3771400",303,92,17,17,22,84,9,5910202.6,7945,2,90,57,20,14,1,0,0,17,15,23,16,14,56,47,44,45,13,13,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56221","CRS3035RES200mN2895400E3770400","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895400E3770400",870119,"93010",0,"CRS3035RES200mN2895400E3770400",919.5,284,80,61,71,202,39,14886650.6,18676,260,24,1,0,234,49,0,26,58,24,114.5,109,52,203,169,101,55,21,13,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56237","CRS3035RES200mN2894600E3771200","CRS3035RES1000mN2894000E3771000",0,"CRS3035RES1000mN2894000E3771000",870068,"93010",0,"CRS3035RES200mN2894600E3771200",665.5,202,52,40,48,43,41,10685080.5,13850,158,44,16,60,6,120,0,142,64.5,28,72,74,40,147,124,52,33,21,10,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56269","CRS3035RES200mN2892400E3771800","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892400E3771800",866448,"93077",0,"CRS3035RES200mN2892400E3771800",433,174,29,54,15,85,27,9338963.2,11303,111,63,73,70,27,4,0,59,36,20,32,29,25,96,70,60,38,19,8,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56271","CRS3035RES200mN2894800E3770000","CRS3035RES1000mN2894000E3770000",0,"CRS3035RES1000mN2894000E3770000",870133,"93008",0,"CRS3035RES200mN2894800E3770000",430.5,143,45,34,30,72,21,7180736.4,10276,62,81,44,60,15,24,0,43,27,18,35,49.5,23,88,81,51,41,13,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56272","CRS3035RES200mN2893800E3771400","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866406,"93010",0,"CRS3035RES200mN2893800E3771400",279.5,82,9,13,21,66,8,6026089.4,6872,12,70,39,14,16,13,0,7,16,5,22.5,29,13,56,55,30,23,16,14,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56283","CRS3035RES200mN2893600E3771400","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866407,"93010",0,"CRS3035RES200mN2893600E3771400",239.5,83,22,19,15,44,10,4822617.2,6169,33,50,18,39,11,15,0,28,8,7,18,28.5,17,40,50,28,26,12,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56307","CRS3035RES200mN2893800E3772000","CRS3035RES1000mN2893000E3772000",0,"CRS3035RES200mN2893800E3772000",866522,"93057",0,"CRS3035RES200mN2893800E3772000",359,141,27,50,15,87,11,7633797.9,9560,84,57,63,27,24,26,1,0,27.5,15,32,29.5,19,87,62,19,44,16,8,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56314","CRS3035RES200mN2893800E3771200","CRS3035RES1000mN2893000E3771000",1,"CRS3035RES1000mN2893000E3771000",866403,"93010",0,"CRS3035RES200mN2893800E3771200",24,7.2,0.8,0.5,1.6,2.1,0.5,494026.4,630.1,4.8,2.4,1.6,0.8,0.3,4.5,0,0,2.9,1.1,2.9,1.3,0.8,8.3,3.8,1.6,1.3,0,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56322","CRS3035RES200mN2893600E3771800","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866418,"93010",0,"CRS3035RES200mN2893600E3771800",342.5,122,13,23,18,100,9,7882663,9387,14,108,81,15,17,9,0,0,18,12,21,39,13.5,54,68,56,46,9,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56323","CRS3035RES200mN2892000E3771000","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892000E3771000",866445,"93010",0,"CRS3035RES200mN2892000E3771000",487,149,43,24,38,9,34,7930974.2,9516,140,9,5,141,3,0,0,140,35,26,55,57,33,82,94,43,38,18,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56364","CRS3035RES200mN2892000E3771200","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892000E3771200",866431,"93077",0,"CRS3035RES200mN2892000E3771200",206.5,64,9,12,15,53,5,4462524.3,5818,1,63,23,34,4,3,0,0,13,3,19,27.5,8,29,40,27,18,10,12,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56436","CRS3035RES200mN2893800E3771000","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866414,"93010",0,"CRS3035RES200mN2893800E3771000",319.5,102,22,21,19,46,15,5420812.6,5568,101,1,1,73,27,1,0,29,26,16,31,30.5,18,73,67,26,19,9,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56442","CRS3035RES200mN2893000E3771000","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866410,"93010",0,"CRS3035RES200mN2893000E3771000",274,90,20,18,17,55,10,5058113.2,6054,44,46,39,32,5,14,0,17,19,8,19,28,17,58,47,42,27,4,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56446","CRS3035RES200mN2893600E3770800","CRS3035RES1000mN2893000E3770000",0,"CRS3035RES200mN2893600E3770800",866471,"93010",0,"CRS3035RES200mN2893600E3770800",687.5,236,95,74,50,29,33,9703834.1,12457,227,9,6,204,9,17,0,178,57,29,67.5,79.5,44.5,153,126,75,32,19,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56447","CRS3035RES200mN2893600E3770600","CRS3035RES1000mN2893000E3770000",0,"CRS3035RES200mN2893600E3770600",866474,"93010",0,"CRS3035RES200mN2893600E3770600",839,325,87,107,37,118,58,14064938,18031,325,0,7,12,0,306,0,114,59.5,36,66,79.5,50,191,180,84,51,26,16,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56518","CRS3035RES200mN2894600E3771000","CRS3035RES1000mN2894000E3771000",0,"CRS3035RES1000mN2894000E3771000",870055,"93010",0,"CRS3035RES200mN2894600E3771000",65,22,5,3,2,17,6,1231746.4,1741,4,18,8,4,4,6,0,1,3,2,5,6,6,11,21,3,8,0,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56549","CRS3035RES200mN2894600E3770000","CRS3035RES1000mN2894000E3770000",0,"CRS3035RES1000mN2894000E3770000",870134,"93008",0,"CRS3035RES200mN2894600E3770000",464,153,60,45,37,43,24,6856686.9,9239,108,45,21,114,8,10,0,96,35.5,23,39,61.5,22,86,91,53,36,14,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56564","CRS3035RES200mN2894600E3771600","CRS3035RES1000mN2894000E3771000",1,"CRS3035RES1000mN2894000E3771000",870052,"93057",0,"CRS3035RES200mN2894600E3771600",17.5,4.6,0.7,0.7,1.5,0.4,0.4,311011.5,323,4.1,0.5,2,1.1,0,1.5,0,0,1.3,1.1,2.9,1.1,0.9,4.8,3.3,0.9,0.6,0,0.6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56646","CRS3035RES200mN2895200E3771000","CRS3035RES1000mN2895000E3771000",0,"CRS3035RES1000mN2895000E3771000",870093,"93010",0,"CRS3035RES200mN2895200E3771000",371,110,33,24,27,31,18,5749821.2,7677,71,39,14,52,2,42,0,71,18,13,38,55,23,67,83,20,39,9,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56727","CRS3035RES200mN2893600E3772000","CRS3035RES1000mN2893000E3772000",0,"CRS3035RES200mN2893600E3772000",866527,"93057",0,"CRS3035RES200mN2893600E3772000",429,189,36,72,14,112,24,9180182.2,10464,126,63,48,60,64,17,0,0,40.5,13,26,26.5,24,121,71,43,32,20,12,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56767","CRS3035RES200mN2893000E3771200","CRS3035RES1000mN2893000E3771000",0,"CRS3035RES1000mN2893000E3771000",866425,"93010",0,"CRS3035RES200mN2893000E3771200",667.5,269,64,97,37,15,49,10827287.8,16330,255,14,9,260,0,0,0,250,54,29,58.5,66,33,157,110,69,58,27,6,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56771","CRS3035RES200mN2893600E3770400","CRS3035RES1000mN2893000E3770000",0,"CRS3035RES200mN2893600E3770400",866478,"93010",0,"CRS3035RES200mN2893600E3770400",1705.5,673,136,247,80,237,107,30530720.3,37447,659,14,71,35,110,457,0,271,152,86,167,160.5,73,449,360,137,72,29,20,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56809","CRS3035RES200mN2892000E3770800","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866389,"93010",0,"CRS3035RES200mN2892000E3770800",205,73,3,10,10,71,4,5914955.1,8122,0,73,3,0,58,12,0,0,7,0,15,13,9,26,41,57,26,3,8,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56843","CRS3035RES200mN2894600E3770800","CRS3035RES1000mN2894000E3770000",0,"CRS3035RES1000mN2894000E3770000",870136,"93010",0,"CRS3035RES200mN2894600E3770800",634,182,58,32,49,0,40,9021341.3,12158,182,0,0,46,0,136,0,182,62,27,63,79,48,135,115,50,31,12,12,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56931","CRS3035RES200mN2895200E3770800","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895200E3770800",870120,"93010",0,"CRS3035RES200mN2895200E3770800",724.5,294,99,111,30,6,64,10691116.6,15249,286,8,1,150,0,143,0,286,72,27,75,54.5,32,171,138,60,76,14,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"56972","CRS3035RES200mN2895200E3770400","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895200E3770400",870102,"93010",0,"CRS3035RES200mN2895200E3770400",256,71,18,5,22,60,7,4073707.7,6193,3,68,12,11,39,9,0,0,17,1,12,28,27,54,47,39,24,3,4,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"57170","CRS3035RES200mN2893000E3772000","CRS3035RES1000mN2893000E3772000",0,"CRS3035RES200mN2893000E3772000",866525,"93057",0,"CRS3035RES200mN2893000E3772000",374.5,163,22,60,11,86,25,8005884.1,10412,120,43,34,58,33,38,0,53,14,10,24.5,32.5,27.5,65,77,58,41,12,13,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"57173","CRS3035RES200mN2893600E3771200","CRS3035RES1000mN2893000E3771000",1,"CRS3035RES1000mN2893000E3771000",866403,"93010",0,"CRS3035RES200mN2893600E3771200",66,19.8,2.2,1.5,4.4,5.9,1.5,1358572.6,1732.9,13.2,6.6,4.4,2.2,0.7,12.5,0,0,8,2.9,8.1,3.7,2.2,22.7,10.3,4.4,3.7,0,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"57174","CRS3035RES200mN2895200E3770600","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895200E3770600",870104,"93010",0,"CRS3035RES200mN2895200E3770600",206,72,25,22,14,1,13,2894867.3,4019,69,3,0,69,0,3,0,69,12,5,17,26,11,36,44,22,30,2,1,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"57175","CRS3035RES200mN2895200E3770200","CRS3035RES1000mN2895000E3770000",0,"CRS3035RES200mN2895200E3770200",870113,"93029",0,"CRS3035RES200mN2895200E3770200",351,115,19,20,17,89,11,6724735,8206,25,90,32,44,15,24,0,3,20,16,23,30,27,76,72,33,29,18,7,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"57208","CRS3035RES200mN2894200E3770400","CRS3035RES1000mN2894000E3770000",0,"CRS3035RES1000mN2894000E3770000",870125,"93010",0,"CRS3035RES200mN2894200E3770400",201,63,15,12,16,57,5,3414490.3,3983,0,63,2,61,0,0,0,0,10,6,21,22,14,26,45,20,17,17,3,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
