Type de budget,Agrégat,Montant en € par habitant
COUBRON,Autres impôts et taxes,22.1011207789517
COURNEUVE (LA ),Autres impôts et taxes,29.366290876156
DRANCY,Autres impôts et taxes,43.3133514229553
DUGNY,Autres impôts et taxes,27.0139121358763
EPINAY-SUR-SEINE,Autres impôts et taxes,35.317101694299
GAGNY,Autres impôts et taxes,54.5541224305399
GOURNAY-SUR-MARNE,Autres impôts et taxes,77.7318319618883
ILE-SAINT-DENIS (L' ),Autres impôts et taxes,23.5458455445545
LILAS (LES),Autres impôts et taxes,99.6017369104284
LIVRY-GARGAN,Autres impôts et taxes,62.3886505662742
MONTFERMEIL,Autres impôts et taxes,60.1956638603538
MONTREUIL,Autres impôts et taxes,94.9446811200773
NEUILLY-PLAISANCE,Autres impôts et taxes,68.7038351086293
NEUILLY-SUR-MARNE,Autres impôts et taxes,42.2701006634637
NOISY-LE-GRAND,Autres impôts et taxes,65.8726353043504
NOISY-LE-SEC,Autres impôts et taxes,38.3055580044539
PANTIN,Autres impôts et taxes,96.6020618723972
PAVILLONS-SOUS-BOIS (LES),Autres impôts et taxes,79.8797047311096
PIERREFITTE-SUR-SEINE,Autres impôts et taxes,33.8790656370656
PRE-SAINT-GERVAIS (LE ),Autres impôts et taxes,79.9844372574386
RAINCY (LE ),Autres impôts et taxes,92.3590171723342
ROMAINVILLE,Autres impôts et taxes,52.9094968096894
ROSNY-SOUS-BOIS,Autres impôts et taxes,61.1596335799836
SAINT-DENIS,Autres impôts et taxes,53.4103267239303
SAINT-OUEN,Autres impôts et taxes,66.4054166068536
SEVRAN,Autres impôts et taxes,32.1620217524087
STAINS,Autres impôts et taxes,26.6724653844217
TREMBLAY-EN-FRANCE,Autres impôts et taxes,118.623496529046
VAUJOURS,Autres impôts et taxes,52.1467806469921
VILLEMOMBLE,Autres impôts et taxes,67.0997786727019
VILLEPINTE,Autres impôts et taxes,122.585833038075
VILLETANEUSE,Autres impôts et taxes,39.1803824151712
AUBERVILLIERS,Charges financières,59.5314193556038
AULNAY-SOUS-BOIS,Charges financières,32.4844282082353
BAGNOLET,Charges financières,132.452597560976
BLANC-MESNIL (LE ),Charges financières,25.8220811553592
BOBIGNY,Charges financières,57.8153400615148
BONDY,Charges financières,43.2513733561822
LE BOURGET,Charges financières,34.3989251133717
CLICHY-SOUS-BOIS,Charges financières,18.1415954246421
COUBRON,Charges financières,16.5782204267661
COURNEUVE (LA ),Charges financières,23.5668197635618
DRANCY,Charges financières,47.9715880409082
DUGNY,Charges financières,19.641039946864
EPINAY-SUR-SEINE,Charges financières,15.6305191972077
GAGNY,Charges financières,8.88441708706674
GOURNAY-SUR-MARNE,Charges financières,29.2752995524758
ILE-SAINT-DENIS (L' ),Charges financières,24.6042838283828
LILAS (LES),Charges financières,57.3840190393769
LIVRY-GARGAN,Charges financières,19.0333110255607
MONTFERMEIL,Charges financières,16.4036116474859
MONTREUIL,Charges financières,35.2409396266409
NEUILLY-PLAISANCE,Charges financières,25.9258378302285
NEUILLY-SUR-MARNE,Charges financières,1.91583276138183
NOISY-LE-GRAND,Charges financières,49.0642547575844
NOISY-LE-SEC,Charges financières,52.2659953623987
PANTIN,Charges financières,35.22495069318
PAVILLONS-SOUS-BOIS (LES),Charges financières,8.13494766848196
PIERREFITTE-SUR-SEINE,Charges financières,41.6941819707907
PRE-SAINT-GERVAIS (LE ),Charges financières,8.48304179087688
RAINCY (LE ),Charges financières,6.40599063327225
ROMAINVILLE,Charges financières,65.6762274099263
ROSNY-SOUS-BOIS,Charges financières,28.4806288469658
SAINT-DENIS,Charges financières,28.3811985229188
SAINT-OUEN,Charges financières,104.605570411993
SEVRAN,Charges financières,63.2282284791047
STAINS,Charges financières,41.7173750062937
TREMBLAY-EN-FRANCE,Charges financières,2.06856271605632
VAUJOURS,Charges financières,7.63884080590238
VILLEMOMBLE,Charges financières,0
VILLEPINTE,Charges financières,15.6898228448393
VILLETANEUSE,Charges financières,11.6926902280386
AUBERVILLIERS,Concours de l'Etat,353.656300235986
AULNAY-SOUS-BOIS,Concours de l'Etat,346.633105234395
BAGNOLET,Concours de l'Etat,196.13727827051
BLANC-MESNIL (LE ),Concours de l'Etat,332.172190188788
BOBIGNY,Concours de l'Etat,411.437490388312
BONDY,Concours de l'Etat,481.789001229371
LE BOURGET,Concours de l'Etat,122.677534011521
CLICHY-SOUS-BOIS,Concours de l'Etat,831.152789844292
COUBRON,Concours de l'Etat,95.1178785995442
COURNEUVE (LA ),Concours de l'Etat,417.235580131566
DRANCY,Concours de l'Etat,318.298507250093
DUGNY,Concours de l'Etat,461.71837935288
EPINAY-SUR-SEINE,Concours de l'Etat,516.982475276323
GAGNY,Concours de l'Etat,267.581231332982
GOURNAY-SUR-MARNE,Concours de l'Etat,112.841922910351
ILE-SAINT-DENIS (L' ),Concours de l'Etat,339.935577557756
LILAS (LES),Concours de l'Etat,135.810341843358
LIVRY-GARGAN,Concours de l'Etat,174.738551412328
MONTFERMEIL,Concours de l'Etat,391.369902293968
MONTREUIL,Concours de l'Etat,162.064287308021
NEUILLY-PLAISANCE,Concours de l'Etat,249.696166299094
NEUILLY-SUR-MARNE,Concours de l'Etat,368.676675817891
NOISY-LE-GRAND,Concours de l'Etat,162.554054256707
NOISY-LE-SEC,Concours de l'Etat,435.878239318594
PANTIN,Concours de l'Etat,121.552651030305
PAVILLONS-SOUS-BOIS (LES),Concours de l'Etat,125.282717835262
PIERREFITTE-SUR-SEINE,Concours de l'Etat,408.385395333221
PRE-SAINT-GERVAIS (LE ),Concours de l'Etat,311.864969908319
RAINCY (LE ),Concours de l'Etat,137.387972578565
ROMAINVILLE,Concours de l'Etat,253.782562182402
ROSNY-SOUS-BOIS,Concours de l'Etat,177.949936670889
SAINT-DENIS,Concours de l'Etat,258.317501092648
SAINT-OUEN,Concours de l'Etat,106.889260299817
SEVRAN,Concours de l'Etat,573.095180186393
STAINS,Concours de l'Etat,525.151351895675
TREMBLAY-EN-FRANCE,Concours de l'Etat,51.16609988477
VAUJOURS,Concours de l'Etat,170.421963677639
VILLEMOMBLE,Concours de l'Etat,263.136690408041
VILLEPINTE,Concours de l'Etat,160.401215556949
VILLETANEUSE,Concours de l'Etat,511.983857064493
AUBERVILLIERS,Dépenses d'équipement,119.478402291081
AULNAY-SOUS-BOIS,Dépenses d'équipement,255.092203055575
BAGNOLET,Dépenses d'équipement,585.583390798226
BLANC-MESNIL (LE ),Dépenses d'équipement,647.226087909324
BOBIGNY,Dépenses d'équipement,336.121344867359
BONDY,Dépenses d'équipement,246.39186249674
LE BOURGET,Dépenses d'équipement,506.949033582547
CLICHY-SOUS-BOIS,Dépenses d'équipement,192.496555919204
COUBRON,Dépenses d'équipement,101.58546509219
COURNEUVE (LA ),Dépenses d'équipement,491.21650800839
DRANCY,Dépenses d'équipement,376.470284448623
DUGNY,Dépenses d'équipement,495.127823322896
EPINAY-SUR-SEINE,Dépenses d'équipement,315.81505853694
GAGNY,Dépenses d'équipement,244.047447983335
GOURNAY-SUR-MARNE,Dépenses d'équipement,108.729210336365
ILE-SAINT-DENIS (L' ),Dépenses d'équipement,698.515382178218
LILAS (LES),Dépenses d'équipement,144.569636520987
LIVRY-GARGAN,Dépenses d'équipement,277.199192443708
MONTFERMEIL,Dépenses d'équipement,860.43730555341
MONTREUIL,Dépenses d'équipement,326.104425830203
NEUILLY-PLAISANCE,Dépenses d'équipement,135.221980667261
NEUILLY-SUR-MARNE,Dépenses d'équipement,357.789894474948
NOISY-LE-GRAND,Dépenses d'équipement,353.567379542012
NOISY-LE-SEC,Dépenses d'équipement,425.734852492137
PANTIN,Dépenses d'équipement,422.909999819719
PAVILLONS-SOUS-BOIS (LES),Dépenses d'équipement,427.873544503063
PIERREFITTE-SUR-SEINE,Dépenses d'équipement,204.734920933356
PRE-SAINT-GERVAIS (LE ),Dépenses d'équipement,342.615748917262
RAINCY (LE ),Dépenses d'équipement,245.247505599674
ROMAINVILLE,Dépenses d'équipement,705.510578458717
ROSNY-SOUS-BOIS,Dépenses d'équipement,294.959820234207
SAINT-DENIS,Dépenses d'équipement,289.052830983026
SAINT-OUEN,Dépenses d'équipement,212.383829953038
SEVRAN,Dépenses d'équipement,221.031635371308
STAINS,Dépenses d'équipement,202.085129902825
TREMBLAY-EN-FRANCE,Dépenses d'équipement,449.504907956494
VAUJOURS,Dépenses d'équipement,342.915947786606
VILLEMOMBLE,Dépenses d'équipement,284.135339146642
VILLEPINTE,Dépenses d'équipement,304.200781935625
VILLETANEUSE,Dépenses d'équipement,124.913343781835
AUBERVILLIERS,Dépenses d'intervention,179.32424454801
AULNAY-SOUS-BOIS,Dépenses d'intervention,159.707190581415
BAGNOLET,Dépenses d'intervention,122.100310698448
BLANC-MESNIL (LE ),Dépenses d'intervention,115.278560291714
BOBIGNY,Dépenses d'intervention,123.160649365629
BONDY,Dépenses d'intervention,79.259325149946
LE BOURGET,Dépenses d'intervention,74.3054265228582
CLICHY-SOUS-BOIS,Dépenses d'intervention,119.798318291514
COUBRON,Dépenses d'intervention,30.3513569504868
COURNEUVE (LA ),Dépenses d'intervention,107.89379492802
DRANCY,Dépenses d'intervention,66.6032380423326
DUGNY,Dépenses d'intervention,75.1533551570358
EPINAY-SUR-SEINE,Dépenses d'intervention,252.706358529668
GAGNY,Dépenses d'intervention,60.2389749767839
GOURNAY-SUR-MARNE,Dépenses d'intervention,38.4803479139599
ILE-SAINT-DENIS (L' ),Dépenses d'intervention,79.311798019802
LILAS (LES),Dépenses d'intervention,114.662127650368
LIVRY-GARGAN,Dépenses d'intervention,63.9428416670397
MONTFERMEIL,Dépenses d'intervention,62.0102560438712
MONTREUIL,Dépenses d'intervention,107.576189152505
NEUILLY-PLAISANCE,Dépenses d'intervention,69.3159269860635
NEUILLY-SUR-MARNE,Dépenses d'intervention,101.465323438572
NOISY-LE-GRAND,Dépenses d'intervention,74.2643382871197
NOISY-LE-SEC,Dépenses d'intervention,91.2208430332667
PANTIN,Dépenses d'intervention,138.050039842074
PAVILLONS-SOUS-BOIS (LES),Dépenses d'intervention,102.632151123213
PIERREFITTE-SUR-SEINE,Dépenses d'intervention,149.259919086789
PRE-SAINT-GERVAIS (LE ),Dépenses d'intervention,106.642259407166
RAINCY (LE ),Dépenses d'intervention,41.3862953912984
ROMAINVILLE,Dépenses d'intervention,84.5377774806098
ROSNY-SOUS-BOIS,Dépenses d'intervention,97.7176510454859
SAINT-DENIS,Dépenses d'intervention,134.322514694995
SAINT-OUEN,Dépenses d'intervention,106.784354736173
SEVRAN,Dépenses d'intervention,110.899395700747
STAINS,Dépenses d'intervention,139.96817808771
TREMBLAY-EN-FRANCE,Dépenses d'intervention,326.256313200866
VAUJOURS,Dépenses d'intervention,80.4559562996595
VILLEMOMBLE,Dépenses d'intervention,89.3523677028556
VILLEPINTE,Dépenses d'intervention,100.071396255212
VILLETANEUSE,Dépenses d'intervention,56.8382054697908
AUBERVILLIERS,Dépenses d'investissement hors remb,137.514876967045
AULNAY-SOUS-BOIS,Dépenses d'investissement hors remb,295.853798322522
BAGNOLET,Dépenses d'investissement hors remb,585.977289079823
BLANC-MESNIL (LE ),Dépenses d'investissement hors remb,663.753653068923
BOBIGNY,Dépenses d'investissement hors remb,368.932981353326
BONDY,Dépenses d'investissement hors remb,259.763588645084
LE BOURGET,Dépenses d'investissement hors remb,506.949033582547
CLICHY-SOUS-BOIS,Dépenses d'investissement hors remb,198.705064960825
COUBRON,Dépenses d'investissement hors remb,101.58546509219
COURNEUVE (LA ),Dépenses d'investissement hors remb,504.15131042044
DRANCY,Dépenses d'investissement hors remb,400.421090220209
DUGNY,Dépenses d'investissement hors remb,496.238499857672
EPINAY-SUR-SEINE,Dépenses d'investissement hors remb,330.558804901105
GAGNY,Dépenses d'investissement hors remb,247.517432673242
GOURNAY-SUR-MARNE,Dépenses d'investissement hors remb,152.038002021077
ILE-SAINT-DENIS (L' ),Dépenses d'investissement hors remb,699.060454125413
LILAS (LES),Dépenses d'investissement hors remb,157.626736045002
LIVRY-GARGAN,Dépenses d'investissement hors remb,280.587422668875
MONTFERMEIL,Dépenses d'investissement hors remb,864.760556885765
MONTREUIL,Dépenses d'investissement hors remb,346.184697854301
NEUILLY-PLAISANCE,Dépenses d'investissement hors remb,140.870807094927
NEUILLY-SUR-MARNE,Dépenses d'investissement hors remb,442.428695092656
NOISY-LE-GRAND,Dépenses d'investissement hors remb,384.514557683368
NOISY-LE-SEC,Dépenses d'investissement hors remb,436.195182404665
PANTIN,Dépenses d'investissement hors remb,433.283274621861
PAVILLONS-SOUS-BOIS (LES),Dépenses d'investissement hors remb,447.06473791695
PIERREFITTE-SUR-SEINE,Dépenses d'investissement hors remb,211.884022830284
PRE-SAINT-GERVAIS (LE ),Dépenses d'investissement hors remb,354.966331064739
RAINCY (LE ),Dépenses d'investissement hors remb,269.868536618476
ROMAINVILLE,Dépenses d'investissement hors remb,711.974984143965
ROSNY-SOUS-BOIS,Dépenses d'investissement hors remb,307.882120080884
SAINT-DENIS,Dépenses d'investissement hors remb,337.891099604863
SAINT-OUEN,Dépenses d'investissement hors remb,388.174789492033
SEVRAN,Dépenses d'investissement hors remb,224.693686481587
STAINS,Dépenses d'investissement hors remb,261.018693167514
TREMBLAY-EN-FRANCE,Dépenses d'investissement hors remb,542.428776313201
VAUJOURS,Dépenses d'investissement hors remb,354.449941827469
