"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"907935";"69";"CRS3035RES200mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"6926469115";402;114;50;19;33;69;12;6041437,9;9085;108;6;0;5;71;38;0;4;23;25;53;60;31;84;83;18;18;6
"907936";"69";"CRS3035RES200mN2555000E3913200";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";1;0;"69264";2;0,8;0;0,2;0,1;0,4;0,2;38948,9;57;0,2;0,6;0,5;0;0,1;0,1;0,1;0;0,1;0;0,1;0,2;0,1;0,3;0,4;0,2;0,5;0,1
"907937";"69";"CRS3035RES200mN2555000E3913400";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";1;0;"69264";2;0,8;0;0,2;0,1;0,4;0,2;38948,9;57;0,2;0,6;0,5;0;0,1;0,1;0,1;0;0,1;0;0,1;0,2;0,1;0,3;0,4;0,2;0,5;0,1
"907938";"69";"CRS3035RES200mN2555000E3913800";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";1;0;"69264";3;1,2;0,1;0,3;0,2;0,6;0,4;58423,4;85,5;0,3;0,9;0,8;0;0,1;0,2;0,1;0;0,1;0,1;0,1;0,4;0,1;0,4;0,6;0,3;0,7;0,2
"908570";"69";"CRS3035RES200mN2555200E3911000";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"6926469115";478;262;25;137;5;144;27;10299466,4;17849;248;14;9;108;3;142;0;0;22;10;21;30;34;96;82;50;88;45
"908571";"69";"CRS3035RES200mN2555200E3911200";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"6926469115";182,5;96;5;44;2;53;3;4903673,4;6974;62;34;20;14;2;57;3;4;8;3;11;5,5;21;47;22;26;23;16
"908572";"69";"CRS3035RES200mN2555200E3911400";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"6926469115";342;158;18;76;17;65;9;7148598,1;11629;146;12;5;18;86;49;0;24;23;8;26;29;22;55;59;37;49;34
"908573";"69";"CRS3035RES200mN2555200E3911600";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";1;0;"69264";34;14,9;1,7;5;0,8;5,8;0,8;751323,9;1119,5;7,4;7,5;10;4,1;0,8;0;0;3,3;0;0;0,8;3,3;5;3,3;7,5;4,1;7,5;2,5
"908574";"69";"CRS3035RES200mN2555200E3911800";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";211,5;96;11;41;9;57;11;4383658,3;7014;56;40;49;41;1;4;1;3;11;8;13;20,5;15;44;35;25;33;7
"908575";"69";"CRS3035RES200mN2555200E3912000";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";155,5;42;6;5;15;21;7;3023592,6;3949;0;42;2;0;0;40;0;16;8;7;22;27;12,5;27;28;19;5;0
"908576";"69";"CRS3035RES200mN2555200E3912200";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";164;79;38;33;6;23;9;2857443;3292;58;21;0;0;50;29;0;0;10;4;6;12;7;27;31;22;28;17
"908577";"69";"CRS3035RES200mN2555200E3912400";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";64;25;2;7;5;13;1;1639232,3;2376;14;11;5;1;3;16;0;11;2;1;7;7;5;11;10;10;9;2
"908578";"69";"CRS3035RES200mN2555200E3912600";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";353,5;160;31;62;15;78;25;6877818,3;11973;141;19;9;73;72;6;0;42;22;12,5;24,5;31,5;23;70;67;47;41;14
"908579";"69";"CRS3035RES200mN2555200E3912800";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";584,5;181;91;40;51;20;23;8224325,9;14753;159;22;4;0;172;5;0;158;40;22;60,5;79;42;111;99;47;53;22
"908580";"69";"CRS3035RES200mN2555200E3913000";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"69264";195;61;25;15;18;6;5;2794403,8;4669;45;16;3;29;0;29;0;54;13;6;30;27;11;40;35;14;15;4
"908581";"69";"CRS3035RES200mN2555200E3913200";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"69264";112;44;24;13;6;6;3;1463224;2543;37;7;7;37;0;0;0;37;9;4;8;8;8;21;19;7;25;3
"908582";"69";"CRS3035RES200mN2555200E3914000";"CRS3035RES1000mN2555000E3914000";"CRS3035RES1000mN2555000E3914000";1;0;"6926401194";3;1,3;0,1;0,2;0,1;1,1;0,2;63765,5;142,3;0;1,3;0;0;1,1;0,2;0;0;0;0;0,2;0,1;0,4;0,2;0,4;0,7;0,7;0,3
"909203";"69";"CRS3035RES200mN2555400E3910000";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555400E3910000";0;0;"692646911569092";165,5;69;38;26;10;0;17;2224418;4686;69;0;0;0;69;0;0;69;15,5;5;13;26;5;33;35;12;17;4
"909208";"69";"CRS3035RES200mN2555400E3911000";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";193,5;105;6;49;3;82;8;5462051,1;8506;89;16;0;13;39;53;0;0;4,5;4;11;8,5;11,5;22;30;26;52;24
"909209";"69";"CRS3035RES200mN2555400E3911200";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";140;61;5;24;6;33;6;3907879,3;5116;33;28;44;5;6;6;0;0;8;4;11;13;12;22;40;15;13;2
"909210";"69";"CRS3035RES200mN2555400E3911400";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";513,5;299;28;161;4;114;34;12011971,4;18870;274;25;70;1;6;221;1;0;26;10;19;27;45,5;138;93;53;69;33
"909211";"69";"CRS3035RES200mN2555400E3911600";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";168,5;103;5;50;1;34;13;4148663,9;6621;95;8;6;0;1;96;0;0;5;2;4;2,5;12;50;21;26;31;15
