"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"137","L'Île-Saint-Denis","Achats et charges externes","526.6732960958195"
"138","Les Lilas","Achats et charges externes","364.4177091016999"
"139","Livry-Gargan","Achats et charges externes","341.7412250638279"
"140","Montfermeil","Achats et charges externes","407.1635501779359"
"141","Montreuil","Achats et charges externes","445.00762298374497"
"142","Neuilly-Plaisance","Achats et charges externes","336.1070480081716"
"143","Neuilly-sur-Marne","Achats et charges externes","295.16727091580543"
"144","Noisy-le-Grand","Achats et charges externes","462.6040143272954"
"145","Noisy-le-Sec","Achats et charges externes","354.6902989465487"
"146","Pantin","Achats et charges externes","440.491908659919"
"147","Les Pavillons-sous-Bois","Achats et charges externes","332.82154524476675"
"148","Pierrefitte-sur-Seine","Achats et charges externes","234.14877937457598"
"149","Le Pré-Saint-Gervais","Achats et charges externes","500.18920357121743"
"150","Le Raincy","Achats et charges externes","766.4631322182398"
"151","Romainville","Achats et charges externes","430.1109816153316"
"152","Rosny-sous-Bois","Achats et charges externes","493.9252415116558"
"153","Saint-Denis","Achats et charges externes","343.66514470910073"
"154","Saint-Ouen-sur-Seine","Achats et charges externes","515.9120930232558"
"155","Sevran","Achats et charges externes","473.69212684127535"
"156","Stains","Achats et charges externes","315.9505884825557"
"157","Tremblay-en-France","Achats et charges externes","580.4132286995515"
"158","Vaujours","Achats et charges externes","486.1414425751755"
"159","Villemomble","Achats et charges externes","327.5200897948483"
"160","Villepinte","Achats et charges externes","409.8675545131193"
"161","Villetaneuse","Achats et charges externes","528.797794855709"
"162","Le Raincy","Autres dotations de fonctionnement","16.6883266958715"
"163","Aubervilliers","Autres dotations de fonctionnement","3.9669309431746416"
"164","Aulnay-sous-Bois","Autres dotations de fonctionnement","8.148463165437692"
"165","Bagnolet","Autres dotations de fonctionnement","6.485832932418403"
"166","Le Blanc-Mesnil","Autres dotations de fonctionnement","8.31072813206384"
"167","Bobigny","Autres dotations de fonctionnement","8.545787175445271"
"168","Bondy","Autres dotations de fonctionnement","6.972978310437748"
"169","Le Bourget","Autres dotations de fonctionnement","2.0939549428379287"
"170","Clichy-sous-Bois","Autres dotations de fonctionnement","5.662039186740924"
"171","Coubron","Autres dotations de fonctionnement","4.0646171920892895"
"172","La Courneuve","Autres dotations de fonctionnement","0.0008881558079045867"
"173","Drancy","Autres dotations de fonctionnement","9.158360770186682"
"174","Dugny","Autres dotations de fonctionnement","3.32353800140746"
"175","Épinay-sur-Seine","Autres dotations de fonctionnement","3.187307269235789"
"176","Gagny","Autres dotations de fonctionnement","2.5598755812803007"
"177","Gournay-sur-Marne","Autres dotations de fonctionnement","6.121454493087557"
"178","L'Île-Saint-Denis","Autres dotations de fonctionnement","0.018772313716457444"
"179","Les Lilas","Autres dotations de fonctionnement","1.7181724532621137"
"180","Livry-Gargan","Autres dotations de fonctionnement","5.867445367605695"
"181","Montfermeil","Autres dotations de fonctionnement","5.453275444839858"
"182","Montreuil","Autres dotations de fonctionnement","5.833011773947352"
"183","Neuilly-Plaisance","Autres dotations de fonctionnement","4.436268455752623"
"184","Neuilly-sur-Marne","Autres dotations de fonctionnement","2.6916761869337655"
"185","Noisy-le-Grand","Autres dotations de fonctionnement","2.862299997174104"
"186","Noisy-le-Sec","Autres dotations de fonctionnement","5.066004456077354"
