"","LIBCOM","nb","zone","typecom","com","reg","dep","arr","tncc","ncc","nccenr","can","comparent","reg2","corresp"
"28","Athis-Mons",4189,"IDF_DEP_91","COM","91027",11,"91","913",1,"ATHIS MONS","Athis-Mons","9102",NA,"11","ok"
"29","Aubagne",5269,"reg93","COM","13005",93,"13","133",1,"AUBAGNE","Aubagne","1305",NA,"93","ok"
"30","Aubervilliers",12389,"IDF_DEP_93","COM","93001",11,"93","933",1,"AUBERVILLIERS","Aubervilliers","9301",NA,"11","ok"
"31","Auch",2134,"reg76","COM","32013",76,"32","321",1,"AUCH","Auch","3299",NA,"76","ok"
"32","Aulnay-sous-Bois",9705,"IDF_DEP_93","COM","93005",11,"93","932",1,"AULNAY SOUS BOIS","Aulnay-sous-Bois","9302",NA,"11","ok"
"33","Aurillac",3185,"reg84","COM","15014",84,"15","151",1,"AURILLAC","Aurillac","1598",NA,"84","ok"
"34","Avignon",13990,"reg93","COM","84007",93,"84","842",1,"AVIGNON","Avignon","8499",NA,"93","ok"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bagneux",10732,"IDF_DEP_92","COM","92007",11,"92","921",0,"BAGNEUX","Bagneux","9203",NA,"11","ok"
"43","Bagnolet",6843,"IDF_DEP_93","COM","93006",11,"93","931",0,"BAGNOLET","Bagnolet","9303",NA,"11","ok"
"45","Barentin",2221,"reg28","COM","76057",28,"76","763",0,"BARENTIN","Barentin","7601",NA,"28","ok"
"46","Bastia",5141,"reg94","COM","2B033",94,"2B","2B2",0,"BASTIA","Bastia","2B99",NA,"94","ok"
"47","Bayeux",2349,"reg28","COM","14047",28,"14","141",0,"BAYEUX","Bayeux","1402",NA,"28","ok"
"48","Bayonne",6274,"reg75","COM","64102",75,"64","641",0,"BAYONNE","Bayonne","6497",NA,"75","ok"
"49","Beaune",2520,"reg27","COM","21054",27,"21","211",0,"BEAUNE","Beaune","2103",NA,"27","ok"
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Beauvais",10058,"reg32","COM","60057",32,"60","601",0,"BEAUVAIS","Beauvais","6098",NA,"32","ok"
"52","Bègles",3753,"reg75","COM","33039",75,"33","332",0,"BEGLES","Bègles","3396",NA,"75","ok"
"53","Belfort",9141,"reg27","COM","90010",27,"90","901",0,"BELFORT","Belfort","9099",NA,"27","ok"
"54","Bezons",4779,"IDF_DEP_95","COM","95063",11,"95","951",0,"BEZONS","Bezons","9503",NA,"11","ok"
"55","Blois",8502,"reg24","COM","41018",24,"41","411",0,"BLOIS","Blois","4199",NA,"24","ok"
"56","Bobigny",10165,"IDF_DEP_93","COM","93008",11,"93","931",0,"BOBIGNY","Bobigny","9395",NA,"11","ok"
"57","Bois-Colombes",2290,"IDF_DEP_92","COM","92009",11,"92","922",0,"BOIS COLOMBES","Bois-Colombes","9211",NA,"11","ok"
"58","Boissy-Saint-Léger",2249,"IDF_DEP_94","COM","94004",11,"94","941",0,"BOISSY SAINT LEGER","Boissy-Saint-Léger","9416",NA,"11","ok"
"59","Bondy",9390,"IDF_DEP_93","COM","93010",11,"93","931",0,"BONDY","Bondy","9306",NA,"11","ok"
"60","Bonneuil-sur-Marne",4234,"IDF_DEP_94","COM","94011",11,"94","941",0,"BONNEUIL SUR MARNE","Bonneuil-sur-Marne","9418",NA,"11","ok"
"61","Bordeaux",21300,"reg75","COM","33063",75,"33","332",0,"BORDEAUX","Bordeaux","3397",NA,"75","ok"
"62","Boulogne-Billancourt",8656,"IDF_DEP_92","COM","92012",11,"92","923",0,"BOULOGNE BILLANCOURT","Boulogne-Billancourt","9296",NA,"11","ok"
"63","Boulogne-sur-Mer",7234,"reg32","COM","62160",32,"62","623",0,"BOULOGNE SUR MER","Boulogne-sur-Mer","6297",NA,"32","ok"
"64","Bourges",9911,"reg24","COM","18033",24,"18","181",0,"BOURGES","Bourges","1898",NA,"24","ok"
"65","Brest",15526,"reg53","COM","29019",53,"29","291",0,"BREST","Brest","2998",NA,"53","ok"
"66","Brétigny-sur-Orge",3250,"IDF_DEP_91","COM","91103",11,"91","913",0,"BRETIGNY SUR ORGE","Brétigny-sur-Orge","9103",NA,"11","ok"
"67","Brive-la-Gaillarde",3744,"reg75","COM","19031",75,"19","191",0,"BRIVE LA GAILLARDE","Brive-la-Gaillarde","1999",NA,"75","ok"
"68","Bron",4630,"reg84","COM","69029",84,"69","691",0,"BRON","Bron","",NA,"84","ok"
"69","Cachan",4887,"IDF_DEP_94","COM","94016",11,"94","943",0,"CACHAN","Cachan","9402",NA,"11","ok"
"70","Caen",15558,"reg28","COM","14118",28,"14","142",0,"CAEN","Caen","1499",NA,"28","ok"
"71","Caluire-et-Cuire",3625,"reg84","COM","69034",84,"69","691",0,"CALUIRE ET CUIRE","Caluire-et-Cuire","",NA,"84","ok"
"72","Cambrai",2972,"reg32","COM","59122",32,"59","592",0,"CAMBRAI","Cambrai","5909",NA,"32","ok"
"73","Cannes",6324,"reg93","COM","06029",93,"06","061",0,"CANNES","Cannes","0696",NA,"93","ok"
"74","Canteleu",4027,"reg28","COM","76157",28,"76","763",0,"CANTELEU","Canteleu","7604",NA,"28","ok"
"75","Carcassonne",4743,"reg76","COM","11069",76,"11","111",0,"CARCASSONNE","Carcassonne","1198",NA,"76","ok"
"76","Carpentras",2205,"reg93","COM","84031",93,"84","843",0,"CARPENTRAS","Carpentras","8406",NA,"93","ok"
"77","Carrières-sous-Poissy",2292,"IDF_DEP_78","COM","78123",11,"78","783",0,"CARRIERES SOUS POISSY","Carrières-sous-Poissy","7813",NA,"11","ok"
"79","Castres",3223,"reg76","COM","81065",76,"81","812",0,"CASTRES","Castres","8198",NA,"76","ok"
"80","Cavaillon",2466,"reg93","COM","84035",93,"84","841",0,"CAVAILLON","Cavaillon","8407",NA,"93","ok"
"82","Cenon",4236,"reg75","COM","33119",75,"33","332",0,"CENON","Cenon","3309",NA,"75","ok"
"83","Cergy",11208,"IDF_DEP_95","COM","95127",11,"95","953",0,"CERGY","Cergy","9599",NA,"11","ok"
"84","Châlette-sur-Loing",2118,"reg24","COM","45068",24,"45","451",0,"CHALETTE SUR LOING","Châlette-sur-Loing","4502",NA,"24","ok"
"85","Châlons-en-Champagne",9668,"reg44","COM","51108",44,"51","511",0,"CHALONS EN CHAMPAGNE","Châlons-en-Champagne","5197",NA,"44","ok"
"86","Chambéry",7877,"reg84","COM","73065",84,"73","732",0,"CHAMBERY","Chambéry","7399",NA,"84","ok"
"87","Champigny-sur-Marne",12283,"IDF_DEP_94","COM","94017",11,"94","942",0,"CHAMPIGNY SUR MARNE","Champigny-sur-Marne","9493",NA,"11","ok"
"88","Champs-sur-Marne",3815,"IDF_DEP_77","COM","77083",11,"77","775",0,"CHAMPS SUR MARNE","Champs-sur-Marne","7701",NA,"11","ok"
"89","Charenton-le-Pont",3907,"IDF_DEP_94","COM","94018",11,"94","942",0,"CHARENTON LE PONT","Charenton-le-Pont","9405",NA,"11","ok"
"90","Charleville-Mézières",10045,"reg44","COM","08105",44,"08","081",0,"CHARLEVILLE MEZIERES","Charleville-Mézières","0898",NA,"44","ok"
"91","Chartres",6213,"reg24","COM","28085",24,"28","281",0,"CHARTRES","Chartres","2898",NA,"24","ok"
"92","Château-Thierry",2596,"reg32","COM","02168",32,"02","021",0,"CHATEAU THIERRY","Château-Thierry","0202",NA,"32","ok"
"93","Châtenay-Malabry",6282,"IDF_DEP_92","COM","92019",11,"92","921",0,"CHATENAY MALABRY","Châtenay-Malabry","9206",NA,"11","ok"
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Châtillon",3949,"IDF_DEP_92","COM","92020",11,"92","921",0,"CHATILLON","Châtillon","9207",NA,"11","ok"
"99","Chaville",2301,"IDF_DEP_92","COM","92022",11,"92","923",0,"CHAVILLE","Chaville","9217",NA,"11","ok"
"101","Chelles",4888,"IDF_DEP_77","COM","77108",11,"77","775",0,"CHELLES","Chelles","7702",NA,"11","ok"
"102","Chevilly-Larue",3035,"IDF_DEP_94","COM","94021",11,"94","943",0,"CHEVILLY LARUE","Chevilly-Larue","9419",NA,"11","ok"
"103","Choisy-le-Roi",6638,"IDF_DEP_94","COM","94022",11,"94","943",0,"CHOISY LE ROI","Choisy-le-Roi","9406",NA,"11","ok"
"104","Cholet",5063,"reg52","COM","49099",52,"49","492",0,"CHOLET","Cholet","4999",NA,"52","ok"
"105","Clamart",6682,"IDF_DEP_92","COM","92023",11,"92","921",0,"CLAMART","Clamart","9208",NA,"11","ok"
"106","Clermont-Ferrand",21250,"reg84","COM","63113",84,"63","632",0,"CLERMONT FERRAND","Clermont-Ferrand","6399",NA,"84","ok"
"107","Clichy",9970,"IDF_DEP_92","COM","92024",11,"92","922",0,"CLICHY","Clichy","9209",NA,"11","ok"
"108","Clichy-sous-Bois",3323,"IDF_DEP_93","COM","93014",11,"93","932",0,"CLICHY SOUS BOIS","Clichy-sous-Bois","9311",NA,"11","ok"
"109","Colombes",11700,"IDF_DEP_92","COM","92025",11,"92","922",0,"COLOMBES","Colombes","9297",NA,"11","ok"
"110","Compiègne",7028,"reg32","COM","60159",32,"60","603",0,"COMPIEGNE","Compiègne","6099",NA,"32","ok"
"111","Conflans-Sainte-Honorine",2979,"IDF_DEP_78","COM","78172",11,"78","783",0,"CONFLANS SAINTE HONORINE","Conflans-Sainte-Honorine","7805",NA,"11","ok"
"112","Corbeil-Essonnes",6257,"IDF_DEP_91","COM","91174",11,"91","912",0,"CORBEIL ESSONNES","Corbeil-Essonnes","9104",NA,"11","ok"
"113","Coudekerque-Branche",2890,"reg32","COM","59155",32,"59","594",0,"COUDEKERQUE BRANCHE","Coudekerque-Branche","5912",NA,"32","ok"
"114","Coulommiers",2273,"IDF_DEP_77","COM","77131",11,"77","771",0,"COULOMMIERS","Coulommiers","7705",NA,"11","ok"
"115","Courbevoie",9535,"IDF_DEP_92","COM","92026",11,"92","922",0,"COURBEVOIE","Courbevoie","9298",NA,"11","ok"
"116","Creil",7443,"reg32","COM","60175",32,"60","604",0,"CREIL","Creil","6008",NA,"32","ok"
"117","Créteil",14625,"IDF_DEP_94","COM","94028",11,"94","941",0,"CRETEIL","Créteil","9494",NA,"11","ok"
"118","Dammarie-les-Lys",3403,"IDF_DEP_77","COM","77152",11,"77","772",0,"DAMMARIE LES LYS","Dammarie-les-Lys","7719",NA,"11","ok"
"119","Dax",2094,"reg75","COM","40088",75,"40","401",0,"DAX","Dax","4098",NA,"75","ok"
"120","Décines-Charpieu",2764,"reg84","COM","69275",84,"69","691",0,"DECINES CHARPIEU","Décines-Charpieu","",NA,"84","ok"
"121","Denain",2635,"reg32","COM","59172",32,"59","596",0,"DENAIN","Denain","5914",NA,"32","ok"
"122","Dieppe",5674,"reg28","COM","76217",28,"76","761",0,"DIEPPE","Dieppe","7695",NA,"28","ok"
"123","Dole",3305,"reg27","COM","39198",27,"39","391",0,"DOLE","Dole","3998",NA,"27","ok"
"124","Douai",7206,"reg32","COM","59178",32,"59","593",0,"DOUAI","Douai","5915",NA,"32","ok"
"125","Drancy",8410,"IDF_DEP_93","COM","93029",11,"93","932",0,"DRANCY","Drancy","9396",NA,"11","ok"
"126","Draveil",3210,"IDF_DEP_91","COM","91201",11,"91","912",0,"DRAVEIL","Draveil","9106",NA,"11","ok"
"127","Dreux",4652,"reg24","COM","28134",24,"28","283",0,"DREUX","Dreux","2899",NA,"24","ok"
"128","Dugny",2865,"IDF_DEP_93","COM","93030",11,"93","932",0,"DUGNY","Dugny","9307",NA,"11","ok"
"129","Dunkerque",14230,"reg32","COM","59183",32,"59","594",0,"DUNKERQUE","Dunkerque","5996",NA,"32","ok"
"130","Eaubonne",2069,"IDF_DEP_95","COM","95203",11,"95","951",1,"EAUBONNE","Eaubonne","9508",NA,"11","ok"
"131","Écully",2244,"reg84","COM","69081",84,"69","691",1,"ECULLY","Écully","",NA,"84","ok"
"132","Élancourt",2479,"IDF_DEP_78","COM","78208",11,"78","782",1,"ELANCOURT","Élancourt","7818",NA,"11","ok"
"133","Elbeuf",3500,"reg28","COM","76231",28,"76","763",1,"ELBEUF","Elbeuf","7609",NA,"28","ok"
"134","Épernay",3756,"reg44","COM","51230",44,"51","512",1,"EPERNAY","Épernay","5198",NA,"44","ok"
"135","Épinay-sur-Seine",6560,"IDF_DEP_93","COM","93031",11,"93","933",1,"EPINAY SUR SEINE","Épinay-sur-Seine","9397",NA,"11","ok"
"136","Éragny",2028,"IDF_DEP_95","COM","95218",11,"95","953",1,"ERAGNY","Éragny","9505",NA,"11","ok"
"137","Ermont",4151,"IDF_DEP_95","COM","95219",11,"95","951",1,"ERMONT","Ermont","9508",NA,"11","ok"
"138","Étampes",2396,"IDF_DEP_91","COM","91223",11,"91","911",1,"ETAMPES","Étampes","9108",NA,"11","ok"
"139","Évreux",10167,"reg28","COM","27229",28,"27","273",1,"EVREUX","Évreux","2799",NA,"28","ok"
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Eysines",2689,"reg75","COM","33162",75,"33","332",1,"EYSINES","Eysines","3325",NA,"75","ok"
"143","Fécamp",2700,"reg28","COM","76259",28,"76","762",0,"FECAMP","Fécamp","7611",NA,"28","ok"
"144","Firminy",3115,"reg84","COM","42095",84,"42","423",0,"FIRMINY","Firminy","4206",NA,"84","ok"
"145","Flers",2315,"reg28","COM","61169",28,"61","612",0,"FLERS","Flers","6199",NA,"28","ok"
"148","Fleury-les-Aubrais",2547,"reg24","COM","45147",24,"45","452",0,"FLEURY LES AUBRAIS","Fleury-les-Aubrais","4506",NA,"24","ok"
"149","Floirac",3056,"reg75","COM","17160",75,"17","174",0,"FLOIRAC","Floirac","1721",NA,"75","ok"
"150","Floirac",3056,"reg75","COM","33167",75,"33","332",0,"FLOIRAC","Floirac","3309",NA,"75","ok"
"152","Fontenay-aux-Roses",4237,"IDF_DEP_92","COM","92032",11,"92","921",0,"FONTENAY AUX ROSES","Fontenay-aux-Roses","9207",NA,"11","ok"
"153","Fontenay-sous-Bois",7361,"IDF_DEP_94","COM","94033",11,"94","942",0,"FONTENAY SOUS BOIS","Fontenay-sous-Bois","9409",NA,"11","ok"
"154","Fougères",2944,"reg53","COM","35115",53,"35","351",0,"FOUGERES","Fougères","3597",NA,"53","ok"
"155","Franconville",3070,"IDF_DEP_95","COM","95252",11,"95","951",0,"FRANCONVILLE","Franconville","9510",NA,"11","ok"
"158","Fresnes",3342,"IDF_DEP_94","COM","94034",11,"94","943",0,"FRESNES","Fresnes","9410",NA,"11","ok"
"161","Gagny",3490,"IDF_DEP_93","COM","93032",11,"93","932",0,"GAGNY","Gagny","9310",NA,"11","ok"
"162","Garges-lès-Gonesse",6323,"IDF_DEP_95","COM","95268",11,"95","952",0,"GARGES LES GONESSE","Garges-lès-Gonesse","9511",NA,"11","ok"
"163","Gennevilliers",11928,"IDF_DEP_92","COM","92036",11,"92","922",0,"GENNEVILLIERS","Gennevilliers","9214",NA,"11","ok"
"164","Gentilly",4559,"IDF_DEP_94","COM","94037",11,"94","943",0,"GENTILLY","Gentilly","9412",NA,"11","ok"
"165","Gif-sur-Yvette",2051,"IDF_DEP_91","COM","91272",11,"91","913",0,"GIF SUR YVETTE","Gif-sur-Yvette","9110",NA,"11","ok"
"166","Gisors",2026,"reg28","COM","27284",28,"27","271",0,"GISORS","Gisors","2713",NA,"28","ok"
"167","Givors",3450,"reg84","COM","69091",84,"69","691",0,"GIVORS","Givors","",NA,"84","ok"
"168","Gonesse",4287,"IDF_DEP_95","COM","95277",11,"95","952",0,"GONESSE","Gonesse","9521",NA,"11","ok"
"169","Gonfreville-l'Orcher",2119,"reg28","COM","76305",28,"76","762",0,"GONFREVILLE L ORCHER","Gonfreville-l'Orcher","7616",NA,"28","ok"
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Goussainville",2882,"IDF_DEP_95","COM","95280",11,"95","952",0,"GOUSSAINVILLE","Goussainville","9512",NA,"11","ok"
"173","Gradignan",2500,"reg75","COM","33192",75,"33","332",0,"GRADIGNAN","Gradignan","3324",NA,"75","ok"
"174","Grasse",2903,"reg93","COM","06069",93,"06","061",0,"GRASSE","Grasse","0698",NA,"93","ok"
"176","Grigny",3992,"IDF_DEP_91","COM","91286",11,"91","912",0,"GRIGNY","Grigny","9120",NA,"11","ok"
"178","Guyancourt",6141,"IDF_DEP_78","COM","78297",11,"78","784",0,"GUYANCOURT","Guyancourt","7810",NA,"11","ok"
"179","Hérouville-Saint-Clair",4638,"reg28","COM","14327",28,"14","142",1,"HEROUVILLE SAINT CLAIR","Hérouville-Saint-Clair","1414",NA,"28","ok"
"180","Issy-les-Moulineaux",7833,"IDF_DEP_92","COM","92040",11,"92","923",1,"ISSY LES MOULINEAUX","Issy-les-Moulineaux","9215",NA,"11","ok"
"181","Ivry-sur-Seine",11471,"IDF_DEP_94","COM","94041",11,"94","943",1,"IVRY SUR SEINE","Ivry-sur-Seine","9411",NA,"11","ok"
"182","Joinville-le-Pont",2187,"IDF_DEP_94","COM","94042",11,"94","942",0,"JOINVILLE LE PONT","Joinville-le-Pont","9405",NA,"11","ok"
"183","Joué-lès-Tours",4540,"reg24","COM","37122",24,"37","372",0,"JOUE LES TOURS","Joué-lès-Tours","3707",NA,"24","ok"
"184","L'Haÿ-les-Roses",3274,"IDF_DEP_94","COM","94038",11,"94","943",5,"HAY LES ROSES","Haÿ-les-Roses","9410",NA,"11","ok"
"185","La Chapelle-Saint-Luc",2750,"reg44","COM","10081",44,"10","103",3,"CHAPELLE SAINT LUC","Chapelle-Saint-Luc","1014",NA,"44","ok"
"186","La Ciotat",4037,"reg93","COM","13028",93,"13","133",3,"CIOTAT","Ciotat","1308",NA,"93","ok"
"187","La Courneuve",7763,"IDF_DEP_93","COM","93027",11,"93","933",3,"COURNEUVE","Courneuve","9307",NA,"11","ok"
"189","La Roche-sur-Yon",6531,"reg52","COM","85191",52,"85","852",3,"ROCHE SUR YON","Roche-sur-Yon","8599",NA,"52","ok"
"190","La Rochelle",12954,"reg75","COM","17300",75,"17","173",3,"ROCHELLE","Rochelle","1799",NA,"75","ok"
"192","Lanester",2798,"reg53","COM","56098",53,"56","561",0,"LANESTER","Lanester","5607",NA,"53","ok"
"193","Laval",7106,"reg52","COM","53130",52,"53","532",0,"LAVAL","Laval","5399",NA,"52","ok"
"195","Le Blanc-Mesnil",7890,"IDF_DEP_93","COM","93007",11,"93","932",2,"BLANC MESNIL","Blanc-Mesnil","9304",NA,"11","ok"
"196","Le Bouscat",2096,"reg75","COM","33069",75,"33","332",2,"BOUSCAT","Bouscat","3307",NA,"75","ok"
"197","Le Chambon-Feugerolles",2256,"reg84","COM","42044",84,"42","423",2,"CHAMBON FEUGEROLLES","Chambon-Feugerolles","4215",NA,"84","ok"
"198","Le Grand-Quevilly",8833,"reg28","COM","76322",28,"76","763",2,"GRAND QUEVILLY","Grand-Quevilly","7613",NA,"28","ok"
"199","Le Havre",30303,"reg28","COM","76351",28,"76","762",2,"HAVRE","Havre","7696",NA,"28","ok"
"200","Le Kremlin-Bicêtre",4499,"IDF_DEP_94","COM","94043",11,"94","943",2,"KREMLIN BICETRE","Kremlin-Bicêtre","9412",NA,"11","ok"
"201","Le Mans",20260,"reg52","COM","72181",52,"72","723",2,"MANS","Mans","7299",NA,"52","ok"
"202","Le Mée-sur-Seine",3654,"IDF_DEP_77","COM","77285",11,"77","772",2,"MEE SUR SEINE","Mée-sur-Seine","7720",NA,"11","ok"
"203","Le Petit-Quevilly",4268,"reg28","COM","76498",28,"76","763",2,"PETIT QUEVILLY","Petit-Quevilly","7627",NA,"28","ok"
"204","Le Plessis-Robinson",4178,"IDF_DEP_92","COM","92060",11,"92","921",2,"PLESSIS ROBINSON","Plessis-Robinson","9206",NA,"11","ok"
"209","Les Lilas",3188,"IDF_DEP_93","COM","93045",11,"93","931",4,"LILAS","Lilas","9303",NA,"11","ok"
"210","Les Mureaux",4781,"IDF_DEP_78","COM","78440",11,"78","781",4,"MUREAUX","Mureaux","7811",NA,"11","ok"
"211","Levallois-Perret",5918,"IDF_DEP_92","COM","92044",11,"92","922",0,"LEVALLOIS PERRET","Levallois-Perret","9216",NA,"11","ok"
"212","Libourne",2167,"reg75","COM","33243",75,"33","335",0,"LIBOURNE","Libourne","3316",NA,"75","ok"
"213","Limay",2351,"IDF_DEP_78","COM","78335",11,"78","781",0,"LIMAY","Limay","7807",NA,"11","ok"
"214","Limeil-Brévannes",3127,"IDF_DEP_94","COM","94044",11,"94","941",0,"LIMEIL BREVANNES","Limeil-Brévannes","9421",NA,"11","ok"
"215","Lisieux",4266,"reg28","COM","14366",28,"14","143",0,"LISIEUX","Lisieux","1417",NA,"28","ok"
"216","Longjumeau",2589,"IDF_DEP_91","COM","91345",11,"91","913",0,"LONGJUMEAU","Longjumeau","9111",NA,"11","ok"
"217","Lons-le-Saunier",2954,"reg27","COM","39300",27,"39","392",0,"LONS LE SAUNIER","Lons-le-Saunier","3999",NA,"27","ok"
"218","Lorient",8911,"reg53","COM","56121",53,"56","561",0,"LORIENT","Lorient","5698",NA,"53","ok"
"219","Lormont",5023,"reg75","COM","33249",75,"33","332",0,"LORMONT","Lormont","3317",NA,"75","ok"
"220","Louviers",3351,"reg28","COM","27375",28,"27","271",0,"LOUVIERS","Louviers","2714",NA,"28","ok"
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Lucé",4293,"reg24","COM","28218",24,"28","281",0,"LUCE","Lucé","2812",NA,"24","ok"
"223","Lyon 1er Arrondissement",2569,"reg84","ARM","69381",84,"69","691",0,"LYON 1ER ARRONDISSEMENT","Lyon 1er Arrondissement","",69123,"84","ok"
"224","Lyon 2e Arrondissement",2199,"reg84","ARM","69382",84,"69","691",0,"LYON 2E ARRONDISSEMENT","Lyon 2e Arrondissement","",69123,"84","ok"
"225","Lyon 3e Arrondissement",8596,"reg84","ARM","69383",84,"69","691",0,"LYON 3E ARRONDISSEMENT","Lyon 3e Arrondissement","",69123,"84","ok"
"226","Lyon 4e Arrondissement",2674,"reg84","ARM","69384",84,"69","691",0,"LYON 4E ARRONDISSEMENT","Lyon 4e Arrondissement","",69123,"84","ok"
"227","Lyon 5e Arrondissement",2973,"reg84","ARM","69385",84,"69","691",0,"LYON 5E ARRONDISSEMENT","Lyon 5e Arrondissement","",69123,"84","ok"
"228","Lyon 6e Arrondissement",2506,"reg84","ARM","69386",84,"69","691",0,"LYON 6E ARRONDISSEMENT","Lyon 6e Arrondissement","",69123,"84","ok"
"229","Lyon 7e Arrondissement",7603,"reg84","ARM","69387",84,"69","691",0,"LYON 7E ARRONDISSEMENT","Lyon 7e Arrondissement","",69123,"84","ok"
"230","Lyon 8e Arrondissement",14001,"reg84","ARM","69388",84,"69","691",0,"LYON 8E ARRONDISSEMENT","Lyon 8e Arrondissement","",69123,"84","ok"
"231","Lyon 9e Arrondissement",8736,"reg84","ARM","69389",84,"69","691",0,"LYON 9E ARRONDISSEMENT","Lyon 9e Arrondissement","",69123,"84","ok"
"232","Mâcon",6643,"reg27","COM","71270",27,"71","715",0,"MACON","Mâcon","7199",NA,"27","ok"
"233","Maisons-Alfort",6601,"IDF_DEP_94","COM","94046",11,"94","942",0,"MAISONS ALFORT","Maisons-Alfort","9413",NA,"11","ok"
"234","Malakoff",5716,"IDF_DEP_92","COM","92046",11,"92","921",0,"MALAKOFF","Malakoff","9218",NA,"11","ok"
"235","Mantes-la-Jolie",7086,"IDF_DEP_78","COM","78361",11,"78","781",0,"MANTES LA JOLIE","Mantes-la-Jolie","7808",NA,"11","ok"
"236","Mantes-la-Ville",3210,"IDF_DEP_78","COM","78362",11,"78","781",0,"MANTES LA VILLE","Mantes-la-Ville","7808",NA,"11","ok"
"237","Maromme",2942,"reg28","COM","76410",28,"76","763",0,"MAROMME","Maromme","7604",NA,"28","ok"
"238","Meaux",9213,"IDF_DEP_77","COM","77284",11,"77","771",0,"MEAUX","Meaux","7710",NA,"11","ok"
"239","Melun",6869,"IDF_DEP_77","COM","77288",11,"77","772",0,"MELUN","Melun","7711",NA,"11","ok"
"240","Mérignac",6736,"reg75","COM","33281",75,"33","332",0,"MERIGNAC","Mérignac","3398",NA,"75","ok"
"241","Mérignac",6736,"reg75","COM","17229",75,"17","171",0,"MERIGNAC","Mérignac","1727",NA,"75","ok"
