"dpt","commune","personnel","emprunt","equipement","etat","pop"
"17","Chambon",0.24534657,0.0012,0.20395653,0.137599,1001
"17","Chamouillac",0.09225397,0,0.06821767,0.102262,376
"17","Champagnac",0.16257318,0.00064265,0.05912482,0.0970018,520
"17","Champagne",0.15136054,0,0.17377173,0.06220112,633
"17","Champagnolles",0.15752207,0.00043,0.41128987,0.16888479,694
"17","Champdolent",0.09070399,0,0.04172645,0.04847606,420
"17","Chaniers",0.91601027,3.0021314,4.23669018,0.95462063,3679
"17","Chantemerle-sur-la-Soie",0.04070405,0,0.10238436,0.02415176,211
"17","Charron",0.73106453,0.00033,0.40485727,0.47361135,2025
"17","Chartuzac",0.04107343,0,0.06086304,0.05576219,169
"17","Châtelaillon-Plage",4.38505066,1e-05,4.05644546,0.85454135,6323
"17","Chatenet",0.04887039,0.1215,0.23610068,0.05175976,218
"17","Chaunac",0,0,0.02182633,0.02798429,74
"17","Chenac-Saint-Seurin-d'Uzet",0.14629636,0.00088,0.17899956,0.10601077,597
"17","Chepniers",0.19783077,0.00145,0.12252948,0.18330054,683
"17","Chérac",0.1918285,0.00035,0.25715556,0.23102051,1146
"17","Cherbonnières",0.06299639,0.02,0.0839658,0.053842,340
"17","Chermignac",0.25328573,0,0.05259038,0.15750418,1302
"17","Chevanceaux",0.58096976,0,0.25608007,0.47849629,1220
"17","Chives",0.06535417,0.0145,0.05766682,0.05158672,312
"17","Cierzac",0.05128204,0.00015,0.06047558,0.08351914,320
"17","Ciré-d'Aunis",0.26718303,0,0.05269537,0.24730071,1557
"17","Clam",0.11395394,0,0.12447598,0.07571909,422
"17","Clavette",0.41241204,0,0.13080957,0.10065883,1460
"17","Clérac",0.54593951,0.001498,0.47798797,0.61338,993
"17","Clion",0.09264051,0.00045,0.19720265,0.21893189,849
"17","Coivert",0.07591113,0,0.03348045,0.05365883,203
"17","Colombiers",0.06940663,0,0.11036604,0.041244,310
"17","Consac",0.05812986,0,0.21401611,0.04753881,238
"17","Contré",0.02818939,0.025,0.07163527,0.03421849,137
"17","Corignac",0.06240532,0,0.01693553,0.09036493,333
"17","Corme-Écluse",0.24775129,4e-04,0.09841174,0.20207459,1250
"17","Corme-Royal",0.44354776,0.00109913,0.23264248,0.25757093,1967
"17","Coulonges",0.06548647,0,0.06242517,0.05312972,236
"17","Courant",0.08170597,0,0.06859549,0.11695768,444
"17","Courcelles",0.10990786,0,0.10786181,0.085916,461
"17","Courcerac",0.06558426,0,0.01179234,0.04703002,311
"17","Courçon",0.80676034,0.00065,0.55704239,0.52689872,2007
"17","Courcoury",0.15887578,0,0.12801368,0.09492323,713
"17","Courpignac",0.11166278,0.04558,0.22869306,0.09344827,420
"17","Coux",0.11163139,0,0.03201056,0.14491995,493
"17","Cozes",0.95565929,0,0.69958248,0.55467517,2201
"17","Cram-Chaban",0.13129976,0,0.04947774,0.19532507,664
"17","Cravans",0.21467174,0.00238,0.27549005,0.16916098,936
"17","Crazannes",0.08894046,0,0.11624141,0.07855305,447
"17","Cressé",0.06700878,0,0.06932723,0.040369,224
"17","Croix-Chapeau",0.45124849,0,0.101117,0.108837,1351
"17","Dampierre-sur-Boutonne",0.0357719,0.00181,0.02168557,0.04384727,282
"17","Dœuil-sur-le-Mignon",0.1255496,0.00063,0.26574353,0.04565636,365
"17","Dolus-d'Oléron",2.40331228,0,2.31597011,1.13370017,3222
"17","Dompierre-sur-Charente",0.13881743,0,0.06357052,0.060082,488
"17","Dompierre-sur-Mer",2.70950828,1,3.33111805,0.61285037,6112
"17","Échebrune",0.09315289,0,0.11137061,0.08995952,492
"17","Échillais",1.19207892,0.65,1.2996639,0.64419189,3636
"17","Écoyeux",0.31554866,9e-04,0.36049565,0.31059247,1418
"17","Écurat",0.09795271,0,0.04415099,0.05671978,461
"17","Épargnes",0.19230087,0.0036,0.26423189,0.19380036,911
"17","Esnandes",0.77994835,0,0.22654448,0.29093592,2137
"17","Essouvert",0.23143734,0,0.41636078,0.2921168,1126
"17","Étaules",0.87870669,0.00161,1.53830576,0.38319187,2762
"17","Expiremont",0,0,0.04071827,0.04717546,130
"17","Fenioux",0.06949582,0,0.01986189,0.01942294,167
"17","Ferrières",0.5364099,0.6,1.24339973,0.168871,1354
"17","Fléac-sur-Seugne",0.11918768,0,0.31435335,0.08944102,363
"17","Floirac",0.13122697,0,0.03513568,0.072083,440
"17","Fontaine-Chalendray",0.07220415,0.000485,0.14182282,0.0281552,212
"17","Fontaines-d'Ozillac",0.19690125,0.24,0.36775783,0.15004225,521
"17","Fontcouverte",0.41656721,0.00065,0.25520615,0.27049396,2361
"17","Fontenet",0.08765018,0,0.07109436,0.10168068,407
"17","Forges",0.44473564,0.14,0.30701898,0.25253858,1341
"17","Fouras",3.34704923,1.3952,3.94351141,0.84346083,4133
"17","Geay",0.17651138,0.06,0.26457876,0.17395968,789
"17","Gémozac",1.06535705,0.202045,2.21879917,0.74057034,3025
"17","Genouillé",0.24192385,0,0.15842282,0.1710085,917
"17","Germignac",0.16138124,0.309765,0.42886044,0.18900347,648
"17","Gibourne",0.03126944,0.000403,0.07017057,0.02847432,107
"17","Givrezac",0.00810829,0,0.00523184,0.02495221,75
"17","Gourvillette",0.03583939,0,0.00185573,0.020714,100
"17","Grandjean",0.07171845,0,0.01286236,0.032082,316
"17","Grézac",0.22768855,0,0.18675677,0.105588,957
"17","Guitinières",0.10199816,0.151485,0.54578341,0.10566134,502
"17","Haimps",0.08167967,0,0.0577719,0.07216861,463
"17","Île-d'Aix",0.3697472,0.0037,0.63254838,0.12366265,211
"17","Jarnac-Champagne",0.24471203,0.002594,0.14738022,0.2692889,889
"17","Jazennes",0.03127632,0,0.03687388,0.15599413,561
"17","Jonzac",3.19413717,0.007355,2.47994891,0.94982478,3747
"17","Juicq",0.04731851,0.045,0.11705101,0.05974545,316
"17","Jussas",0.01533867,0.00065,0.02998931,0.05767331,155
"17","L'Éguille",0.36851982,0.002,0.07656389,0.160239,913
"17","L'Houmeau",1.19562658,0,0.78170833,0.36515635,2954
"17","La Barde",0.07173026,0,0.50253554,0.154002,500
"17","La Brée-les-Bains",0.87426656,0.00138627,1.12566699,0.327379,694
"17","La Brousse",0.14624326,0,0.05551208,0.069763,522
"17","La Chapelle-des-Pots",0.18280162,0,0.02467981,0.1193694,1029
"17","La Clisse",0.12185253,0,0.20571555,0.08030647,741
"17","La Clotte",0.20879522,0.05,0.14862102,0.20316074,722
"17","La Couarde-sur-Mer",1.42029499,0.00670382,1.2131918,0.43930659,1122
"17","La Croix-Comtesse",0.05221411,0,0.03920668,0.050453,226
"17","La Devise",0.40313732,0,0.14883711,0.27557951,1211
"17","La Flotte",2.48787263,1.00386583,3.6344849,0.74426002,3072
"17","La Genétouze",0.0835203,0,0.11368365,0.05974921,229
"17","La Grève-sur-Mignon",0.13592082,0,0.02737639,0.115898,564
"17","La Gripperie-Saint-Symphorien",0.09859116,0,0.02206752,0.06328511,596
"17","La Jard",0.07762321,0,0.03793483,0.05799743,437
"17","La Jarne",1.07633643,0.00069,0.31041524,0.22975821,2646
"17","La Jarrie",1.47164491,0,2.02382208,0.59935824,3488
"17","La Jarrie-Audouin",0.09743529,0,0.10918926,0.05660295,276
"17","La Laigne",0.10526591,0,0.25873483,0.058667,493
"17","La Rochelle",78.33439077,11.00145,39.5338779,27.16506465,80610
"17","La Ronde",0.22255424,0.00025,0.49281524,0.25619049,1029
"17","La Tremblade",4.05626629,0,1.52283229,1.68992804,4491
"17","La Vallée",0.20108611,0,0.10398529,0.15255237,670
"17","La Vergne",0.08722349,0,0.04665144,0.1122344,615
"17","La Villedieu",0.02357866,0,0.001682,0.05236203,208
"17","Lagord",4.273493,0,2.8574798,0.51621497,7532
"17","Landes",0.12035217,0.06,0.14593263,0.11413293,585
"17","Landrais",0.23672005,0,0.12044142,0.10760939,790
"17","Le Bois-Plage-en-Ré",2.23245456,2.0014342,3.32386373,0.5280495,2264
"17","Le Château-d'Oléron",2.05375144,0,1.97477862,1.39089177,4399
"17","Le Chay",0.25230696,0,0.21983363,0.11131781,846
"17","Le Douhet",0.20484111,0,0.1243095,0.11427009,719
"17","Le Fouilloux",0.30497141,0,0.31328639,0.22359078,776
"17","Le Gicq",0.01260522,0,0.006624,0.0310868,118
"17","Le Grand-Village-Plage",0.72520944,0,0.25471095,0.23658054,1097
"17","Le Gua",0.8379095,6.231e-05,0.15764721,0.47152598,2135
"17","Le Gué-d'Alleré",0.37791538,0,0.17286231,0.15595972,984
"17","Le Mung",0.05431192,0.00055,0.14249579,0.045439,315
"17","Le Pin",0.01222409,0,0,0.028858,74
"17","Le Seure",1.95e-06,0,0.00172548,0.03476783,270
"17","Le Thou",0.41782149,0.1,0.47387667,0.44496886,2078
"17","Léoville",0.09210228,0.00155,0.18514303,0.0670325,309
"17","Les Éduts",0.01218039,0.00045,0.01336095,0.01499999,60
"17","Les Églises-d'Argenteuil",0.11817343,0.02655,0.14780248,0.08128563,538
"17","Les Essards",0.1813824,0,0.13280543,0.14975222,736
"17","Les Gonds",0.44690557,0,0.14392913,0.2372131,1876
"17","Les Mathes",3.0993822,0.00115,1.46516399,1.67102404,2211
"17","Les Nouillers",0.17748662,5e-04,0.10717813,0.13125361,734
"17","Les Portes-en-Ré",0.92304438,0,3.06930737,0.12949054,595
"17","Les Touches-de-Périgny",0.17505839,0.0015,0.22429019,0.093452,554
"17","Loire-les-Marais",0.0883702,0,0.07778604,0.050892,393
"17","Loiré-sur-Nie",0.01610331,0,0.0581515,0.05512299,286
"17","Loix",0.67295778,0.2943261,0.71498225,0.0984409,753
"17","Longèves",0.23493503,0,0.16806938,0.22839865,1069
"17","Lonzac",0.0671747,0,0.09670981,0.04838486,274
"17","Lorignac",0.14744999,0,0.26363943,0.11828944,514
"17","Loulay",0.14965191,0,0.37314814,0.16244672,767
"17","Louzignac",0.06502345,0,0.06994505,0.02669765,173
"17","Lozay",0.06282271,0,0.04720826,0.0286543,144
"17","Luchat",0.0654154,0,0.0420685,0.06525765,532
"17","Lussac",0.00687684,0,0,0.01314667,46
"17","Lussant",0.2727428,0,0.07689712,0.11067543,1038
"17","Macqueville",0.07705793,0,0.13910322,0.034516,299
"17","Marans",2.75369217,0.00105,1.32657615,1.13868478,4569
"17","Marennes-Hiers-Brouage",3.95002162,1.20123,3.58128353,2.01026117,6276
"17","Marignac",0.1698163,0.00066,0.14884863,0.07096898,423
"17","Marsais",0.37800498,0.00014,0.06689821,0.12934927,949
"17","Marsilly",1.05189455,0,1.04464342,0.30851252,3289
"17","Massac",0.05303248,0,0.0036878,0.032335,187
"17","Matha",0.94644967,0,0.45832045,0.45836107,2267
"17","Mazeray",0.21861568,4e-04,0.2127436,0.20849026,1004
"17","Mazerolles",0.03293263,0.05,0.2550709,0.05570191,232
