"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"32186","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","ALL","JOSEPH DEPINAY","0340",NA,"",NA,0,"","","","","","LOGT 340",2,"C",85,1971,1978,1975,1,52,1,"93/1992/AC/105","30/04/1993",NA,NA,"","","","","","","",2,93045,"ALL JOSEPH DEPINAY",2154,657832.5,6864867.9,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32187","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","ALL","JOSEPH DEPINAY","0342",NA,"",NA,0,"","","","","","",2,"C",102,1971,1976,1975,1,52,1,"93/1992/AC/105","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"ALL JOSEPH DEPINAY",2154,657832.5,6864867.9,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32194","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","46","","RUE","DE PARIS","0041",NA,"",NA,8,"","","","V90-4025-A-0001","LES LILAS 10","",2,"C",80,1977,1977,1987,1,52,1,"931995AC072","26/12/1995",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DE PARIS",2154,656886.04,6864425.43,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32197","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","46","","RUE","DE PARIS","0045",NA,"",NA,9,"","","","V90-4025-A-0001","LES LILAS 10","",2,"C",80,1977,1977,1987,1,52,1,"931995AC072","26/12/1995",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DE PARIS",2154,656886.04,6864425.43,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32278","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","1","","ALL","JOSEPH DEPINAY","0435",NA,"",NA,16,"","","","","","",2,"C",84,1971,1978,1975,1,52,1,"93/1992/AC/105","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"ALL JOSEPH DEPINAY",2154,657832.5,6864867.9,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32357","4",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","2","","SQ","HENRI DUNANT","0499",NA,"",NA,5,"","","","","","",2,"C",79,1971,1975,1975,1,51,1,"93/1992/AC/106","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657965.2,6864641.98,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32407","4",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","40","","RUE","DE PARIS","0002",NA,"",NA,1,"","","","V90-3678-E-0001","LES LILAS 16","",2,"C",80,1977,1977,1987,1,12,1,"93198079444011","21/02/1980",NA,13,"11/2017","C","A","","1","","",1,93045,"RUE DE PARIS",2154,656838.2,6864425.7,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"32413","4",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","40","","RUE","DE PARIS","0008",NA,"",NA,2,"","","","V90-3678-E-0001","LES LILAS 16","",2,"C",84,1977,1977,1987,1,12,1,"93198079444011","21/02/1980",NA,13,"11/2017","C","A","","1","","",1,93045,"RUE DE PARIS",2154,656838.2,6864425.7,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"32447","4",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","40","","RUE","DE PARIS","0042",NA,"",NA,11,"","","","V90-3678-E-0001","LES LILAS 16","",2,"C",76,1977,1977,1987,1,12,1,"93198079444011","21/02/1980",NA,13,"11/2017","C","A","","1","","",1,93045,"RUE DE PARIS",2154,656838.2,6864425.7,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"32451","4",54,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","49","","BOULEVARD","EUGENE DECROS","0001",NA,"",NA,0,"","","","V90-3236-D-0001","LES LILAS 01","",2,"C",77,1969,1969,1987,1,54,1,"931989AC007","01/08/1989",NA,13,"01/2015","C","D","","1","","",1,93045,"BD EUGENE DECROS",2154,657037.28,6864854.52,"CSZ","0102","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32452","4",51,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","2","","SQ","HENRI DUNANT","0466",NA,"",NA,1,"","","","","","",2,"C",78,1971,1975,1975,1,51,1,"93/1992/AC/106","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"SQ HENRI DUNANT",2154,657965.2,6864641.98,"CSZ","0105","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32460","4",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","3","","RUE","DES SABLONS","0265",NA,"",NA,1,"","","","","","",2,"C",57,1933,1975,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DES SABLONS",2154,657707.1,6864866.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32466","4",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","3","","RUE","DES SABLONS","0270",NA,"",NA,1,"","","","","","",2,"C",54,1933,1975,1933,1,99,1,"93/1992/AC/104","30/04/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DES SABLONS",2154,657707.1,6864866.9,"CSZ","0101","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"32484","4",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","16","","RUE","DES BRUYERES","0003",NA,"",NA,0,"","","","V90-3689-G-0001","LES LILAS 19","",2,"C",84,1981,1981,1987,1,12,1,"93198079444001","21/02/1980",NA,13,"11/2017","D","B","","1","","",1,93045,"RUE DES BRUYERES",2154,656967.5,6864403.3,"CSZ","0110","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"32502","4",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","8","","Rue","RUE DU PRE ST GERVAIS","25",NA,"01",NA,4,"","","Batiment 5210 / 01","","LES LILAS Les Sources","",2,"C",75,2002,2002,2008,3,12,1,"93/1999/85.1231/090","01/11/2002",NA,NA,"12/2020","C","D","2034","2","5210","LES LILAS Les Sources",1,93045,"RUE DU PRE ST GERVAIS",2154,656936.19,6864579.22,"CSZ","0103","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"32559","4",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93045,93260,"Les Lilas","220","","RUE","DE PARIS","0710",NA,"",NA,15,"","","","","","",2,"C",84,1974,1975,1975,1,52,1,"93/1992/AC/108","28/06/1993",NA,NA,"01/1900","","","","","","",2,93045,"RUE DE PARIS",2154,657745.6,6864833.3,"CSZ","0106","CSZ","CSZ","CSZ","1",1,11,NA,NA,1,NA,NA,NA,2021,0,0,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
