"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"15285","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","146","","AVENUE","JEAN LOLIVE","0341",NA,"",NA,4,"ESCALIER 3","","","PANT-B1-3","PANTIN","",2,"C",76,1983,1983,1983,1,12,1,"93 1980 79 444 041","02/09/1981",NA,NA,"01/2012","D","D","","3","1","Pleine propriiti",1,93055,"AV JEAN LOLIVE",2154,657235.1,6866129.2,"HZ","0402","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"15287","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","7","","AV","DU 8 MAI 1945","025",NA,"01",NA,6,"","","7 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",58,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656901.7,6865861.1,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"15292","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","16","TER","RUE","BERTHIER","",NA,"",NA,5,"","","3028L-16","3028L","PANTIN 14/16 RUE BERTHIER","",1,"C",62,1999,1999,1999,1,12,1,"931996851231073","12/12/1996",NA,NA,"04/2011","C","D","2030","1","3028L","PANTIN 14/16 RUE BERTHIER",2,93055,"RUE BERTHIER",2154,655501.88,6866977.43,"QP093024","0201","1122020","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"15299","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","7","","AV","DU 8 MAI 1945","037",NA,"01",NA,9,"","","7 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",58,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656901.7,6865861.1,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"15303","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","21","","RUE","AUGER","7071",NA,"01",NA,7,"","","21 RUE AUGER","","ILOT 27","",1,"C",67,1980,1980,1980,1,12,1,"93.1996.85-1231/070 (21-23)","20/10/1997",NA,NA,"01/1900","","","2020","2","4","ILOT 27",1,93055,"RUE AUGER",2154,656004.9,6865932.1,"QP093023","0302","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"15313","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","9","","AV","DU 8 MAI 1945","011",NA,"01",NA,2,"","","9 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",71,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656948.74,6865874.86,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"15341","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","18","","RUE","HOCHE","0252",NA,"01",NA,5,"","","18 RUE HOCHE","","ZAC HOCHE","",1,"C",65,1990,1990,1990,1,12,1,"93/1987/85/1231/045","01/12/1988",NA,NA,"01/1900","","","2021","2","19","ZAC HOCHE",1,93055,"RUE HOCHE",2154,656185.4,6865974.3,"HZ","0701","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"15343","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","9","","AV","DU 8 MAI 1945","041",NA,"01",NA,8,"","","9 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",65,1963,1963,1963,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656948.74,6865874.86,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"15345","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","1/3","","RUE","REGNAULT","0351",NA,"01",NA,5,"","","1/3 RUE REGNAULT","","REGNAULT/GAMBETTA","",2,"C",64,1992,1993,1993,1,12,1,"93/1991/185/123/017","28/12/1992",NA,NA,"01/1900","","","2025","2","22","REGNAULT/GAMBETTA",1,93055,"RUE REGNAULT",2154,656827.31,6865438.25,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","moyen"
"15355","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93055,93500,"Pantin","10","","AV","DU 8 MAI 1945","0005",NA,"01",NA,1,"","","10 AV. DU 8 MAI 1945","","PANTIN CENTRE","",2,"C",52,1962,1962,1962,1,52,1,"93/1985/85/1231/033 (E)","11/04/1986",NA,NA,"","","","2021","2","6","PANTIN CENTRE",1,93055,"AV DU HUIT MAI 1945",2154,656978.22,6865850.61,"HZ","0602","HZ","HZ","CSZ","1",1,11,NA,1,1,1,1,NA,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
