Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
77271;Maisoncelles-en-Gâtinais;0;23160;3;100
77272;Maison-Rouge;0;25210;6;607
77273;Marchémoret;0;27050;4;411
77274;Marcilly;0;26100;3;339
77275;Les Marêts;0;24460;0;123
77276;Mareuil-lès-Meaux;0;26130;45;2270
77277;Marles-en-Brie;0;27010;34;1297
77278;Marolles-en-Brie;0;25320;5;296
77279;Marolles-sur-Seine;0;24000;14;1269
77280;Mary-sur-Marne;0;24690;4;829
77281;Mauperthuis;0;26400;3;364
77282;Mauregard;0;24730;13;249
77283;May-en-Multien;0;24880;6;627
77284;Meaux;0;20010;331;38814
77285;Le Mée-sur-Seine;1;19130;128;13182
77286;Meigneux;0;27690;2;178
77287;Meilleray;0;21800;3;360
77288;Melun;1;19260;365;28929
77289;Melz-sur-Seine;0;24570;3;259
77290;Méry-sur-Marne;0;24150;10;492
77291;Le Mesnil-Amelot;0;22710;9;699
77292;Messy;0;29210;6;825
77293;Misy-sur-Yonne;0;24790;9;669
77294;Mitry-Mory;0;22810;206;13671
77295;Moisenay;0;29350;10;991
77296;Moissy-Cramayel;0;22780;138;12022
77297;Mondreville;0;25620;2;251
77298;Mons-en-Montois;0;24790;1;345
77300;Montceaux-lès-Meaux;0;28160;10;475
77301;Montceaux-lès-Provins;0;23470;9;242
77302;Moncourt-Fromonville;0;26920;16;1468
77303;Montdauphin;0;23520;0;180
77304;Montenils;0;N/A - secret statistique;0;24
77305;Montereau-Fault-Yonne;1;16280;163;14168
77306;Montereau-sur-le-Jard;0;30320;16;367
77307;Montévrain;2;26710;122;10155
77308;Montgé-en-Goële;0;28440;11;528
77309;Monthyon;0;26360;23;1228
77310;Montigny-le-Guesdier;0;25100;6;232
77311;Montigny-Lencoup;0;25370;17;965
77312;Montigny-sur-Loing;0;28710;29;2059
77313;Montmachoux;0;26040;2;186
77314;Montolivet;0;23470;5;180
77315;Montry;0;28360;47;2751
77316;Moret-Loing-et-Orvanne;0;26620;92;9605
77317;Mormant;0;23100;26;3654
77318;Mortcerf;0;27860;15;1095
77319;Mortery;0;22620;2;107
77320;Mouroux;0;24940;61;4074
77321;Mousseaux-lès-Bray;0;23290;1;508
77322;Moussy-le-Neuf;0;27460;27;2292
77323;Moussy-le-Vieux;0;25860;9;1000
77325;Mouy-sur-Seine;0;22920;5;284
