LIBCOM,nb,zone,Code
Ambenay,54,reg28,27009
Ambérieu-en-Bugey,1934,reg84,01004
Ambérieux-en-Dombes,76,reg84,01005
Ambert,228,reg84,63003
Ambès,324,reg75,33004
Ambeyrac,3,reg76,12007
Ambialet,2,reg76,81010
Ambierle,33,reg84,42003
Ambilly,423,reg84,74008
Amblainville,11,reg32,60010
Ambleny,18,reg32,02011
Ambleville,6,reg75,16010
Ambon,47,reg53,56002
Ambrières-les-Vallées,70,reg52,53003
Ambronay,112,reg84,01007
Ambrumesnil,31,reg28,76004
Ambutrix,17,reg84,01008
Amfreville,36,reg28,14009
Amfreville-la-Mi-Voie,477,reg28,76005
Amfreville-Saint-Amand,21,reg28,27011
Amiens,10373,reg32,80021
Amilly,1101,reg24,28006
Amilly,1101,reg24,45004
Amou,9,reg75,40002
Amplepuis,377,reg84,69006
Ampuis,42,reg84,69007
Anais,2,reg75,17007
Anais,2,reg75,16011
Ance Féas,12,reg75,64225
Anceaumeville,12,reg28,76007
Ancinnes,35,reg52,72005
Ancône,35,reg84,26008
Ancourt,13,reg28,76008
Ancourteville-sur-Héricourt,1,reg28,76009
Ancy,4,reg84,69008
Andance,73,reg84,07009
Andancette,79,reg84,26009
Andé,5,reg28,27015
Andel,9,reg53,22002
Andernos-les-Bains,241,reg75,33005
Andeville,142,reg32,60012
Andilly,11,reg84,74009
Andilly,142,IDF_DEP_95,95014
Andouillé,75,reg52,53005
Andouillé-Neuville,4,reg53,35003
Andrésy,753,IDF_DEP_78,78015
Andrézieux-Bouthéon,1060,reg84,42005
Anet,132,reg24,28007
Angé,19,reg24,41002
Angers,26725,reg52,49007
Angerville,172,IDF_DEP_91,91016
Angerville-Bailleul,1,reg28,76012
Angerville-l'Orcher,15,reg28,76014
Angerville-la-Campagne,134,reg28,27017
Angiens,30,reg28,76015
Anglade,4,reg75,33006
Anglards-de-Salers,12,reg84,15006
Anglars-Saint-Félix,2,reg76,12008
Anglefort,44,reg84,01010
Angles,33,reg52,85004
Anglès,11,reg76,81014
Anglet,2712,reg75,64024
Angliers,10,reg75,86005
Angliers,10,reg75,17009
Angoisse,12,reg75,24008
Angoulême,1875,reg75,16015
Angoulins,106,reg75,17010
Angoumé,4,reg75,40003
Angresse,41,reg75,40004
Angrie,27,reg52,49008
Angy,1,reg32,60015
Anhiers,71,reg32,59007
Aniche,1268,reg32,59008
Anjoutey,21,reg27,90003
Annecy,11901,reg84,74010
Annemasse,4138,reg84,74012
Anneville-Ambourville,17,reg28,76020
Anneville-sur-Scie,1,reg28,76019
Annoix,2,reg24,18006
Annonay,2435,reg84,07010
Annot,108,reg93,04008
Annouville-Vilmesnil,6,reg28,76021
Anor,119,reg32,59012
Ansauvillers,17,reg32,60017
Anse,537,reg84,69009
Anstaing,47,reg32,59013
Antagnac,5,reg75,47010
Antheuil-Portes,2,reg32,60019
Anthy-sur-Léman,23,reg84,74013
Antibes,11,reg93,06004
Antignac,5,reg84,15008
Antigny,21,reg52,85005
Antonne-et-Trigonant,14,reg75,24011
Antony,5676,IDF_DEP_92,92002
Anzême,9,reg75,23004
Anzin,1761,reg32,59014
Aouste-sur-Sye,32,reg84,26011
Apinac,4,reg84,42006
Apremont,18,reg52,85006
Apremont,15,reg84,73017
Apremont,15,reg84,01011
Apt,821,reg93,84003
Aramits,5,reg75,64029
Aranc,10,reg84,01012
Arandas,2,reg84,01013
Araujuzon,4,reg75,64032
Arbent,388,reg84,01014
Arbérats-Sillègue,10,reg75,64034
Arbigny,5,reg84,01016
Arbonne,42,reg75,64035
Arboys en Bugey,2,reg84,01015
Arbrissel,3,reg53,35005
Arbus,12,reg75,64037
Arc-sur-Tille,46,reg27,21021
Arcachon,804,reg75,33009
Arçais,21,reg75,79010
Arcangues,27,reg75,64038
Arçay,2,reg24,18008
Arcens,20,reg84,07012
Archiac,8,reg75,17016
Archignat,30,reg84,03005
Archingeay,3,reg75,17017
Arcis-sur-Aube,389,reg44,10006
Arcomps,4,reg24,18009
Arçonnay,71,reg52,72006
Arconsat,6,reg84,63008
Arconville,1,reg44,10007
Arcueil,4367,IDF_DEP_94,94003
Ardelles,1,reg24,28008
Ardenay-sur-Mérize,14,reg52,72007
Ardes,12,reg84,63009
Ardin,2,reg75,79012
Ardoix,52,reg84,07013
Ardon,4,reg24,45006
Aregno,25,reg94,2B020
Areines,12,reg24,41003
Arelaune-en-Seine,125,reg28,76401
Aren,6,reg75,64039
Arengosse,6,reg75,40006
Arès,134,reg75,33011
Arette,6,reg75,64040
Arfeuilles,1,reg84,03006
Argeliers,16,reg76,11012
Argelouse,4,reg75,40008
Argences,357,reg28,14020
Argent-sur-Sauldre,143,reg24,18011
Argentan,3133,reg28,61006
Argentat-sur-Dordogne,125,reg75,19010
Argenteuil,14168,IDF_DEP_95,95018
Argentine,31,reg84,73019
Argenton,11,reg75,47013
Argentonnay,111,reg75,79013
Argentré,68,reg52,53007
Argentré-du-Plessis,207,reg53,35006
Argenvières,4,reg24,18012
Argis,5,reg84,01017
Argol,35,reg53,29001
Argueil,11,reg28,76025
Arlanc,44,reg84,63010
Arlebosc,11,reg84,07014
Arles,5734,reg93,13004
Arleux,231,reg32,59015
Armaillé,6,reg52,49010
Armbouts-Cappel,115,reg32,59016
Armentières,2996,reg32,59017
Armentières-en-Brie,1,IDF_DEP_77,77008
Armissan,69,reg76,11014
Arnac,1,reg84,15011
Arnac-Pompadour,66,reg75,19011
Arnage,376,reg52,72008
Arnas,119,reg84,69013
Arnay-le-Duc,164,reg27,21023
Arnèke,45,reg32,59018
Arnières-sur-Iton,37,reg28,27020
Arnouville,469,IDF_DEP_95,95019
Aron,6,reg52,53008
Arpajon,1234,IDF_DEP_91,91021
Arpajon-sur-Cère,283,reg84,15012
Arquenay,2,reg52,53009
Arques,3,reg76,11015
Arques,3,reg76,12010
Arques-la-Bataille,339,reg28,76026
Arradon,173,reg53,56003
Arras-sur-Rhône,33,reg84,07015
Arrest,14,reg32,80029
Arricau-Bordes,4,reg75,64052
Arromanches-les-Bains,17,reg28,14021
Ars-en-Ré,70,reg75,17019
Ars-sur-Formans,37,reg84,01021
Arsy,3,reg32,60024
Artemare,85,reg84,01022
Artenay,183,reg24,45008
Arthémonay,4,reg84,26014
Arthès,24,reg76,81018
Arthez-de-Béarn,38,reg75,64057
Arthezé,5,reg52,72009
Artigueloutan,22,reg75,64059
Artiguelouve,40,reg75,64060
Artigues-près-Bordeaux,869,reg75,33013
Artix,241,reg75,64061
Artres,46,reg32,59019
Arudy,37,reg75,64062
Arvert,20,reg75,17021
Arveyres,9,reg75,33015
Arvieu,10,reg76,12011
Arvillard,31,reg84,73021
Arvillers,1,reg32,80031
Arzacq-Arraziguet,56,reg75,64063
Arzal,26,reg53,56004
Arzano,48,reg53,29002
Arzens,38,reg76,11018
Arzon,103,reg53,56005
Ascain,150,reg75,64065
Aschères-le-Marché,14,reg24,45009
Ascoux,20,reg24,45010
Asfeld,29,reg44,08024
Asnans-Beauvoisin,1,reg27,39022
Asnelles,42,reg28,14022
Asnières-lès-Dijon,118,reg27,21027
Asnières-sur-Oise,65,IDF_DEP_95,95026
Asnières-sur-Seine,8905,IDF_DEP_92,92004
Asnières-sur-Vègre,6,reg52,72010
Asprières,7,reg76,12012
Assat,12,reg75,64067
Assé-le-Bérenger,4,reg52,53010
Assé-le-Boisne,17,reg52,72011
Assenay,1,reg44,10013
Assérac,26,reg52,44006
Assevent,285,reg32,59021
Assevillers,15,reg32,80033
Asson,12,reg75,64068
Astaffort,27,reg75,47015
Aste-Béon,3,reg75,64069
Astillé,7,reg52,53011
Athée,5,reg52,53012
Athies,5,reg32,80034
Athies,5,reg32,62042
Athies-sous-Laon,114,reg32,02028
Athis-Mons,4189,IDF_DEP_91,91027
Athis-Val de Rouvre,77,reg28,61007
Attainville,7,IDF_DEP_95,95028
Attiches,139,reg32,59022
Attichy,83,reg32,60025
Attignat,121,reg84,01024
Attigny,32,reg44,88016
Attigny,32,reg44,08025
Aubagne,5269,reg93,13005
Aubas,11,reg75,24014
Aubazines,9,reg75,19013
Aube,121,reg28,61008
Aubenas,995,reg84,07019
Aubenton,12,reg32,02031
Auberchicourt,603,reg32,59024
Aubergenville,1650,IDF_DEP_78,78029
Aubermesnil-Beaumais,8,reg28,76030
Aubers,12,reg32,59025
Aubervilliers,12389,IDF_DEP_93,93001
Aubière,1118,reg84,63014
Aubiet,8,reg76,32012
Aubignan,172,reg93,84004
Aubigné-Racan,68,reg52,72013
Aubigné-sur-Layon,18,reg52,49012
Aubignosc,21,reg93,04013
Aubigny,8,reg84,03009
Aubigny-au-Bac,32,reg32,59026
Aubigny-Les Clouzeaux,223,reg52,85008
Aubigny-sur-Nère,492,reg24,18015
Aubin,105,reg76,12013
Aubinges,5,reg24,18016
Aubres,7,reg84,26016
Aubrives,17,reg44,08028
Aubry-du-Hainaut,47,reg32,59027
Aubusson,514,reg75,23008
Auby,1264,reg32,59028
Aucaleuc,30,reg53,22003
Aucamville,70,reg76,82005
Aucamville,70,reg76,31022
Aucelon,1,reg84,26017
Auch,2134,reg76,32013
Auchay-sur-Vendée,29,reg52,85009
Auchy-lez-Orchies,7,reg32,59029
Audenge,468,reg75,33019
Audes,5,reg84,03010
Audierne,170,reg53,29003
Audrieu,15,reg28,14026
Auffargis,22,IDF_DEP_78,78030
Augan,46,reg53,56006
Augé,11,reg75,79020
Augerolles,15,reg84,63016
Augignac,5,reg75,24016
Aulhat-Flat,9,reg84,63160
Aulnat,685,reg84,63019
Aulnay,20,reg75,17024
Aulnay,20,reg75,86013
Aulnay-sous-Bois,9705,IDF_DEP_93,93005
Aulnay-sur-Iton,9,reg28,27023
Aulnois-sous-Laon,82,reg32,02037
Aulnoy-lez-Valenciennes,865,reg32,59032
Aulnoye-Aymeries,1493,reg32,59033
Ault,41,reg32,80039
Aumale,289,reg28,76035
Aunay-sous-Auneau,11,reg24,28013
Aunay-sous-Crécy,10,reg24,28014
Auneau-Bleury-Saint-Symphorien,489,reg24,28015
Auneuil,246,reg32,60029
Auray,1595,reg53,56007
Aure sur Mer,20,reg28,14591
Aureille,14,reg93,13006
Auriac,3,reg75,64078
Auriac,3,reg75,19014
Auriac-du-Périgord,6,reg75,24018
Aurillac,3185,reg84,15014
Auriol,425,reg93,13007
Auros,5,reg75,33021
Aurouër,12,reg84,03011
Aurseulles,3,reg28,14011
Aussac,1,reg76,81020
Aussillon,562,reg76,81021
Aussois,39,reg84,73023
Autainville,5,reg24,41006
Auteuil,1,reg32,60030
Autheuil-Authouillet,1,reg28,27025
Authezat,11,reg84,63021
Authie,53,reg28,14030
Authon,19,reg24,41007
Authon-du-Perche,53,reg24,28018
Authon-Ébéon,2,reg75,17026
Authon-la-Plaine,2,IDF_DEP_91,91035
Autigny,10,reg28,76040
Autrêches,1,reg32,60032
Autreville,1,reg32,02041
Autry-Issards,8,reg84,03012
Autry-le-Châtel,30,reg24,45016
Auvers-le-Hamon,30,reg52,72016
Auvers-Saint-Georges,3,IDF_DEP_91,91038
Auvers-sur-Oise,233,IDF_DEP_95,95039
Auvillar,18,reg76,82008
Auvillers-les-Forges,17,reg44,08037
Auvilliers-en-Gâtinais,12,reg24,45017
Auxelles-Bas,10,reg27,90005
Auxon,28,reg44,10018
Auxonne,817,reg27,21038
Auxy,17,reg24,45018
Auzances,95,reg75,23013
Auzat,50,reg76,09030
Auzat-la-Combelle,43,reg84,63022
Auzebosc,45,reg28,76043
Auzouville-l'Esneval,1,reg28,76045
Availles-sur-Seiche,18,reg53,35008
Avant-lès-Marcilly,16,reg44,10020
Avaray,12,reg24,41008
Aveize,32,reg84,69014
Aveizieux,15,reg84,42010
Avelin,55,reg32,59034
Avensan,33,reg75,33022
Avermes,393,reg84,03013
Averton,3,reg52,53013
Avesnelles,87,reg32,59035
Avesnes-en-Bray,3,reg28,76048
Avesnes-les-Aubert,131,reg32,59037
Avesnes-sur-Helpe,670,reg32,59036
Avessac,72,reg52,44007
Avignon,13990,reg93,84007
Avoise,6,reg52,72021
Avon,841,IDF_DEP_77,77014
Avon-la-Pèze,9,reg44,10023
Avord,516,reg24,18018
Avrainville,31,IDF_DEP_91,91041
Avranches,1425,reg28,50025
Avrechy,1,reg32,60034
Avremesnil,18,reg28,76050
Avressieux,4,reg84,73025
Avricourt,18,reg32,60035
Avrillé,1387,reg52,49015
Avrillé,1387,reg52,85010
Avy,5,reg75,17027
Awoingt,21,reg32,59039
Ax-les-Thermes,117,reg76,09032
Axat,35,reg76,11021
Aÿ-Champagne,428,reg44,51030
Aydat,20,reg84,63026
Ayen,30,reg75,19015
Ayguemorte-les-Graves,24,reg75,33023
Ayrens,10,reg84,15016
Aytré,1084,reg75,17028
Azay-le-Brûlé,11,reg75,79024
Azay-sur-Thouet,4,reg75,79025
Azé,44,reg24,41010
Azerables,18,reg75,23015
Azerat,4,reg75,24019
Azille,15,reg76,11022
Azur,7,reg75,40021
Baccon,5,reg24,45019
Bachant,297,reg32,59041
Bachy,32,reg32,59042
Bacouël,3,reg32,60039
Bacouel-sur-Selle,4,reg32,80050
Bacqueville-en-Caux,164,reg28,76051
Badefols-d'Ans,12,reg75,24021
Badefols-sur-Dordogne,4,reg75,24022
Baden,196,reg53,56008
Badens,14,reg76,11023
Bâgé-Dommartin,83,reg84,01025
Bâgé-le-Châtel,46,reg84,01026
Bagneaux-sur-Loing,319,IDF_DEP_77,77016
Bagneux,10,reg44,51032
Bagneux,10,reg44,54041
Bagneux,10732,IDF_DEP_92,92007
Bagnoles de l'Orne Normandie,75,reg28,61483
Bagnolet,6843,IDF_DEP_93,93006
Bagnols,3,reg84,63028
Bagnols,3,reg84,69017
Baguer-Morvan,45,reg53,35009
Baguer-Pican,29,reg53,35010
Baigneux-les-Juifs,5,reg27,21043
Baigts-de-Béarn,32,reg75,64087
Bailleau-l'Évêque,1,reg24,28022
Bailleau-le-Pin,50,reg24,28021
Bailleul,1273,reg32,59043
Bailleul,1273,reg32,80051
Bailleul-le-Soc,2,reg32,60040
Bailleul-sur-Thérain,215,reg32,60041
Bailleval,14,reg32,60042
Bailly,129,IDF_DEP_78,78043
Bailly,2,reg32,60043
Bailly-en-Rivière,2,reg28,76054
Bailly-Romainvilliers,393,IDF_DEP_77,77018
Bain-de-Bretagne,186,reg53,35012
Bains-sur-Oust,54,reg53,35013
Bairon et ses environs,49,reg44,08116
Bais,67,reg52,53016
Bais,73,reg53,35014
Baisieux,205,reg32,59044
Baives,2,reg32,59045
Baix,22,reg84,07022
Bajamont,10,reg75,47019
Balagny-sur-Thérain,76,reg32,60044
Balan,90,reg44,08043
Balazé,75,reg53,35015
Balazuc,4,reg84,07023
Balbigny,161,reg84,42011
Bâlines,19,reg28,27036
Ballainvilliers,259,IDF_DEP_91,91044
Ballancourt-sur-Essonne,592,IDF_DEP_91,91045
Balleroy-sur-Drôme,59,reg28,14035
Ballon-Saint Mars,58,reg52,72023
Ballons,4,reg84,26022
Ballots,38,reg52,53018
Bambecque,48,reg32,59046
Bangor,30,reg53,56009
Bannalec,127,reg53,29004
Bannes,6,reg44,52037
Bannes,6,reg44,51035
Bannes,4,reg52,53019
Banon,34,reg93,04018
Bantouzelle,1,reg32,59049
Banville,1,reg28,14038
Banvou,13,reg28,61024
Baons-le-Comte,9,reg28,76055
Bar,6,reg75,19016
Bar-sur-Aube,1061,reg44,10033
Bar-sur-Seine,584,reg44,10034
Baracé,16,reg52,49017
Baraqueville,87,reg76,12056
Barbaira,15,reg76,11027
Barbâtre,6,reg52,85011
Barbentane,25,reg93,13010
Barberaz,348,reg84,73029
Barberey-Saint-Sulpice,52,reg44,10030
Barbières,42,reg84,26023
Barbuise,6,reg44,10031
Barby,342,reg84,73030
Barc,10,reg28,27037
Barcelonne-du-Gers,43,reg76,32027
Barcelonnette,165,reg93,04019
Barcus,11,reg75,64093
Bardos,8,reg75,64094
Bardouville,24,reg28,76056
Barentin,2221,reg28,76057
Barenton,64,reg28,50029
Barfleur,66,reg28,50030
Barjac,3,reg76,30029
Barjac,3,reg76,48018
Barjac,3,reg76,09037
Barjouville,147,reg24,28024
Barles,4,reg93,04020
Barlieu,8,reg24,18022
Barneville-Carteret,163,reg28,50031
Barneville-sur-Seine,6,reg28,27039
Baron,4,reg32,60047
Baron-sur-Odon,1,reg28,14042
Barquet,2,reg28,27040
Barran,24,reg76,32029
Barrême,6,reg93,04022
Barriac-les-Bosquets,2,reg84,15018
Barsac,1,reg75,33030
Barville-en-Gâtinais,4,reg24,45021
Basly,18,reg28,14044
Basse-Goulaine,316,reg52,44009
Basseneville,1,reg28,14045
Bassens,1060,reg75,33032
Bassens,353,reg84,73031
Bassignac,6,reg84,15019
Bassillac et Auberoche,27,reg75,24026
Bassoues,7,reg76,32032
Bassussarry,120,reg75,64100
Bastia,5141,reg94,2B033
Bathernay,1,reg84,26028
Batilly-en-Gâtinais,4,reg24,45022
Batilly-en-Puisaye,4,reg24,45023
Batz-sur-Mer,146,reg52,44010
Baud,64,reg53,56010
Baudre,7,reg28,50034
Baudreville,5,reg24,28026
Baugé-en-Anjou,657,reg52,49018
Baugy,58,reg24,18023
Baule,38,reg24,45024
Baulon,18,reg53,35016
Baupte,52,reg28,50036
Bauvin,400,reg32,59052
Bauzy,6,reg24,41013
Bavay,297,reg32,59053
Bavent,60,reg28,14046
Bavilliers,482,reg27,90008
Bavinchove,40,reg32,59054
Bayac,10,reg75,24027
Baye,32,reg53,29005
Baye,2,reg44,51042
Bayel,66,reg44,10035
Bayet,22,reg84,03018
Bayeux,2349,reg28,14047
Bayon-sur-Gironde,6,reg75,33035
Bayonne,6274,reg75,64102
Bazancourt,276,reg44,51043
Bazancourt,1,reg32,60049
Bazas,182,reg75,33036
Bazeilles,71,reg44,08053
Bazincourt-sur-Epte,1,reg28,27045
Bazoches-au-Houlme,4,reg28,61028
Bazoches-les-Gallerandes,67,reg24,45025
Bazoches-sur-Hoëne,115,reg28,61029
Bazoges-en-Paillers,15,reg52,85013
Bazoges-en-Pareds,21,reg52,85014
Bazougers,28,reg52,53025
Bazouges-la-Pérouse,41,reg53,35019
Bazouges Cré sur Loir,38,reg52,72025
Bazuel,5,reg32,59055
Beaubec-la-Rosière,11,reg28,76060
Beaubray,1,reg28,27047
Beaucaire,1,reg76,30032
Beaucaire,1,reg76,32035
Beaucamps-le-Vieux,69,reg32,80062
Beaucamps-Ligny,5,reg32,59056
Beaucé,52,reg53,35021
Beauce la Romaine,85,reg24,41173
Beauchamp,449,IDF_DEP_95,95051
Beauchamps,30,reg32,80063
Beauchamps-sur-Huillard,7,reg24,45027
Beauchastel,91,reg84,07027
Beaucoudray,1,reg28,50039
Beaucourt,553,reg27,90009
Beaucouzé,359,reg52,49020
Beaufai,4,reg28,61032
Beaufay,11,reg52,72026
Beaufort,131,reg84,73034
Beaufort,131,reg84,38032
Beaufort,3,reg32,59058
Beaufort-en-Anjou,446,reg52,49021
Beaufou,36,reg52,85015
Beaugency,660,reg24,45028
Beaujeu,49,reg84,69018
Beaulieu,21,reg84,07028
Beaulieu,21,reg84,38033
Beaulieu,21,reg84,43021
Beaulieu,21,reg84,63031
Beaulieu,21,reg84,15020
Beaulieu-les-Fontaines,28,reg32,60053
Beaulieu-sous-la-Roche,58,reg52,85016
Beaulieu-sous-Parthenay,11,reg75,79029
Beaulieu-sur-Dordogne,47,reg75,19019
Beaulieu-sur-Layon,50,reg52,49022
Beaulieu-sur-Loire,83,reg24,45029
Beaulieu-sur-Oudon,2,reg52,53026
Beaulon,37,reg84,03019
Beaumarchés,20,reg76,32036
Beaumes-de-Venise,76,reg93,84012
Beaumesnil,5,reg28,14054
Beaumont,864,reg84,07029
Beaumont,864,reg84,74031
Beaumont,864,reg84,63032
Beaumont,864,reg84,43022
Beaumont-de-Lomagne,55,reg76,82013
Beaumont-de-Pertuis,16,reg93,84014
Beaumont-du-Gâtinais,21,IDF_DEP_77,77027
Beaumont-en-Auge,1,reg28,14055
Beaumont-en-Beine,1,reg32,02056
Beaumont-en-Cambrésis,1,reg32,59059
Beaumont-le-Roger,274,reg28,27051
Beaumont-les-Autels,16,reg24,28031
Beaumont-lès-Valence,158,reg84,26037
Beaumont-Monteux,11,reg84,26038
Beaumont-sur-Oise,886,IDF_DEP_95,95052
Beaumont-sur-Sarthe,102,reg52,72029
Beaumont-sur-Vesle,21,reg44,51044
Beaumont-sur-Vingeanne,1,reg27,21053
Beaumontel,1,reg28,27050
Beaumontois en Périgord,48,reg75,24028
Beaune,2520,reg27,21054
Beaune-la-Rolande,133,reg24,45030
Beaupréau-en-Mauges,961,reg52,49023
Beauquesne,42,reg32,80070
Beaurains-lès-Noyon,12,reg32,60055
Beauregard-Baret,15,reg84,26039
Beauregard-de-Terrasson,38,reg75,24030
Beauregard-et-Bassac,6,reg75,24031
Beauregard-l'Évêque,19,reg84,63034
Beauregard-Vendon,4,reg84,63035
Beaurepaire,56,reg52,85017
Beaurepaire-sur-Sambre,4,reg32,59061
Beaurevoir,65,reg32,02057
Beaurieux,34,reg32,02058
Beaurieux,34,reg32,59062
Beausemblant,47,reg84,26041
Beaussais-sur-Mer,198,reg53,22209
Beaussais-Vitré,2,reg75,79030
Beautiran,32,reg75,33037
Beautor,253,reg32,02059
Beautot,1,reg28,76066
Beauvais,10058,reg32,60057
Beauvais-sur-Matha,47,reg75,17037
Beauval,64,reg32,80071
Beauvallon,96,reg84,26042
Beauvallon,96,reg84,69179
Beauvène,6,reg84,07030
Beauville,25,reg75,47025
Beauvoir,5,reg28,50042
Beauvoir-sur-Mer,47,reg52,85018
Beauvoir-sur-Niort,37,reg75,79031
Beauvois-en-Cambrésis,48,reg32,59063
Bec-de-Mortagne,4,reg28,76068
Béceleuf,4,reg75,79032
Bécherel,48,reg53,35022
Bécon-les-Granits,81,reg52,49026
Becquigny,1,reg32,80074
Becquigny,1,reg32,02061
Bédarrides,253,reg93,84016
Bédée,120,reg53,35023
Bédoin,51,reg93,84017
Bedous,11,reg75,64104
Beffes,51,reg24,18025
Bégadan,1,reg75,33038
Béganne,24,reg53,56011
Bégard,116,reg53,22004
Bègles,3753,reg75,33039
Bégrolles-en-Mauges,44,reg52,49027
Béguey,20,reg75,33040
Béguios,8,reg75,64105
Béhéricourt,1,reg32,60059
Beignon,52,reg53,56012
Beine-Nauroy,14,reg44,51046
Belbeuf,45,reg28,76069
Belcaire,7,reg76,11028
Bélesta,27,reg76,09047
Bélesta,27,reg76,66019
Belforêt-en-Perche,54,reg28,61196
Belfort,9141,reg27,90010
Belgeard,2,reg52,53028
Belgodère,15,reg94,2B034
Belhade,3,reg75,40032
Belhomert-Guéhouville,41,reg24,28033
Belin-Béliet,242,reg75,33042
Bellaing,151,reg32,59064
Belle-Église,24,reg32,60060
Belle-Isle-en-Terre,35,reg53,22005
Belle Vie en Auge,1,reg28,14527
Bellegarde,199,reg24,45031
Bellegarde-en-Forez,48,reg84,42013
Bellegarde-en-Marche,14,reg75,23020
Bellême,138,reg28,61038
Bellenaves,43,reg84,03022
Bellencombre,45,reg28,76070
Belleneuve,36,reg27,21060
Bellengreville,108,reg28,76071
Bellengreville,108,reg28,14057
Bellerive-sur-Allier,685,reg84,03023
Belleu,709,reg32,02064
Bellevigne-en-Layon,256,reg52,49345
Bellevigny,141,reg52,85019
