Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
36;Non;24;Centre-Val de Loire;45;Loiret;244500468;Orléans Métropole;4;Non;Non;Non;2;Non;45034;Boigny-sur-Bionne;Commune;214500340;45034;BOIGNY-SUR-BIONNE;Epargne nette;439587.4;0.0;0.0;439587.4;0.4395874;2143;205.12711152589827;1;;;;;;;;;2;;2024;2143
37;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;3;Oui;Non;Non;1;Non;45035;Boiscommun;Commune;214500357;45035;BOISCOMMUN;Epargne nette;118338.9;115937.42;0.0;234276.32;0.23427632;1157;202.48601555747624;1;;;;;;;;;2;;2024;1157
38;Non;24;Centre-Val de Loire;45;Loiret;244500211;Communauté de communes Giennoises;3;Oui;Non;Non;2;Non;45036;Boismorand;Commune;214500365;45036;BOISMORAND;Epargne nette;152678.43;0.0;0.0;152678.43;0.15267843;877;174.09171037628278;1;;;;;;;;;2;;2024;877
39;Non;24;Centre-Val de Loire;45;Loiret;244500542;Communauté de communes de la Plaine du Nord Loiret;3;Oui;Non;Non;1;Non;45037;Boisseaux;Commune;214500373;45037;BOISSEAUX;Epargne nette;88235.09;-398677.21;0.0;-310442.12;-0.31044212;521;-595.8581957773513;1;;;;;;;;;2;;2024;521
40;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;2;Non;Non;Non;2;Non;45038;Bondaroy;Commune;214500381;45038;BONDAROY;Epargne nette;175616.8;0.0;0.0;175616.8;0.1756168;429;409.36317016317014;1;;;;;;;;;2;;2024;429
41;Non;24;Centre-Val de Loire;45;Loiret;200070100;Communauté de communes du Val de Sully;3;Non;Non;Non;2;Non;45039;Bonnée;Commune;214500399;45039;BONNEE;Epargne nette;37111.6800000001;31120.48;0.0;68232.1600000001;0.06823216000000011;722;94.50437673130209;1;;;;;;;;;2;;2024;722
42;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;3;Oui;Non;Non;1;Non;45040;Bonny-sur-Loire;Commune;214500407;45040;BONNY-SUR-LOIRE;Epargne nette;213914.81;0.0;0.0;213914.81;0.21391481;1866;114.63816184351553;1;;;;;;;;;2;;2024;1866
43;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;1;Oui;Non;Non;2;Non;45041;Bordeaux-en-Gâtinais;Commune;214500415;45041;BORDEAUX-EN-GATINAIS;Epargne nette;5178.07000000001;0.0;0.0;5178.07000000001;0.0051780700000000094;111;46.64927927927937;1;;;;;;;;;2;;2024;111
44;Non;24;Centre-Val de Loire;45;Loiret;200070100;Communauté de communes du Val de Sully;3;Non;Non;Non;2;Non;45042;Les Bordes;Commune;214500423;45042;BORDES LES;Epargne nette;188489.82;-23789.16;0.0;164700.66;0.16470066;1911;86.18558869701727;1;;;;;;;;;2;;2024;1911
45;Non;24;Centre-Val de Loire;45;Loiret;244500468;Orléans Métropole;3;Oui;Non;Non;2;Non;45043;Bou;Commune;214500431;45043;BOU;Epargne nette;162520.28;0.0;0.0;162520.28;0.16252028;1034;157.17628626692456;1;;;;;;;;;2;;2024;1034
46;Non;24;Centre-Val de Loire;45;Loiret;244500484;Communauté de communes de la Forêt;1;Oui;Non;Non;3;Non;45044;Bougy-lez-Neuville;Commune;214500449;45044;BOUGY-LEZ-NEUVILLE;Epargne nette;21193.42;0.0;0.0;21193.42;0.021193419999999998;165;128.44496969696968;1;;;;;;;;;2;;2024;165
47;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;2;Oui;Non;Non;2;Non;45045;Bouilly-en-Gâtinais;Commune;214500456;45045;BOUILLY-EN-GATINAIS;Epargne nette;-15111.39;0.0;0.0;-15111.39;-0.015111389999999999;321;-47.075981308411215;1;;;;;;;;;2;;2024;321
48;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;3;Oui;Non;Non;1;Non;45046;Boulay-les-Barres;Commune;214500464;45046;BOULAY-LES-BARRES;Epargne nette;59326.9300000001;0.0;0.0;59326.9300000001;0.059326930000000104;1069;55.497595884003836;1;;;;;;;;;2;;2024;1069
49;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;2;Oui;Non;Non;1;Non;45047;Bouzonville-aux-Bois;Commune;214500472;45047;BOUZONVILLE-AUX-BOIS;Epargne nette;47905.71;0.0;0.0;47905.71;0.04790571;423;113.2522695035461;1;;;;;;;;;2;;2024;423
50;Non;24;Centre-Val de Loire;45;Loiret;244500427;Communauté de communes des Loges;3;Non;Non;Non;2;Non;45049;Bouzy-la-Forêt;Commune;214500498;45049;BOUZY-LA-FORET;Epargne nette;59809.7500000001;129754.38;0.0;189564.13;0.18956413;1255;151.0471155378486;1;;;;;;;;;2;;2024;1255
51;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;3;Oui;Non;Non;1;Non;45050;Boynes;Commune;214500506;45050;BOYNES;Epargne nette;-52150.4199999999;0.0;0.0;-52150.4199999999;-0.0521504199999999;1361;-38.3177222630418;1;;;;;;;;;2;;2024;1361
52;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;0;Oui;Non;Non;1;Non;45052;Breteau;Commune;214500522;45052;BRETEAU;Epargne nette;2908.15000000001;0.0;0.0;2908.15000000001;0.00290815000000001;99;29.375252525252627;1;;;;;;;;;2;;2024;99
53;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;6;Non;Non;Non;1;Non;45053;Briare;Commune;214500530;45053;BRIARE;Epargne nette;1540927.6;55833.13;0.0;1596760.73;1.59676073;5185;307.9577107039537;1;;;;;;;;;2;;2024;5185
54;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;3;Oui;Non;Non;2;Non;45054;Briarres-sur-Essonne;Commune;214500548;45054;BRIARRES-SUR-ESSONNE;Epargne nette;21735.35;0.0;0.0;21735.35;0.021735349999999997;542;40.10212177121771;1;;;;;;;;;2;;2024;542
55;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;3;Oui;Non;Non;1;Non;45055;Bricy;Commune;214500555;45055;BRICY;Epargne nette;4045.15999999997;0.0;0.0;4045.15999999997;0.0040451599999999695;564;7.172269503546046;1;;;;;;;;;2;;2024;564
56;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;2;Oui;Non;Non;2;Non;45056;Bromeilles;Commune;214500563;45056;BROMEILLES;Epargne nette;19638.51;32563.36;0.0;52201.87;0.052201870000000004;322;162.1176086956522;1;;;;;;;;;2;;2024;322
57;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;1;Oui;Non;Non;2;Non;45058;Bucy-le-Roi;Commune;214500589;45058;BUCY-LE-ROI;Epargne nette;-25124.32;0.0;0.0;-25124.32;-0.02512432;185;-135.80713513513513;1;;;;;;;;;2;;2024;185
