Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
77447;Seine-Port;54
77448;Sept-Sorts;14
77449;Serris;459
77450;Servon;62
77451;Signy-Signets;15
77452;Sigy;1
77453;Sivry-Courtry;13
77454;Sognolles-en-Montois;10
77455;Soignolles-en-Brie;27
77456;Soisy-Bouy;35
77457;Solers;41
77458;Souppes-sur-Loing;464
77459;Sourdun;54
77460;Tancrou;7
77461;Thénisy;14
77462;Thieux;52
77463;Thomery;132
77464;Thorigny-sur-Marne;358
77465;Thoury-Férottes;37
77466;Tigeaux;14
77467;La Tombe;12
77468;Torcy;358
77469;Touquin;35
77470;Tournan-en-Brie;184
77471;Tousson;21
77472;La Trétoire;18
77473;Treuzy-Levelay;15
77474;Trilbardou;31
77475;Trilport;115
77476;Trocy-en-Multien;10
77477;Ury;38
77478;Ussy-sur-Marne;35
77479;Vaires-sur-Marne;238
77480;Valence-en-Brie;36
77481;Vanvillé;0
77482;Varennes-sur-Seine;79
77483;Varreddes;69
77484;Vaucourtois;5
77485;Le Vaudoué;38
77486;Vaudoy-en-Brie;22
77487;Vaux-le-Pénil;236
77489;Vaux-sur-Lunain;8
77490;Vendrest;27
77492;Verdelot;39
77493;Verneuil-l'Étang;45
77494;Vernou-la-Celle-sur-Seine;68
77495;Vert-Saint-Denis;172
77496;Vieux-Champagne;8
77498;Vignely;3
77500;Villebéon;22
77501;Villecerf;32
77504;Villemaréchal;31
77505;Villemareuil;7
77506;Villemer;30
77507;Villenauxe-la-Petite;16
77508;Villeneuve-le-Comte;69
77509;Villeneuve-les-Bordes;15
77510;Villeneuve-Saint-Denis;54
77511;Villeneuve-sous-Dammartin;37
77512;Villeneuve-sur-Bellot;68
77513;Villenoy;185
77514;Villeparisis;817
77515;Villeroy;14
77516;Ville-Saint-Jacques;25
77517;Villevaudé;50
77518;Villiers-en-Bière;7
77519;Villiers-Saint-Georges;82
77520;Villiers-sous-Grez;24
77521;Villiers-sur-Morin;109
77522;Villiers-sur-Seine;11
77523;Villuis;6
77524;Vimpelles;38
77525;Vinantes;7
77526;Vincy-Manœuvre;4
77527;Voinsles;15
77528;Voisenon;24
77529;Voulangis;44
77530;Voulton;9
77531;Voulx;172
77532;Vulaines-lès-Provins;5
77533;Vulaines-sur-Seine;61
77534;Yèbles;10
78003;Ablis;90
78005;Achères;510
