"","Section","Valeur.fonciere"
"7709","J",12.3
"7710","J",12.3
"7711","J",12.3
"7712","J",12.3
"7713","J",12.3
"7714","J",12.3
"7715","J",12.3
"7716","J",12.3
"7717","J",12.3
"7718","J",12.3
"7719","J",12.3
"7720","J",12.3
"7721","J",12.3
"7722","J",12.3
"7723","J",12.3
"7724","J",12.3
"7729","M",2.14
"7730","M",2.14
"7834","AT",1.11
"7835","AT",1.11
"7874","AJ",0.61
"7875","AJ",0.61
"7926","B",1.85
"7927","B",1.85
"7992","AT",35
"7993","AT",35
"7994","AT",35
"7995","AT",35
"7996","AT",35
"8182","AT",1.41
"8183","AT",1.41
"8184","A",0.86
"8185","A",0.86
"8186","A",0.86
