"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"24702","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","10","","ALLEE","D ANJOU","",NA,"",NA,6,"","","S626L-B","S626L","NOISY LE SEC ALBERT EINSTEIN","",1,"C",59,1970,1970,1970,1,99,1,"93/1993/85-1231/101","21/12/1993",NA,NA,"10/2012","D","E","2008","1","S626L","NOISY LE SEC ALBERT EINSTEIN",1,93053,"ALL D ANJOU",2154,660315.4,6864856.4,"QP093022","0108","1135010","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24716","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","38","","RUE","CARNOT","",NA,"",NA,0,"","","S628L-A","S628L","NOISY LE SEC MICHELET","",2,"C",71,1971,1971,1971,1,99,1,"93/2000/99-864/027","08/09/2000",NA,NA,"11/2020","C","D","2015","1","S628L","NOISY LE SEC MICHELET",1,93053,"RUE CARNOT",2154,660403.8,6865958.6,"HZ","0105","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24717","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","38","","RUE","CARNOT","",NA,"",NA,1,"","","S628L-A","S628L","NOISY LE SEC MICHELET","",2,"C",63,1971,1971,1971,1,99,1,"93/2000/99-864/027","08/09/2000",NA,NA,"11/2020","C","D","2015","1","S628L","NOISY LE SEC MICHELET",1,93053,"RUE CARNOT",2154,660403.8,6865958.6,"HZ","0105","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24725","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","6","","SQ","CRAINQUEBILLE","0073",NA,"",NA,0,"","","","","","",2,"C",92,1956,1981,1956,1,52,1,"93/1992/AC/149","28/06/1993",NA,NA,"01/1900","","","","","","",2,93053,"SQ CRAINQUEBILLE",2154,659655.9,6865487.7,"HZ","0112","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24727","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","2","","SQ","STEPHENSON","0032",NA,"",NA,8,"","","","","","",1,"C",106,1956,1960,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"SQ STEPHENSON",2154,660576.1,6865417.4,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24729","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","2","","SQ","STEPHENSON","0039",NA,"",NA,10,"","","","","","",1,"C",105,1956,1960,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"SQ STEPHENSON",2154,660576.1,6865417.4,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24735","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","9","","RUE","AMPERE","0089",NA,"",NA,0,"","","","","","",1,"C",56,1956,1960,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE AMPERE",2154,660556.4,6865354.2,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24748","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","3","","RUE","GAY-LUSSAC","0153",NA,"",NA,1,"","","","","","",1,"C",54,1956,1960,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",3,93053,"RUE GAY LUSSAC",2154,660474.2,6865436.1,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24753","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","15","","RUE","GAY-LUSSAC","0216",NA,"",NA,4,"","","","","","",1,"C",55,1956,1960,1956,1,99,1,"93/1987/85/1231 126","30/12/1987",NA,NA,"","","","","","","",2,93053,"RUE GAY LUSSAC",2154,660538.3,6865279.3,"QP093021","0113","1135020","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
"24754","3",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93053,93130,"Noisy-le-Sec","5","","ALLEE","MANSART","",NA,"",NA,9,"","","S632L-A","S632L","NOISY LE SEC SALENGRO ILM","",2,"C",62,1974,1974,1974,1,99,1,"93/1999/85-1231/037","22/07/1999",NA,NA,"03/2019","C","D","2013","1","S632L","NOISY LE SEC SALENGRO ILM",2,93053,"ALL MANSART",2154,660213.74,6865376.4,"HZ","0114","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","moyen"
