"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"82825",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","2","","RUE","GUSTAVE FLAUBERT","",NA,"",NA,4,"","","51-2","51","51","",1,"C",80,1979,"1979","1979","1","52",1,"78.10319928512311075060.797","30/06/1999",NA,13,"11/2010","E","F",2011,1,"","",1,78586,"RUE GUSTAVE FLAUBERT",2154,640997.7,6872054.3,"QP078015","0703","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82826",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","12","","RUE","FERNAND LEGER","0303",NA,"3F",NA,3,"","","","","","",1,"C",81,1975,"1975","1975","1","52",1,"78/1/021988/85.1231/1/092034/494","05/02/1988",NA,NA,"01/2013","D","E",NA,NA,"01-0239","SARTROUVILLE Les Reflets",1,78586,"RUE FERNAND LEGER",2154,640531.5,6871967.5,"QP078015","0701","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82827",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","2","","RUE","GUSTAVE FLAUBERT","",NA,"",NA,5,"","","51-2","51","51","",1,"C",80,1979,"1979","1979","1","52",1,"78.10319928512311075060.797","30/06/1999",NA,13,"11/2010","E","F",2011,1,"","",1,78586,"RUE GUSTAVE FLAUBERT",2154,640997.7,6872054.3,"QP078015","0703","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82843",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","10","","RUE","FERNAND LEGER","0317",NA,"3G",NA,2,"","","","","","",1,"C",81,1975,"1975","1975","1","52",1,"78/1/021988/85.1231/1/092034/494","05/02/1988",NA,NA,"01/2010","D","E",NA,NA,"01-0239","SARTROUVILLE Les Reflets",1,78586,"RUE FERNAND LEGER",2154,640512.9,6871967.7,"QP078015","0701","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82968",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","10","","RUE","GUSTAVE FLAUBERT","",NA,"",NA,8,"","","51-1","51","51","",1,"C",80,1979,"1979","1979","1","52",1,"78.10319928512311075060.797","30/06/1999",NA,13,"11/2010","E","F",2011,1,"","",1,78586,"RUE GUSTAVE FLAUBERT",2154,640857.4,6872053.7,"QP078015","0703","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82974",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","3","","RUE","DE SEINE","",NA,"",NA,0,"","","R342L-F","R342L","SARTROUVILLE MARTIAL DECHARD","",2,"C",80,1978,"1978","1978","1","52",1,"7810319898512311075079613","01/03/1989",NA,NA,"03/2019","E","G",2016,1,"R342L","SARTROUVILLE MARTIAL DECHARD",2,78586,"RUE DE SEINE",2154,639077.5,6872284.9,"HZ","0501","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82978",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","","","","37 RUE DE ST-EXUPERY","1817",NA,"",NA,3,"","","","0116-04-37","SARTROUVILLE","",1,"C",80,1978,"1978","1980","1","52",1,"78106199585123110750851089","30/06/1995",NA,NA,"05/2009","D","E",NA,NA,"5","Yvelines 2",1,78586,"RUE DE SAINT EXUPERY",2154,640998.09,6872035.85,"QP078015","0703","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"82986",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","","","","37 RUE DE ST-EXUPERY","1827",NA,"",NA,5,"","","","0116-04-37","SARTROUVILLE","",1,"C",80,1978,"1978","1980","1","52",1,"78106199585123110750851089","30/06/1995",NA,NA,"05/2009","D","E",NA,NA,"5","Yvelines 2",1,78586,"RUE DE SAINT EXUPERY",2154,640998.09,6872035.85,"QP078015","0703","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83009",4,"13",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","5","","RUE","VOLTAIRE","",NA,"",NA,5,"","","1534L-A","1534L","Sartrouville VEFA av. Berteaux","",2,"C",74,2009,"2009","2009","4","13",1,"7810120079986410750781853","31/01/2007",NA,NA,"10/2013","C","D",2057,1,"1534L","Sartrouville VEFA av. Berteaux",2,78586,"RUE VOLTAIRE",2154,639251.6,6871274,"HZ","0502","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83067",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","10","","RUE","GUSTAVE FLAUBERT","",NA,"",NA,3,"","","51-1","51","51","",1,"C",80,1979,"1979","1979","1","52",1,"78.10319928512311075060.797","30/06/1999",NA,13,"11/2010","E","F",2011,1,"","",1,78586,"RUE GUSTAVE FLAUBERT",2154,640857.4,6872053.7,"QP078015","0703","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
