"","NUMAPPT","NBPIECE"
"3205","6560",3
"3206","6561",2
"3207","6562",3
"3208","6563",2
"3209","6564",3
"3210","6565",2
"3211","6566",3
"3212","6567",2
"3213","6568",3
"3214","6569",2
"3215","6570",3
"3216","6571",2
"3217","6572",3
"3218","6573",2
"3219","6574",3
"3220","6575",2
"3221","6576",3
"3222","6577",2
"3223","6578",3
"3224","6579",2
"3225","6580",3
"3226","6581",2
"3227","6582",3
"3228","6583",2
"3229","6584",3
"3230","6585",2
"3231","6586",3
"3232","6587",2
"3233","6588",3
"3234","6589",2
"3235","6590",3
"3236","6591",2
"3237","6592",3
