"","equiv","NOM_IRIS"
"996","très pauvres","Merisiers /14 juillet"
"1000","très pauvres","Merisiers /14 juillet"
"1002","très pauvres","Merisiers /14 juillet"
"1015","très pauvres","Merisiers /14 juillet"
"1016","très pauvres","Merisiers /14 juillet"
"1023","très pauvres","Merisiers /14 juillet"
"1030","très pauvres","Merisiers /14 juillet"
"1034","très pauvres","Merisiers /14 juillet"
"1040","très pauvres","Merisiers /14 juillet"
"1060","très pauvres","Merisiers /14 juillet"
"1072","très pauvres","Merisiers /14 juillet"
"1073","très pauvres","Merisiers /14 juillet"
"1088","très pauvres","Merisiers /14 juillet"
"1092","très pauvres","Merisiers /14 juillet"
"1097","très pauvres","Merisiers /14 juillet"
"1111","très pauvres","Merisiers /14 juillet"
"1112","très pauvres","Merisiers /14 juillet"
"1255","pauvres","Merisiers /14 juillet"
"1259","pauvres","Merisiers /14 juillet"
"1327","pauvres","Merisiers /14 juillet"
"1332","pauvres","Merisiers /14 juillet"
"1334","pauvres","Merisiers /14 juillet"
"1370","pauvres","Merisiers /14 juillet"
"1383","pauvres","Merisiers /14 juillet"
"1449","pauvres","Merisiers /14 juillet"
"1450","pauvres","Merisiers /14 juillet"
"1451","pauvres","Merisiers /14 juillet"
"1452","pauvres","Merisiers /14 juillet"
"1480","pauvres","Merisiers /14 juillet"
"1497","pauvres","Merisiers /14 juillet"
"1498","pauvres","Merisiers /14 juillet"
"1500","pauvres","Merisiers /14 juillet"
"1501","pauvres","Merisiers /14 juillet"
"1502","pauvres","Merisiers /14 juillet"
"1505","pauvres","Merisiers /14 juillet"
"1523","pauvres","Merisiers /14 juillet"
"1525","pauvres","Merisiers /14 juillet"
"1526","pauvres","Merisiers /14 juillet"
"1527","pauvres","Merisiers /14 juillet"
"1528","pauvres","Merisiers /14 juillet"
"1529","pauvres","Merisiers /14 juillet"
"1530","pauvres","Merisiers /14 juillet"
"1531","pauvres","Merisiers /14 juillet"
"1532","pauvres","Merisiers /14 juillet"
"1533","pauvres","Merisiers /14 juillet"
"1534","pauvres","Merisiers /14 juillet"
"1538","pauvres","Merisiers /14 juillet"
"1558","pauvres","Merisiers /14 juillet"
"1559","pauvres","Merisiers /14 juillet"
"1595","pauvres","Merisiers /14 juillet"
"1681","pauvres","Merisiers /14 juillet"
"1684","pauvres","Merisiers /14 juillet"
"1685","pauvres","Merisiers /14 juillet"
"1686","pauvres","Merisiers /14 juillet"
"1687","pauvres","Merisiers /14 juillet"
"1688","pauvres","Merisiers /14 juillet"
"1689","pauvres","Merisiers /14 juillet"
"1690","pauvres","Merisiers /14 juillet"
"1699","pauvres","Merisiers /14 juillet"
"1700","pauvres","Merisiers /14 juillet"
"1701","pauvres","Merisiers /14 juillet"
"1702","pauvres","Merisiers /14 juillet"
"1703","pauvres","Merisiers /14 juillet"
"1704","pauvres","Merisiers /14 juillet"
"1705","pauvres","Merisiers /14 juillet"
"1706","pauvres","Merisiers /14 juillet"
"1707","pauvres","Merisiers /14 juillet"
"1708","pauvres","Merisiers /14 juillet"
"1709","pauvres","Merisiers /14 juillet"
"1710","pauvres","Merisiers /14 juillet"
"1711","pauvres","Merisiers /14 juillet"
"1712","pauvres","Merisiers /14 juillet"
"1713","pauvres","Merisiers /14 juillet"
"1714","pauvres","Merisiers /14 juillet"
"1715","pauvres","Merisiers /14 juillet"
"1716","pauvres","Merisiers /14 juillet"
"1720","pauvres","Merisiers /14 juillet"
"1726","pauvres","Merisiers /14 juillet"
"1728","pauvres","Merisiers /14 juillet"
"1730","pauvres","Merisiers /14 juillet"
"1731","pauvres","Merisiers /14 juillet"
"1733","pauvres","Merisiers /14 juillet"
"1735","pauvres","Merisiers /14 juillet"
"1823","pauvres","Merisiers /14 juillet"
"1824","pauvres","Merisiers /14 juillet"
"1826","pauvres","Merisiers /14 juillet"
"1827","pauvres","Merisiers /14 juillet"
"1829","pauvres","Merisiers /14 juillet"
"1831","pauvres","Merisiers /14 juillet"
"1832","pauvres","Merisiers /14 juillet"
"1833","pauvres","Merisiers /14 juillet"
"1834","pauvres","Merisiers /14 juillet"
"1835","pauvres","Merisiers /14 juillet"
"1844","pauvres","Merisiers /14 juillet"
"1845","pauvres","Merisiers /14 juillet"
"1848","pauvres","Merisiers /14 juillet"
"1850","pauvres","Merisiers /14 juillet"
"1853","pauvres","Merisiers /14 juillet"
"1858","pauvres","Merisiers /14 juillet"
"1860","pauvres","Merisiers /14 juillet"
"1885","pauvres","Merisiers /14 juillet"
"1886","pauvres","Merisiers /14 juillet"
"1901","pauvres","Merisiers /14 juillet"
"1919","pauvres","Merisiers /14 juillet"
"1960","pauvres","Merisiers /14 juillet"
"1962","pauvres","Merisiers /14 juillet"
"1963","pauvres","Merisiers /14 juillet"
"1964","pauvres","Merisiers /14 juillet"
"1999","pauvres","Merisiers /14 juillet"
"2016","pauvres","Merisiers /14 juillet"
"2034","pauvres","Merisiers /14 juillet"
"2042","pauvres","Merisiers /14 juillet"
"2044","pauvres","Merisiers /14 juillet"
"2046","pauvres","Merisiers /14 juillet"
"2048","pauvres","Merisiers /14 juillet"
"2051","pauvres","Merisiers /14 juillet"
"2060","pauvres","Merisiers /14 juillet"
"2062","pauvres","Merisiers /14 juillet"
"2069","pauvres","Merisiers /14 juillet"
"2119","pauvres","Merisiers /14 juillet"
"2128","pauvres","Merisiers /14 juillet"
"2131","pauvres","Merisiers /14 juillet"
"2138","pauvres","Merisiers /14 juillet"
"2148","pauvres","Merisiers /14 juillet"
"2149","pauvres","Merisiers /14 juillet"
"2158","pauvres","Merisiers /14 juillet"
"2169","pauvres","Merisiers /14 juillet"
