"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"8831","2",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","72","","RUE","DE LA SOLIDARITE","",NA,"",NA,4,"","","1002 01","1002","1002","",2,"C",39,1934,1980,1988,1,52,1,"93-1991-AC-042","08/01/1993",NA,NA,"01/1900","","","","2","","",1,93048,"RUE DE LA SOLIDARITE",2154,659344.88,6861536.79,"HZ","0301","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8833","2",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","11","","RUE","DE PORT ROYAL","",NA,"",NA,1,"","","3507L-D","3507L","MONTREUIL DE PORT ROYAL","",1,"C",38,1959,1959,1959,1,99,1,"93198279444038","06/12/1982",NA,NA,"04/2011","E","F","2015","1","3507L","MONTREUIL DE PORT ROYAL",1,93048,"ALL DE PORT ROYAL",2154,661074.6,6862695.6,"QP093018","1103","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8864","2",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",5,93048,93100,"Montreuil","71","","RUE","SAINT DENIS","0023",NA,"B1",NA,1,"","","","","","BATIMENT B",2,"C",53,1988,1988,1988,1,12,1,"93/1986/85.1231/039","18/12/1986",NA,NA,"11/2008","E","C","","","01-0215","MONTREUIL Beaufils",1,93048,"RUE SAINT DENIS",2154,659984,6863726.5,"HZ","0901","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"8868","2",49,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","78","","RUE","SAINT DENIS","1016",NA,"1A",NA,5,"","","","","","",2,"C",51,1991,1992,1992,1,49,2,"","",NA,NA,"11/2008","D","E","","","01-0290","MONTREUIL Peron Saint Denis",1,93048,"RUE SAINT DENIS",2154,660080.3,6863660.8,"HZ","1003","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8875","2",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",5,93048,93100,"Montreuil","27","","RUE","EMILE BEAUFILS","0033",NA,"C1",NA,0,"","","","","","BATIMENT C",2,"C",51,1988,1988,1988,1,12,1,"93/1986/85.1231/039","18/12/1986",NA,NA,"11/2008","E","C","","","01-0215","MONTREUIL Beaufils",1,93048,"RUE EMILE BEAUFILS",2154,660005.1,6863668.7,"HZ","0901","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"très pauvres","petit"
"8884","2",13,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","","","","46 RUE DU MOULIN A VENT","0402",NA,"",NA,4,"","","","0F01-452F-01-01","MONTREUIL  MOULIN A VENT","",2,"C",47,2010,2010,2010,4,13,1,"93/2010/2002-844/077","17/06/2010",NA,NA,"02/2020","D","","","2","","",1,93048,"RUE DU MOULIN A VENT",2154,658502.8,6863621.4,"HZ","0502","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8929","2",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","16","","RUE","DE PORT ROYAL","",NA,"",NA,4,"","","3507L-E","3507L","MONTREUIL DE PORT ROYAL","",1,"C",38,1959,1959,1959,1,99,1,"93198279444038","06/12/1982",NA,NA,"04/2011","E","F","2015","1","3507L","MONTREUIL DE PORT ROYAL",1,93048,"ALL DE PORT ROYAL",2154,661100.9,6862740,"QP093018","1103","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8939","2",99,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","7","","RUE","DE PORT ROYAL","",NA,"",NA,4,"","","3507L-D","3507L","MONTREUIL DE PORT ROYAL","",1,"C",38,1959,1959,1959,1,99,1,"93198279444038","06/12/1982",NA,NA,"04/2011","E","F","2015","1","3507L","MONTREUIL DE PORT ROYAL",1,93048,"ALL DE PORT ROYAL",2154,661044.9,6862697.1,"QP093018","1103","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8948","2",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","25","","RUE","DES RUFFINS","0153",NA,"",NA,3,"","","","V90-3498-E-0001","MONTREUIL 03","",1,"C",40,1967,1967,1987,1,52,1,"931986851231033","02/10/1986",NA,13,"07/2017","D","E","","1","","",1,93048,"RUE DES RUFFINS",2154,661162.5,6862500,"QP093018","1104","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
"8951","2",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93048,93100,"Montreuil","25","","RUE","DES RUFFINS","0173",NA,"",NA,8,"","","","V90-3498-E-0001","MONTREUIL 03","",1,"C",42,1967,1967,1987,1,52,1,"931986851231033","02/10/1986",NA,13,"07/2017","D","E","","1","","",1,93048,"RUE DES RUFFINS",2154,661162.5,6862500,"QP093018","1104","HZ","CSZ","HZ","1",1,11,NA,1,1,1,NA,1,2021,1,1,1,"T08ZZZZZZ",851,1,1109,"pauvres","petit"
