"","Code","LIBCOM","nb","zone","Libellé","Unités.légales..en.nombre..2021","Résidences.principales.2019","Part.des.non.diplômés.chez.les.20.24.ans.sortis.des.études..2018","Implantations.France.Services..IFS...en.nombre..2021"
"176","77373","Pontault-Combault",2848,"IDF_DEP_77","Pontault-Combault",2963,14533,16.7,0
"177","77445","Savigny-le-Temple",3093,"IDF_DEP_77","Savigny-le-Temple",1528,10278,19.2,0
"178","77468","Torcy",3346,"IDF_DEP_77","Torcy",1733,8980,14.2,0
"179","78005","Achères",4074,"IDF_DEP_78","Achères",1268,8905,15.4,0
"180","78123","Carrières-sous-Poissy",2292,"IDF_DEP_78","Carrières-sous-Poissy",974,6610,29,0
"181","78172","Conflans-Sainte-Honorine",2979,"IDF_DEP_78","Conflans-Sainte-Honorine",2738,14290,14.2,0
"182","78208","Élancourt",2479,"IDF_DEP_78","Élancourt",1593,10510,10.5,0
"183","78297","Guyancourt",6141,"IDF_DEP_78","Guyancourt",1899,11885,14.7,0
"184","78335","Limay",2351,"IDF_DEP_78","Limay",1031,6276,21,0
"185","78361","Mantes-la-Jolie",7086,"IDF_DEP_78","Mantes-la-Jolie",3287,17053,23.9,0
"186","78362","Mantes-la-Ville",3210,"IDF_DEP_78","Mantes-la-Ville",1201,8143,19.6,0
"187","78423","Montigny-le-Bretonneux",3624,"IDF_DEP_78","Montigny-le-Bretonneux",2860,14265,9.5,0
"188","78440","Les Mureaux",4781,"IDF_DEP_78","Les Mureaux",2229,11399,22.8,1
"189","78490","Plaisir",3145,"IDF_DEP_78","Plaisir",2133,12166,13.9,0
"190","78498","Poissy",5798,"IDF_DEP_78","Poissy",3071,16756,14.2,0
"191","78517","Rambouillet",2266,"IDF_DEP_78","Rambouillet",2220,12648,16,0
"192","78545","Saint-Cyr-l'École",2604,"IDF_DEP_78","Saint-Cyr-l'École",1134,8064,10.2,1
"193","78551","Saint-Germain-en-Laye",3455,"IDF_DEP_78","Saint-Germain-en-Laye",5159,19633,10.1,0
"194","78586","Sartrouville",5418,"IDF_DEP_78","Sartrouville",4325,21160,16.1,1
"195","78621","Trappes",6845,"IDF_DEP_78","Trappes",2526,11529,21.1,1
"196","78646","Versailles",7292,"IDF_DEP_78","Versailles",10437,37411,7.9,0
"197","79191","Niort",6109,"reg75","Niort",4145,30709,18.4,1
"198","80021","Amiens",10373,"reg32","Amiens",8535,66908,20.9,3
"199","81004","Albi",4083,"reg76","Albi",4418,26005,18.9,1
"200","81065","Castres",3223,"reg76","Castres",3241,20451,19.7,0
"201","84007","Avignon",13990,"reg93","Avignon",11273,43331,19.3,0
"202","84031","Carpentras",2205,"reg93","Carpentras",3036,13136,26.4,1
"203","84035","Cavaillon",2466,"reg93","Cavaillon",2701,11966,20.7,0
"204","84087","Orange",2678,"reg93","Orange",2750,12917,22,0
"205","85191","La Roche-sur-Yon",6531,"reg52","La Roche-sur-Yon",4054,27972,16.8,0
"206","89387","Sens",4524,"reg27","Sens",2057,13175,30,0
"207","90010","Belfort",9141,"reg27","Belfort",3113,23754,21,0
"208","91027","Athis-Mons",4189,"IDF_DEP_91","Athis-Mons",2602,14090,14.3,1
"209","91103","Brétigny-sur-Orge",3250,"IDF_DEP_91","Brétigny-sur-Orge",1650,10970,13.5,0
"210","91174","Corbeil-Essonnes",6257,"IDF_DEP_91","Corbeil-Essonnes",3926,20729,17.8,1
"211","91201","Draveil",3210,"IDF_DEP_91","Draveil",2039,11597,14.1,0
"212","91223","Étampes",2396,"IDF_DEP_91","Étampes",1758,10349,26.5,1
"213","91272","Gif-sur-Yvette",2051,"IDF_DEP_91","Gif-sur-Yvette",1489,9049,12.2,1
"214","91286","Grigny",3992,"IDF_DEP_91","Grigny",1979,9209,24.5,0
"215","91345","Longjumeau",2589,"IDF_DEP_91","Longjumeau",1678,8706,17.6,0
"216","92002","Antony",5676,"IDF_DEP_92","Antony",5262,27320,11.2,1
"217","92004","Asnières-sur-Seine",8905,"IDF_DEP_92","Asnières-sur-Seine",9829,38454,13,0
"218","92007","Bagneux",10732,"IDF_DEP_92","Bagneux",3053,17148,14.1,0
"219","92009","Bois-Colombes",2290,"IDF_DEP_92","Bois-Colombes",2687,12976,10.5,0
"220","92012","Boulogne-Billancourt",8656,"IDF_DEP_92","Boulogne-Billancourt",20394,59478,9.4,0
"221","92019","Châtenay-Malabry",6282,"IDF_DEP_92","Châtenay-Malabry",2287,14616,17.5,0
"222","92020","Châtillon",3949,"IDF_DEP_92","Châtillon",2962,16542,14.7,0
"223","92022","Chaville",2301,"IDF_DEP_92","Chaville",1532,9085,9.7,1
"224","92023","Clamart",6682,"IDF_DEP_92","Clamart",4898,22394,15.1,0
"225","92024","Clichy",9970,"IDF_DEP_92","Clichy",7682,28830,15.3,0
"226","92025","Colombes",11700,"IDF_DEP_92","Colombes",7769,35321,17.8,2
"227","92026","Courbevoie",9535,"IDF_DEP_92","Courbevoie",11279,39170,10.1,0
