Code,Libcom,fammilles monoparentales,residences principales surroccupées,IFS,taille menages
1098,Chazey-Bons,30,2.2,0,2.44
1099,Chazey-sur-Ain,84,0.7,0,2.25
1100,Cheignieu-la-Balme,5,0,0,1.77
1101,Chevillard,0,0,0,2.2
1102,Chevroux,15,1.3,0,2.54
1103,Chevry,55,2.4,0,2.49
1104,Chézery-Forens,20,0,0,2.29
1105,Civrieux,35,1.4,0,2.61
1106,Cize,5,0,0,2.21
1107,Cleyzieu,5,8.3,0,2.14
1108,Coligny,25,0,0,2.04
1109,Collonges,90,1.7,0,2.46
1110,Colomieu,10,0,0,2.2
1111,Conand,5,0,0,2.28
1112,Condamine,19,2.9,0,2.61
1113,Condeissiat,10,0,0,2.38
1114,Confort,5,2.2,0,2.54
1115,Confrançon,51,0,0,2.39
1116,Contrevoz,40,0,0,2.18
1117,Conzieu,0,0,0,2.6
1118,Corbonod,51,2.2,0,2.34
1121,Corlier,5,0,0,2.42
1123,Cormoranche-sur-Saône,32,0,0,2.54
1124,Cormoz,29,0,0,2.2
1125,Corveissiat,15,0,0,2.24
1127,Courmangoux,20,0,0,2.23
1128,Courtes,10,0,0,2.25
1129,Crans,5,0,0,2.46
1130,Bresse Vallons,90,0.6,0,2.59
1133,Cressin-Rochefort,10,0,0,2.27
1134,Crottet,63,0,0,2.34
1135,Crozet,45,4.1,0,2.51
1136,Cruzilles-lès-Mépillat,20,0,0,2.57
1138,Culoz,125,6.1,0,2.17
1139,Curciat-Dongalon,15,0,0,2.14
1140,Curtafond,20,1.6,0,2.44
1141,Cuzieu,21,0,0,2.49
1142,Dagneux,174,1.1,0,2.57
1143,Divonne-les-Bains,325,2.7,0,2.22
1145,Dompierre-sur-Veyle,20,1,0,2.4
1146,Dompierre-sur-Chalaronne,5,0,0,2.67
1147,Domsure,10,4.9,0,2.41
1148,Dortan,66,2.5,0,2.31
1149,Douvres,54,0,0,2.4
1150,Drom,10,5.9,0,2.33
1151,Druillat,45,0,0,2.27
1152,Échallon,10,0,0,2.34
1153,Échenevex,92,0.7,0,2.68
1155,Évosges,0,0,0,2
1156,Faramans,10,0,0,2.65
1157,Fareins,57,1.1,0,2.48
1158,Farges,60,1.2,0,2.43
1159,Feillens,105,0.7,0,2.27
1160,Ferney-Voltaire,643,6.9,0,2.07
1162,Flaxieu,0,0,0,2.5
1163,Foissiat,45,1.2,0,2.29
1165,Francheleins,40,0,0,2.67
1166,Frans,131,1.4,0,2.45
1167,Garnerans,20,1.8,0,2.42
1169,Genouilleux,15,2,0,2.57
1170,Béard-Géovreissiat,40,1.2,0,2.73
1171,Géovreisset,20,0,0,2.53
1173,Gex,525,5,0,2.17
1174,Giron,10,0,0,2.26
1175,Gorrevod,30,3,0,2.32
1177,Grand-Corent,15,0,0,2.2
1179,Grièges,65,1.2,0,2.23
1180,Grilly,40,4.5,0,2.47
1181,Groissiat,25,1.1,0,2.61
1183,Guéreins,10,0.9,0,2.57
1184,Hautecourt-Romanèche,10,1.5,0,2.2
1185,Plateau d'Hauteville,129,1.2,1,1.93
1187,Haut Valromey,45,1.6,0,1.99
1188,Illiat,19,2,0,2.73
1189,Injoux-Génissiat,45,1.1,0,2.41
1190,Innimond,5,0,0,2.22
1191,Izenave,0,0,0,2.2
1192,Izernore,87,1.6,1,2.37
1193,Izieu,20,4.8,0,2.18
1194,Jassans-Riottier,320,1.7,0,2.32
1195,Jasseron,87,1.4,0,2.43
1196,Jayat,26,0,0,2.69
1197,Journans,10,0,0,2.16
1198,Joyeux,10,0,0,2.64
1199,Jujurieux,111,4.4,0,2.19
1200,Labalme,10,5.9,0,2.34
1202,Lagnieu,310,1.1,0,2.19
1203,Laiz,16,2,0,2.45
1204,Le Poizat-Lalleyriat,30,0,0,2.48
1206,Lantenay,5,8.6,0,2.39
1207,Lapeyrouse,10,0,0,2.57
1208,Lavours,5,0,0,2.05
1209,Léaz,20,1.7,0,2.62
1210,Lélex,5,0,0,2
1211,Lent,75,1.6,0,2.24
1212,Lescheroux,15,3.4,0,2.46
1213,Leyment,56,1,0,2.57
1214,Leyssard,10,0,0,2.15
1215,Surjoux-Lhopital,0,0,0,2.25
1216,Lhuis,10,0,0,2.24
1219,Lompnas,0,0,0,2.13
1224,Loyettes,98,3.7,0,2.58
1225,Lurcy,10,0,0,2.41
1227,Magnieu,20,0,0,2.33
1228,Maillat,15,0,0,2.44
1229,Malafretaz,50,0,0,2.27
1230,Mantenay-Montlin,20,0,0,2.21
1231,Manziat,81,0.6,0,2.37
1232,Marboz,41,0,0,2.27
1233,Marchamp,10,0,0,2.15
1234,Marignieu,0,0,0,2.17
1235,Marlieux,20,1.1,0,2.39
1236,Marsonnas,25,2.4,0,2.43
1237,Martignat,51,2.3,0,2.58
1238,Massieux,138,1.4,0,2.55
1239,Massignieu-de-Rives,10,0,0,2.41
1240,Matafelon-Granges,10,0,0,2.32
1241,Meillonnas,75,0,0,2.25
1242,Mérignat,10,16.7,0,2.21
1243,Messimy-sur-Saône,20,2,0,2.51
1244,Meximieux,376,2.6,0,2.31
1245,Bohas-Meyriat-Rignat,35,0,0,2.38
1246,Mézériat,93,3.5,0,2.43
1247,Mijoux,5,3.7,0,2.14
1248,Mionnay,59,2.3,0,2.53
1249,Miribel,422,2.9,0,2.33
1250,Misérieux,52,2.3,0,2.65
1252,Mogneneins,35,1.6,0,2.5
1254,Montagnat,58,0.6,0,2.53
1255,Montagnieu,25,0,0,2.41
1257,Montanges,5,0,0,2.29
1258,Montceaux,20,1,0,2.58
1259,Montcet,15,0,0,2.64
1260,Le Montellier,15,0,0,2.74
1261,Monthieux,26,0,0,2.58
1262,Montluel,280,5,1,2.27
1263,Montmerle-sur-Saône,145,0.9,0,2.28
1264,Montracol,20,2.5,0,2.46
1265,Montréal-la-Cluse,153,3.7,0,2.28
1266,Montrevel-en-Bresse,123,2.5,0,2.02
1267,Nurieux-Volognat,45,1.1,0,2.47
1268,Murs-et-Gélignieux,15,4.8,0,2.3
1269,Nantua,193,6.4,1,2.19
1272,Neuville-les-Dames,30,0,0,2.18
1273,Neuville-sur-Ain,26,0.7,0,2.48
1274,Les Neyrolles,50,2,0,2.55
1275,Neyron,71,1,0,2.5
1276,Niévroz,40,1.8,0,2.81
1277,Nivollet-Montgriffon,0,0,0,2.02
1279,Oncieu,0,0,0,1.87
1280,Ordonnaz,10,0,0,1.96
