X,Y,Compter - Colonne A
"662292,2","6867993,1",21
"662295,1",6867115,10
"662302,2",6867321,10
"662305,4",6867083,10
"662307,1","6867314,9",10
"662307,2","6867842,5",10
"662307,6","6867015,12",10
"662307,8","6867042,2",10
"662308,6","6867836,4",10
"662308,64","6867023,94",10
"662309,9","6867988,4",22
"662311,5",6867000,10
"662311,8",6867009,10
,"6867197,8",6
"662313,8","6867075,5",10
"662314,1","6867134,9",10
"662319,5",6867260,10
"662326,4","6867147,9",6
"662327,4","6867181,8",6
"662327,97","6867847,74",10
662328,"6867020,8",10
"662331,3","6867982,7",20
"662332,6","6867154,4",5
"662343,3","6867831,1",10
"662344,7","6867872,9",10
"662347,1","6867978,5",22
"662348,2","6867158,04",6
"662348,3","6867188,3",53
"662349,6","6867893,9",10
"662351,6","6867018,2",10
"662353,5",6867027,10
"662355,31","6867790,32",10
"662363,3","6867974,2",22
"662364,5","6867912,1",9
"662367,95","6866380,84",12
"662378,19","6866352,24",23
"662379,4","6867930,4",10
"662380,6","6867969,6",22
"662387,39","6866377,18",12
"662390,8","6867022,8",10
"662392,5","6867013,6",10
"662394,3","6867948,6",10
"662396,4","6867177,9",6
"662398,5",6867066,10
"662399,82","6866487,92",10
"662401,4","6866801,9",10
"662408,4","6867081,4",10
"662409,2","6867966,8",10
"662409,5","6866825,4",10
"662410,58","6866373,5",12
"662414,21","6866485,21",10
"662416,5",6867148,6
"662419,2","6867145,6",10
"662421,5","6866860,65",20
"662423,4",6867114,10
"662428,34","6866481,19",10
662434,"6866897,25",20
"662438,04","6866331,06",9
"662451,2","6866480,7",10
"662451,34","6866328,05",10
"662461,17","6866327,99",10
"662462,5","6868236,89",10
"662465,15","6866958,95",20
"662469,78","6866321,66",10
"662471,18","6868241,54",10
"662472,9","6866516,6",104
"662479,9","6866740,7",20
"662484,73","6866321,56",10
"662498,88","6866319,9",10
"662500,14","6866584,97",19
"662504,3","6866741,4",10
"662504,31","6866369,72",43
"662510,74","6866390,46",42
"662514,87","6866420,24",42
"662516,2","6866770,7",10
"662525,09","6866480,96",43
"662528,1",6866800,10
"662528,48","6866578,2",20
"662532,8","6866835,8",10
"662533,04","6866507,78",43
"662533,7","6866814,1",20
"662546,4","6866871,6",10
"662551,55","6866569,69",20
"662556,1","6866896,7",10
"662564,2","6866898,89",10
"662582,06","6866893,68",10
"662597,8","6866799,3",18
"662606,8","6866833,1",10
"662610,2","6866878,5",10
"662613,1","6866791,8",18
"662613,5","6866334,7",4
"662619,5","6866865,8",10
"662628,5","6866784,3",18
"662643,3","6866931,1",16
"662643,8","6866776,8",18
"662649,9","6866947,9",8
"662655,8","6866962,3",8
