Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
26022,Ballons,6,50,0,0
26023,Barbières,57,420,12.5,0
26024,Barcelonne,22,145,0,0
26025,Barnave,17,91,0,0
26026,Barret-de-Lioure,8,39,0,0
26027,Barsac,16,62,50,0
26028,Bathernay,14,99,16.7,0
26030,La Bâtie-des-Fonds,2,1,N/A,0
26031,La Bâtie-Rolland,96,430,6.9,0
26032,La Baume-Cornillane,26,192,0,0
26033,La Baume-de-Transit,80,374,3.7,0
26034,La Baume-d'Hostun,52,219,0,0
26035,Beaufort-sur-Gervanne,58,214,7.7,0
26036,Beaumont-en-Diois,18,55,0,0
26037,Beaumont-lès-Valence,421,1692,11.8,0
26038,Beaumont-Monteux,92,513,11.8,0
26039,Beauregard-Baret,57,332,9.5,0
26040,Beaurières,7,36,0,0
26041,Beausemblant,129,585,17.1,0
26042,Beauvallon,56,649,6.9,0
26043,Beauvoisin,12,71,0,0
26045,La Bégude-de-Mazenc,203,733,2.5,0
26046,Bellecombe-Tarendol,9,40,0,0
26047,Bellegarde-en-Diois,12,41,0,0
26048,Bénivay-Ollon,8,32,0,0
26049,Bésayes,94,504,6.1,0
26050,Bésignan,3,37,0,0
26051,Bézaudun-sur-Bîne,2,30,0,0
26052,Bonlieu-sur-Roubion,20,183,10,0
26054,Bouchet,92,603,3.9,0
26055,Boulc,17,69,33.3,0
26056,Bourdeaux,86,304,25,1
26057,Bourg-de-Péage,947,4777,10.6,0
26058,Bourg-lès-Valence,1375,9094,13.2,0
26059,Bouvante,17,104,0,0
26060,Bouvières,22,69,N/A,0
26061,Bren,38,252,9.1,0
26062,Brette,1,17,0,0
26063,Buis-les-Baronnies,306,1121,26.7,0
26064,Chabeuil,663,2912,10.1,0
26065,Chabrillan,59,313,18.8,0
26066,Le Chaffal,5,20,N/A,0
26067,Chalancon,2,33,0,0
26068,Le Chalon,14,85,0,0
26069,Chamaloc,10,59,0,0
26070,Chamaret,49,264,24,0
26071,Chanos-Curson,101,451,18.9,0
