Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;76;Occitanie;31;Haute-Garonne;243100518;Toulouse Métropole;6;Non;Non;Non;2;Non;31490;Saint-Jory;Commune;213104904;31490;21310490400015;SAINT-JORY;Budget principal;M14;Dépenses d'intervention;636677.64;0.63667764;7426;85.7362833288446;1;1;;;;;4;;;;;;2024;7426
2024;Non;76;Occitanie;32;Gers;200042372;Communauté de communes des Coteaux Arrats Gimone;0;Oui;Non;Non;1;Non;32270;Mongausy;Commune;213202708;32270;21320270800011;MONGAUSY;Budget principal;M14A;Dépenses d'intervention;10451.47;0.01045147;90;116.12744444444444;1;1;;;;;4;;;;;;2024;90
2024;Non;84;Auvergne-Rhône-Alpes;38;Isère;200040657;Communauté de communes de la Matheysine;2;Oui;Oui;Non;2;Non;38128;Corps;Commune;213801285;38128;21380128500015;CORPS;Budget principal;M14;Dépenses d'intervention;234032.77;0.23403277;431;542.9994663573085;1;1;;;;;4;;;;;;2024;431
2024;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;4;Oui;Non;Non;2;Non;45154;Gidy;Commune;214501546;45154;21450154600011;GIDY;Budget principal;M14;Dépenses d'intervention;67884.0;0.067884;2065;32.87360774818402;1;1;;;;;4;;;;;;2024;2065
2024;Non;44;Grand Est;52;Haute-Marne;200069664;Communauté de communes Meuse Rognon;2;Oui;Non;Non;1;Non;52455;Saint-Thiébault;Commune;215203282;52455;21520328200011;SAINT-THIEBAULT;Budget principal;M14;Dépenses d'intervention;16177.64;0.01617764;248;65.23241935483871;1;1;;;;;4;;;;;;2024;248
2024;Non;44;Grand Est;54;Meurthe-et-Moselle;245400510;Communauté de communes du Pays de Colombey et du Sud Toulois;1;Oui;Non;Non;1;Non;54052;Battigny;Commune;215400524;54052;21540052400017;BATTIGNY;Budget principal;M14;Dépenses d'intervention;5269.26;0.0052692600000000004;153;34.43960784313725;1;1;;;;;4;;;;;;2024;153
2024;Non;44;Grand Est;54;Meurthe-et-Moselle;245400510;Communauté de communes du Pays de Colombey et du Sud Toulois;3;Oui;Non;Non;1;Non;54189;Favières;Commune;215401894;54189;21540189400013;FAVIERES;Budget principal;M14;Dépenses d'intervention;68356.28;0.06835628;604;113.17264900662252;1;1;;;;;4;;;;;;2024;604
2024;Non;44;Grand Est;55;Meuse;200066165;Communauté de communes Val de Meuse - Voie Sacrée;3;Oui;Non;Non;1;Non;55492;Sommedieue;Commune;215504929;55492;21550492900013;SOMMEDIEUE;Budget principal;M14;Dépenses d'intervention;12570.0;0.01257;986;12.748478701825558;1;1;;;;;4;;;;;;2024;986
2024;Non;32;Hauts-de-France;59;Nord;200093201;Métropole Européenne de Lille;7;Non;Non;Non;2;Oui;59299;Hem;Commune;215902990;59299;21590299000013;COMMUNE HEM;Budget principal;M14;Dépenses d'intervention;2431788.23;2.43178823;18869;128.87743017647995;1;1;;;;;4;;;;;;2024;18869
2024;Non;32;Hauts-de-France;60;Oise;200068005;Communauté de communes de l'Oise Picarde;2;Oui;Non;Non;1;Non;60123;Campremy;Commune;216001222;60123;21600122200019;CAMPREMY;Budget principal;M14;Dépenses d'intervention;63154.13;0.06315413;484;130.48373966942148;1;1;;;;;4;;;;;;2024;484
2024;Non;32;Hauts-de-France;60;Oise;246000129;Communauté de communes du Liancourtois;6;Non;Non;Non;1;Oui;60360;Liancourt;Commune;216003574;60360;21600357400011;LIANCOURT;Budget principal;M14;Dépenses d'intervention;354560.84;0.35456084000000004;7060;50.22108215297451;1;1;;;;;4;;;;;;2024;7060
2024;Non;32;Hauts-de-France;60;Oise;246000566;Communauté de communes du Plateau Picard;2;Oui;Non;Non;2;Non;60468;Nourard-le-Franc;Commune;216004622;60468;21600462200017;NOURARD-LE-FRANC;Budget principal;M14;Dépenses d'intervention;20418.45;0.02041845;304;67.16595394736842;1;1;;;;;4;;;;;;2024;304
2024;Non;32;Hauts-de-France;60;Oise;200068005;Communauté de communes de l'Oise Picarde;3;Oui;Non;Non;2;Non;60565;Saint-André-Farivillers;Commune;216005595;60565;21600559500014;SAINT-ANDRE-FARIVILLERS;Budget principal;M14;Dépenses d'intervention;97882.44;0.09788244;520;188.23546153846155;1;1;;;;;4;;;;;;2024;520
2024;Non;32;Hauts-de-France;62;Pas-de-Calais;246200364;Communauté d'agglomération de Lens - Liévin;6;Non;Non;Non;1;Oui;62528;Loos-en-Gohelle;Commune;216205286;62528;21620528600018;LOOS-EN-GOHELLE;Budget principal;M14;Dépenses d'intervention;618969.3;0.6189693000000001;6962;88.90682275208275;1;1;;;;;4;;;;;;2024;6962
2024;Non;32;Hauts-de-France;62;Pas-de-Calais;246200729;Communauté d'agglomération du Boulonnais;5;Non;Non;Non;2;Non;62894;Wimille;Commune;216208942;62894;21620894200096;WIMILLE;Budget principal;M14;Dépenses d'intervention;242464.71;0.24246471;3939;61.55488956587966;1;1;;;;;4;;;;;;2024;3939
2024;Non;76;Occitanie;65;Hautes-Pyrénées;246500573;Communauté de communes Aure Louron;0;Oui;Oui;Oui;2;Non;65050;Avajan;Commune;216500504;65050;21650050400016;AVAJAN;Budget principal;M14A;Dépenses d'intervention;27904.74;0.02790474;82;340.3017073170732;1;1;;;;;4;;;;;;2024;82
2024;Non;76;Occitanie;65;Hautes-Pyrénées;246500573;Communauté de communes Aure Louron;0;Oui;Oui;Oui;3;Non;65283;Loudervielle;Commune;216502831;65283;21650283100011;LOUDERVIELLE;Budget principal;M14A;Dépenses d'intervention;32233.26;0.03223326;51;632.0247058823529;1;1;;;;;4;;;;;;2024;51
2024;Non;76;Occitanie;65;Hautes-Pyrénées;246500573;Communauté de communes Aure Louron;0;Oui;Oui;Oui;0;Non;65379;Ris;Commune;216503797;65379;21650379700013;RIS;Budget principal;M14A;Dépenses d'intervention;7104.0;0.007104;15;473.6;1;1;;;;;4;;;;;;2024;15
2024;Non;76;Occitanie;65;Hautes-Pyrénées;246500573;Communauté de communes Aure Louron;0;Oui;Oui;Oui;1;Non;65466;Vielle-Louron;Commune;216504662;65466;21650466200018;VIELLE-LOURON;Budget principal;M14A;Dépenses d'intervention;18893.19;0.018893189999999997;83;227.62879518072288;1;1;;;;;4;;;;;;2024;83
2024;Non;84;Auvergne-Rhône-Alpes;69;Rhône;200067817;Communauté de communes Saône-Beaujolais;7;Non;Non;Non;1;Oui;69019;Belleville-en-Beaujolais;Commune;200084416;69019;20008441600011;BELLEVILLE-EN-BEAUJOLAIS;Budget principal;M14;Dépenses d'intervention;1329822.12;1.3298221200000002;13819;96.23142919169261;1;1;;;;;4;;;;;;2024;13819
2024;Non;75;Nouvelle-Aquitaine;79;Deux-Sèvres;200041333;Communauté de communes de Parthenay-Gâtine;2;Oui;Non;Non;2;Non;79256;Saint-Germier;Commune;217902568;79256;21790256800013;SAINT-GERMIER;Budget principal;M14A;Dépenses d'intervention;17514.51;0.017514509999999997;255;68.68435294117647;1;1;;;;;4;;;;;;2024;255
2024;Non;32;Hauts-de-France;80;Somme;200070985;Communauté de communes de l'Est de la Somme;1;Oui;Non;Non;2;Non;80638;Potte;Commune;218006021;80638;21800602100016;POTTE;Budget principal;M14;Dépenses d'intervention;6507.16;0.00650716;116;56.09620689655172;1;1;;;;;4;;;;;;2024;116
2024;Non;32;Hauts-de-France;80;Somme;200071181;Communauté de communes Somme Sud-Ouest;2;Oui;Non;Non;1;Non;80651;Le Quesne;Commune;218006138;80651;21800613800018;LE QUESNE;Budget principal;M14;Dépenses d'intervention;14926.33;0.01492633;257;58.079105058365755;1;1;;;;;4;;;;;;2024;257
2024;Non;32;Hauts-de-France;80;Somme;200071181;Communauté de communes Somme Sud-Ouest;2;Oui;Non;Non;2;Non;80703;Saint-Germain-sur-Bresle;Commune;218006625;80703;21800662500014;SAINT-GERMAIN-SUR-BRESLE;Budget principal;M14;Dépenses d'intervention;11541.52;0.011541520000000001;219;52.701004566210045;1;1;;;;;4;;;;;;2024;219
2024;Non;75;Nouvelle-Aquitaine;87;Haute-Vienne;200071942;Communauté de communes Haut Limousin en Marche;5;Non;Non;Non;1;Non;87011;Bellac;Commune;218701100;87011;21870110000016;BELLAC;Budget principal;M14;Dépenses d'intervention;338142.82;0.33814282;3721;90.87417898414405;1;1;;;;;4;;;;;;2024;3721
2024;Non;27;Bourgogne-Franche-Comté;89;Yonne;200067114;Communauté d'agglomération de l'Auxerrois;2;Oui;Non;Non;2;Non;89053;Branches;Commune;218900538;89053;21890053800057;BRANCHES;Budget principal;M14;Dépenses d'intervention;40310.01;0.04031001;443;90.99325056433409;1;1;;;;;4;;;;;;2024;443
2024;Non;27;Bourgogne-Franche-Comté;89;Yonne;248900383;Communauté de communes de l'Agglomération Migennoise;3;Oui;Non;Non;1;Non;89152;Épineau-les-Voves;Commune;218901528;89152;21890152800016;EPINEAU LES VOVES;Budget principal;M14;Dépenses d'intervention;36295.28;0.03629528;737;49.24732700135685;1;1;;;;;4;;;;;;2024;737
2024;Non;27;Bourgogne-Franche-Comté;89;Yonne;200067114;Communauté d'agglomération de l'Auxerrois;3;Oui;Non;Non;2;Non;89154;Escamps;Commune;218901544;89154;21890154400013;ESCAMPS;Budget principal;M14;Dépenses d'intervention;28865.25;0.02886525;890;32.43286516853932;1;1;;;;;4;;;;;;2024;890
2024;Non;27;Bourgogne-Franche-Comté;89;Yonne;200067130;Communauté de communes de Puisaye-Forterre;1;Oui;Non;Non;2;Non;89217;Lalande;Commune;218902179;89217;21890217900017;LALANDE;Budget principal;M14A;Dépenses d'intervention;21115.12;0.021115119999999998;138;153.00811594202898;1;1;;;;;4;;;;;;2024;138
