"","taille","NOM_IRIS"
"4356","moyen","Merisiers /14 juillet"
"4359","moyen","Merisiers /14 juillet"
"4361","moyen","Merisiers /14 juillet"
"4362","moyen","Merisiers /14 juillet"
"4363","moyen","Merisiers /14 juillet"
"4365","moyen","Merisiers /14 juillet"
"4367","moyen","Merisiers /14 juillet"
"4371","moyen","Merisiers /14 juillet"
"4375","moyen","Merisiers /14 juillet"
"4379","moyen","Merisiers /14 juillet"
"4383","moyen","Merisiers /14 juillet"
"4386","moyen","Merisiers /14 juillet"
"4387","moyen","Merisiers /14 juillet"
"4405","moyen","Merisiers /14 juillet"
"4412","moyen","Merisiers /14 juillet"
"4417","moyen","Merisiers /14 juillet"
"4448","moyen","Merisiers /14 juillet"
"4502","moyen","Merisiers /14 juillet"
"4504","moyen","Merisiers /14 juillet"
"4516","moyen","Merisiers /14 juillet"
"4526","moyen","Merisiers /14 juillet"
"4534","moyen","Merisiers /14 juillet"
"4538","moyen","Merisiers /14 juillet"
"4550","moyen","Merisiers /14 juillet"
"4584","moyen","Merisiers /14 juillet"
"4652","moyen","Merisiers /14 juillet"
"4695","moyen","Merisiers /14 juillet"
"4698","moyen","Merisiers /14 juillet"
"4705","moyen","Merisiers /14 juillet"
"4709","moyen","Merisiers /14 juillet"
"4715","moyen","Merisiers /14 juillet"
"4739","moyen","Merisiers /14 juillet"
"4751","moyen","Merisiers /14 juillet"
"4761","moyen","Merisiers /14 juillet"
"4763","moyen","Merisiers /14 juillet"
"4767","moyen","Merisiers /14 juillet"
"4771","moyen","Merisiers /14 juillet"
"4773","moyen","Merisiers /14 juillet"
"4779","moyen","Merisiers /14 juillet"
"4785","moyen","Merisiers /14 juillet"
"4789","moyen","Merisiers /14 juillet"
"4791","moyen","Merisiers /14 juillet"
"4793","moyen","Merisiers /14 juillet"
"4795","moyen","Merisiers /14 juillet"
"4798","moyen","Merisiers /14 juillet"
"4808","moyen","Merisiers /14 juillet"
"4816","moyen","Merisiers /14 juillet"
"4820","moyen","Merisiers /14 juillet"
"4824","moyen","Merisiers /14 juillet"
"4830","moyen","Merisiers /14 juillet"
"4834","moyen","Merisiers /14 juillet"
"4842","moyen","Merisiers /14 juillet"
"4848","moyen","Merisiers /14 juillet"
"4852","moyen","Merisiers /14 juillet"
"4857","moyen","Merisiers /14 juillet"
"4860","moyen","Merisiers /14 juillet"
"4871","moyen","Merisiers /14 juillet"
"4884","moyen","Merisiers /14 juillet"
"4888","moyen","Merisiers /14 juillet"
"4896","moyen","Merisiers /14 juillet"
"4898","moyen","Merisiers /14 juillet"
"4908","moyen","Merisiers /14 juillet"
"4944","moyen","Merisiers /14 juillet"
"4949","moyen","Merisiers /14 juillet"
"4952","moyen","Merisiers /14 juillet"
"4953","moyen","Merisiers /14 juillet"
"4963","moyen","Merisiers /14 juillet"
"4964","moyen","Merisiers /14 juillet"
"4965","moyen","Merisiers /14 juillet"
"4967","moyen","Merisiers /14 juillet"
"4970","moyen","Merisiers /14 juillet"
"4997","moyen","Merisiers /14 juillet"
"5013","moyen","Merisiers /14 juillet"
"5021","moyen","Merisiers /14 juillet"
"5023","moyen","Merisiers /14 juillet"
"5040","moyen","Merisiers /14 juillet"
"5061","moyen","Merisiers /14 juillet"
"5071","moyen","Merisiers /14 juillet"
"5083","moyen","Merisiers /14 juillet"
"5086","moyen","Merisiers /14 juillet"
"5091","moyen","Merisiers /14 juillet"
"5096","moyen","Merisiers /14 juillet"
"5101","moyen","Merisiers /14 juillet"
"5104","moyen","Merisiers /14 juillet"
"5105","moyen","Merisiers /14 juillet"
"5108","moyen","Merisiers /14 juillet"
"5111","moyen","Merisiers /14 juillet"
"5122","moyen","Merisiers /14 juillet"
"5166","moyen","Merisiers /14 juillet"
"5170","moyen","Merisiers /14 juillet"
"5177","moyen","Merisiers /14 juillet"
"5185","moyen","Merisiers /14 juillet"
"5196","moyen","Merisiers /14 juillet"
"5204","moyen","Merisiers /14 juillet"
"5210","moyen","Merisiers /14 juillet"
"5213","moyen","Merisiers /14 juillet"
"5230","moyen","Merisiers /14 juillet"
"5251","moyen","Merisiers /14 juillet"
"5259","moyen","Merisiers /14 juillet"
"5280","moyen","Merisiers /14 juillet"
"5349","moyen","Merisiers /14 juillet"
"5353","moyen","Merisiers /14 juillet"
"5357","moyen","Merisiers /14 juillet"
"5366","moyen","Merisiers /14 juillet"
"5383","moyen","Merisiers /14 juillet"
"5391","moyen","Merisiers /14 juillet"
"5408","moyen","Merisiers /14 juillet"
"5412","moyen","Merisiers /14 juillet"
"5419","moyen","Merisiers /14 juillet"
"5423","moyen","Merisiers /14 juillet"
"5424","moyen","Merisiers /14 juillet"
"5432","moyen","Merisiers /14 juillet"
"5433","moyen","Merisiers /14 juillet"
"5436","moyen","Merisiers /14 juillet"
"5438","moyen","Merisiers /14 juillet"
"5444","moyen","Merisiers /14 juillet"
"5445","moyen","Merisiers /14 juillet"
"5446","moyen","Merisiers /14 juillet"
"5454","moyen","Merisiers /14 juillet"
"5458","moyen","Merisiers /14 juillet"
"5467","moyen","Merisiers /14 juillet"
"5482","moyen","Merisiers /14 juillet"
"5484","moyen","Merisiers /14 juillet"
"5488","moyen","Merisiers /14 juillet"
"5494","moyen","Merisiers /14 juillet"
"5497","moyen","Merisiers /14 juillet"
"5499","moyen","Merisiers /14 juillet"
"5504","moyen","Merisiers /14 juillet"
"5509","moyen","Merisiers /14 juillet"
"5511","moyen","Merisiers /14 juillet"
"5517","moyen","Merisiers /14 juillet"
"5519","moyen","Merisiers /14 juillet"
"5523","moyen","Merisiers /14 juillet"
"5526","moyen","Merisiers /14 juillet"
"5531","moyen","Merisiers /14 juillet"
"5532","moyen","Merisiers /14 juillet"
"5540","moyen","Merisiers /14 juillet"
"5542","moyen","Merisiers /14 juillet"
"5545","moyen","Merisiers /14 juillet"
"5547","moyen","Merisiers /14 juillet"
"5549","moyen","Merisiers /14 juillet"
"5551","moyen","Merisiers /14 juillet"
"5555","moyen","Merisiers /14 juillet"
"5557","moyen","Merisiers /14 juillet"
"5583","moyen","Merisiers /14 juillet"
"5586","moyen","Merisiers /14 juillet"
"5587","moyen","Merisiers /14 juillet"
"5594","moyen","Merisiers /14 juillet"
"5608","moyen","Merisiers /14 juillet"
"5618","moyen","Merisiers /14 juillet"
"5623","moyen","Merisiers /14 juillet"
"5629","moyen","Merisiers /14 juillet"
"5633","moyen","Merisiers /14 juillet"
"5638","moyen","Merisiers /14 juillet"
"5639","moyen","Merisiers /14 juillet"
"5646","moyen","Merisiers /14 juillet"
"5649","moyen","Merisiers /14 juillet"
"5662","moyen","Merisiers /14 juillet"
"5674","moyen","Merisiers /14 juillet"
"5685","moyen","Merisiers /14 juillet"
"5686","moyen","Merisiers /14 juillet"
"5689","moyen","Merisiers /14 juillet"
"5690","moyen","Merisiers /14 juillet"
"5734","moyen","Merisiers /14 juillet"
"5741","moyen","Merisiers /14 juillet"
"5749","moyen","Merisiers /14 juillet"
"5751","moyen","Merisiers /14 juillet"
"5761","moyen","Merisiers /14 juillet"
"5763","moyen","Merisiers /14 juillet"
"5766","moyen","Merisiers /14 juillet"
"5768","moyen","Merisiers /14 juillet"
"5773","moyen","Merisiers /14 juillet"
"5776","moyen","Merisiers /14 juillet"
"5779","moyen","Merisiers /14 juillet"
"5790","moyen","Merisiers /14 juillet"
"5795","moyen","Merisiers /14 juillet"
"5801","moyen","Merisiers /14 juillet"
"5802","moyen","Merisiers /14 juillet"
"5804","moyen","Merisiers /14 juillet"
"5819","moyen","Merisiers /14 juillet"
"5846","moyen","Merisiers /14 juillet"
"5849","moyen","Merisiers /14 juillet"
"5852","moyen","Merisiers /14 juillet"
"5855","moyen","Merisiers /14 juillet"
"5868","moyen","Merisiers /14 juillet"
"5873","moyen","Merisiers /14 juillet"
"5876","moyen","Merisiers /14 juillet"
"5879","moyen","Merisiers /14 juillet"
"5881","moyen","Merisiers /14 juillet"
"5886","moyen","Merisiers /14 juillet"
"5890","moyen","Merisiers /14 juillet"
"5892","moyen","Merisiers /14 juillet"
"5893","moyen","Merisiers /14 juillet"
"5899","moyen","Merisiers /14 juillet"
"5900","moyen","Merisiers /14 juillet"
"5902","moyen","Merisiers /14 juillet"
"5903","moyen","Merisiers /14 juillet"
"5905","moyen","Merisiers /14 juillet"
"5907","moyen","Merisiers /14 juillet"
"5919","moyen","Merisiers /14 juillet"
"5931","moyen","Merisiers /14 juillet"
"5933","moyen","Merisiers /14 juillet"
"5937","moyen","Merisiers /14 juillet"
"5939","moyen","Merisiers /14 juillet"
"5948","moyen","Merisiers /14 juillet"
"5950","moyen","Merisiers /14 juillet"
"5962","moyen","Merisiers /14 juillet"
"5964","moyen","Merisiers /14 juillet"
"5970","moyen","Merisiers /14 juillet"
"5972","moyen","Merisiers /14 juillet"
"5973","moyen","Merisiers /14 juillet"
"5982","moyen","Merisiers /14 juillet"
"5985","moyen","Merisiers /14 juillet"
"5991","moyen","Merisiers /14 juillet"
"5999","moyen","Merisiers /14 juillet"
"6006","moyen","Merisiers /14 juillet"
"6011","moyen","Merisiers /14 juillet"
"6045","moyen","Merisiers /14 juillet"
"6070","moyen","Merisiers /14 juillet"
"6072","moyen","Merisiers /14 juillet"
"6075","moyen","Merisiers /14 juillet"
"6092","moyen","Merisiers /14 juillet"
"6097","moyen","Merisiers /14 juillet"
"6099","moyen","Merisiers /14 juillet"
"6100","moyen","Merisiers /14 juillet"
"6102","moyen","Merisiers /14 juillet"
"6105","moyen","Merisiers /14 juillet"
"6109","moyen","Merisiers /14 juillet"
"6112","moyen","Merisiers /14 juillet"
"6115","moyen","Merisiers /14 juillet"
"6119","moyen","Merisiers /14 juillet"
"6122","moyen","Merisiers /14 juillet"
