"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2186888";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";55000;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";320;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";384
"2187210";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"25/06/2022";"Vente terrain à bâtir";64500;43;"";"CHE";"0506";"DE L EPI BLOND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";277;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";476
"2187359";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"30/06/2022";"Vente en l'état futur d'achèvement";187220;NA;"";"";"B074";"LA FOLIE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";398;"";"61";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"2187486";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"07/07/2022";"Vente";89000;11;"";"RUE";"0340";"DES CORDELIERS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AN";230;"";"3";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;38;2;"";"";NA
"2187487";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"07/07/2022";"Vente";89000;11;"";"RUE";"0340";"DES CORDELIERS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AN";230;"";"15";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2187744";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"05/07/2022";"Vente";571038;200;"";"RUE";"0029";"6 EME AVENUE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZP";273;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;4;"Local industriel. commercial ou assimilé";NA;1130;0;"S";"";8194
"2187830";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"";"B027";"LES BOURGOGNES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";274;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";24
"2187831";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"";"B027";"LES BOURGOGNES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";301;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";1093
"2187832";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";323;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";12
"2187833";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";324;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";677
"2187834";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";325;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";74
"2187835";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"29/06/2022";"Vente";1;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";326;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";105
"2187836";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"02/07/2022";"Vente";282000;2;"";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AS";41;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;143;6;"S";"";589
"2188087";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";76800;1;"";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AO";83;"";"8";42,21;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;45;2;"";"";NA
"2188088";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";76800;1;"";"RUE";"0080";"DE BASMONT";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AO";83;"";"65";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2188089";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;65;3;"S";"";221
"2188090";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";221
"2188091";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";221
"2188092";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;55;2;"S";"";221
"2188093";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"PL";"1610";"ROGER GAUTHIER";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";156;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";252
"2188094";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"08/07/2022";"Vente";125760;31;"";"PL";"1610";"ROGER GAUTHIER";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";157;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";116
"2188639";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"28/06/2022";"Vente";92000;4;"";"CHE";"1205";"DES MEUNIERS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"B";2075;"";"45";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2188640";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"28/06/2022";"Vente";92000;4;"";"CHE";"1205";"DES MEUNIERS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"B";2078;"";"41";54,49;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;50;3;"";"";NA
"2188756";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"11/07/2022";"Vente";96000;38;"";"RUE";"1200";"DES MAUVES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AN";253;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";388
"2188757";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"11/07/2022";"Vente";96000;38;"";"RUE";"1200";"DES MAUVES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AN";253;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;86;4;"S";"";388
